"S0101-31732012000200011-scl","A incomensurabilidade entre as filosofias e a inexistência de revoluções em filosofia","Oliva, Alberto","Trans/Form/Ação; 35(2); 199-237","Trans/Form/Ação","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732012000200011&lang=pt" 
"S0101-31732012000200012-scl","Inteligibilidade e linguagem: pressupostos epistemológicos","Bastos, Cleverson Leite","Trans/Form/Ação; 35(2); 239-256","Trans/Form/Ação","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732012000200012&lang=pt" 
"S0101-31732012000200013-scl","O projeto de uma memória freudiana: uma análise acerca da constituição dessa noção nos primórdios da psicanálise","Peixoto, Maria Celina Lima, Oliveira, Débora Passos de","Trans/Form/Ação; 35(2); 257-275","Trans/Form/Ação","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732012000200013&lang=pt" 
"S1516-89132012000400016-scl","Saccharomyces uvarum mannoproteins stimulate a humoral immune response in mice","Darpossolo, Fernanda Patrícia Brito, Eto, Silas Fernandes, Venancio, Emerson José, Castro-Goméz, Raul Jorge Hernan","Brazilian Archives of Biology and Technology; 55(4); 597-602","Brazilian Archives of Biology and Technology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132012000400016&lang=pt" 
"S1807-59322012000800021-scl","Diagnosis of an ectopic adrenocorticotropic hormonesecreting bronchial carcinoid by somatostatin receptor scintigraphy","Anaforoğlu, İnan, Ersoy, Kerem, Aşık, Mehmet, Karyağar, Savaş, Algün, Ekrem","Clinics; 67(8); 973-975","Clinics","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322012000800021&lang=pt" 
"S1807-59322012000800009-scl","Laparoscopic nephrectomy for xanthogranulomatous pyelonephritis: are there predictive factors for success?","Lima, Marcelo, Miyaoka, Ricardo, Moro, Juliano, D&#039;Ancona, Carlos","Clinics; 67(8); 907-909","Clinics","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322012000800009&lang=pt" 
"S1807-59322012000800007-scl","Effects of arterial oxygen tension and cardiac output on venous saturation: a mathematical modeling approach","Zampieri, Fernando Godinho, Park, Marcelo, Azevedo, Luciano César Pontes, Amato, Marcelo Britto Passos, Costa, Eduardo Leite Vieira","Clinics; 67(8); 897-900","Clinics","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322012000800007&lang=pt" 
"S1807-59322012000800008-scl","M2-polarized macrophages promote metastatic behavior of Lewis lung carcinoma cells by inducing vascular endothelial growth factor-C expression","Zhang, Bicheng, Zhang, Yafei, Yao, Guoqing, Gao, Juan, Yang, Bo, Zhao, Yong, Rao, Zhiguo, Gao, Jianfei","Clinics; 67(8); 901-906","Clinics","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322012000800008&lang=pt" 
"S1807-59322012000800010-scl","Serum testosterone, sex hormone-binding globulin and total calcium levels predict the calcaneal speed of sound in men","Chin, Kok-Yong, Soelaiman, Ima-Nirwana, Mohamed, Isa Naina, Ngah, Wan Zurinah Wan","Clinics; 67(8); 911-916","Clinics","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322012000800010&lang=pt" 
"S1807-59322012000800011-scl","A clinical follow-up of 35 Brazilian patients with Prader-Willi Syndrome","Quaio, Caio Robledo D&#039;Angioli Costa, Almeida, Tatiana Ferreira de, Albano, Lilian Maria José, Gomy, Israel, Bertola, Debora Romeo, Varela, Monica Castro, Koiffmann, Celia P., Kim, Chong Ae","Clinics; 67(8); 917-921","Clinics","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322012000800011&lang=pt" 
