"S1519-38292005000300006-scl","A enurese em crianças e seus significados para suas famílias: abordagem qualitativa sobre uma intervenção profissional em saúde","Soares, Ana Helena Rotta, Moreira, Martha Cristina Nunes, Monteiro, Lúcia Maria Costa, Fonseca, Eliane Maria Garcez de Oliveira","Revista Brasileira de Saúde Materno Infantil; 5(3); 301-311","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300006&lang=pt" 
"S1519-38292005000300008-scl","Sentimentos de profissionais dos serviços de pronto-socorro pediátrico: reflexões sobre o burnout","Feliciano, Katia Virginia de Oliveira, Kovacs, Maria Helena, Sarinho, Sílvia Wanick","Revista Brasileira de Saúde Materno Infantil; 5(3); 319-328","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300008&lang=pt" 
"S1519-38292005000300009-scl","Associação glicemia de jejum e fatores de risco como teste para rastreamento do diabete gestacional","Ayach, Wilson, Calderon, Iracema de Mattos Paranhos, Rudge, Marilza Vieira Cunha, Costa, Roberto Antonio Araújo","Revista Brasileira de Saúde Materno Infantil; 5(3); 329-335","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300009&lang=pt" 
"S1519-38292005000300010-scl","Prevalência de transtornos mentais comuns em mulheres e sua relação com as características sociodemográficas e o trabalho doméstico","Araújo, Tânia Maria de, Pinho, Paloma de Sousa, Almeida, Maura Maria Guimarães de","Revista Brasileira de Saúde Materno Infantil; 5(3); 337-348","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300010&lang=pt" 
"S1519-38292005000300011-scl","Anemia em crianças menores de cinco anos que freqüentam creches públicas do município do Rio de Janeiro, Brasil","Matta, Isabela Escórcio Augusto da, Veiga, Gloria Valeria da, Baião, Mirian Ribeiro, Santos, Marta Maria Antonieta de Souza, Luiz, Ronir Raggio","Revista Brasileira de Saúde Materno Infantil; 5(3); 349-357","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300011&lang=pt" 
"S1519-38292005000300012-scl","Uso de suplementos vitamínicos e/ou minerais por crianças menores de seis meses no interior do estado de Pernambuco","Melo, Maria de Fátima Gallindo de, Santos, Leonor Maria Pacheco, Lira, Pedro Israel Cabral de","Revista Brasileira de Saúde Materno Infantil; 5(3); 359-366","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300012&lang=pt" 
"S1519-38292005000300013-scl","Grupos vulnerables y su caracterización como criterio de discriminación de la seguridad alimentaria y nutricional en Brasil","Pedraza, Dixis Figueroa","Revista Brasileira de Saúde Materno Infantil; 5(3); 367-375","Revista Brasileira de Saúde Materno Infantil","Espanhol","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300013&lang=pt" 
"S1519-38292005000300003-scl","Papel da vitamina A na prevenção do estresse oxidativo em recém-nascidos","Gomes, Mirian Martins, Saunders, Cláudia, Accioly, Elizabeth","Revista Brasileira de Saúde Materno Infantil; 5(3); 275-282","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300003&lang=pt" 
"S1516-89132005000600002-scl","Determination of trace metals in electrolytic copper by ICP OES and ICP-MS","Santos, Éder José dos, Herrmann, Amanda Beatriz, Olkuszewski, José Luiz, Saint&#039;Pierre, Tatiana D., Curtius, Adilson José","Brazilian Archives of Biology and Technology; 48(5); 681-687","Brazilian Archives of Biology and Technology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132005000600002&lang=pt" 
"S1516-89132005000600001-scl","A biological treatment technique for wool textile","Xiao-Wei, Yu, Guan, Wen-Jun, Yong-Quan, Li, Ting-Jing, Guo, Ji-Dong, Zhou","Brazilian Archives of Biology and Technology; 48(5); 675-680","Brazilian Archives of Biology and Technology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132005000600001&lang=pt" 
"S1516-89132005000600009-scl","Ultrasound efficiency in relation to sodium hypochlorite and filtration adsorption in microbial elimination in a water treatment plant","Bello, Antonio Roberto Crystal, Angelis, Dejanira de Franceschi, Domingos, Roberto Naves","Brazilian Archives of Biology and Technology; 48(5); 739-745","Brazilian Archives of Biology and Technology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132005000600009&lang=pt" 
"S1516-89132005000600010-scl","Influence of the use of selected and non-selected yeasts in red wine production","Dorneles, Daniela, Machado, Iara Maria Pereira, Chociai, Miriam Blumel, Bonfim, Tania Maria Bordin","Brazilian Archives of Biology and Technology; 48(5); 747-751","Brazilian Archives of Biology and Technology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132005000600010&lang=pt" 
"S1516-89132005000600016-scl","Rearing of Thyrinteina arnobia (Lepidoptera: Geometridae) on guava and Eucalyptus in laboratory","Oliveira, Harley Nonato de, Zanuncio, José Cola, Pedruzzi, Eder Pin, Espindula, Marcelo Curitiba","Brazilian Archives of Biology and Technology; 48(5); 801-806","Brazilian Archives of Biology and Technology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132005000600016&lang=pt" 
"S1806-83242005000300001-scl","Brazilian Division of the IADR: why become a member?","Lage-Marques, José Luiz","Brazilian Oral Research; 19(3); -","Brazilian Oral Research","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242005000300001&lang=pt" 
"S1806-83242005000300006-scl","Demineralization effect of EDTA, EGTA, CDTA and citric acid on root dentin: a comparative study","Sousa, Simone Maria Galvão, Silva, Thelma Lopes","Brazilian Oral Research; 19(3); 188-192","Brazilian Oral Research","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242005000300006&lang=pt" 
"S1806-83242005000300007-scl","Brazilian gutta-percha points: Part I: chemical composition and X-ray diffraction analysis","Maniglia-Ferreira, Cláudio, Silva Jr, João Batista Araújo, Paula, Regina Célia Monteiro de, Feitosa, Judith Pessoa Andrade, Cortez, Douglas Giordani Negreiros, Zaia, Alexandre Augusto, Souza-Filho, Francisco José de","Brazilian Oral Research; 19(3); 193-197","Brazilian Oral Research","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242005000300007&lang=pt" 
"S1806-83242005000300010-scl","Comparison among dental, skeletal and chronological development in HIV-positive children: a radiographic study","Holderbaum, Rejane Maria, Veeck, Elaine Bauer, Oliveira, Helena Willhelm, Silva, Carmem Lúcia, Fernandes, Ângela","Brazilian Oral Research; 19(3); 209-215","Brazilian Oral Research","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242005000300010&lang=pt" 
"S0365-28072005000300001-chl","Identificación e Incidencia de Virus en Pimiento en la Zona Centro Norte de Chile y su Asociación con Vectores","Sepúlveda R, Paulina, Larraín S, Patricia, Quiroz E, Carlos, Rebufel A, Patricia, Graña S, Fernando","Agricultura Técnica; 65(3); 235-245","Agricultura Técnica","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072005000300001&lang=pt" 
"S0365-28072005000300002-chl","Evolución de Madurez en Pre y Postcosecha y Potencialidad de Almacenaje de Peras Packham&#039;s Triumph","Moggia, Claudia, Pereira, Marcia, Yuri, José Antonio, Moya, María A","Agricultura Técnica; 65(3); 246-257","Agricultura Técnica","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072005000300002&lang=pt" 
"S0365-28072005000300003-chl","Variación de la Tasa de Enraizamiento Asociada al Número de Subcultivo y Diámetro de Microtallos de Castaño Castanea sativa Mill","Ríos L, Darcy, Avilés M, Fabiola, Sánchez-Olate, Manuel, Escobar R, René, Pereira C, Guillermo","Agricultura Técnica; 65(3); 258-264","Agricultura Técnica","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072005000300003&lang=pt" 
"S0365-28072005000300004-chl","Adaptación, Crecimiento y Producción de Nuevas Leguminosas Forrajeras Anuales en la Zona Mediterránea de Chile: II. Comportamiento de las Especies en Suelos Graníticos del Secano Interior Subhúmmedo","Ovalle M, Carlos, Pozo L, Alejandro del, Avendaño R, Julia, Fernández E, Fernando, Arredondo S, Susana","Agricultura Técnica; 65(3); 265-277","Agricultura Técnica","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072005000300004&lang=pt" 
"S0365-28072005000300005-chl","Efectos del Sistema de Cosecha de Ensilaje de Pradera Sobre el Comportamiento Productivo de toretes en Crecimiento","Elizalde V, Hernán Felipe, Goic M, Ljubo, Pinninghoff S-J, Jorge","Agricultura Técnica; 65(3); 278-283","Agricultura Técnica","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072005000300005&lang=pt" 
"S0365-28072005000300006-chl","Estimación de la Evapotranspiración de Tomate Usando el Modelo Interacción Suelo - Vegetación - Atmósfera (ISBA)","Olioso, Albert, Ortega-Farías, Samuel, Valdés, Héctor, Antonioletti, Rodrigo","Agricultura Técnica; 65(3); 284-294","Agricultura Técnica","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072005000300006&lang=pt" 
"S0365-28072005000300007-chl","Modificaciones de la Conductividad Hidráulica y Porosidad del Suelo Estimadas Mediante Infiltrómetro de Disco a Tensión","M. Aoki, Antonio, Sereno, Roberto","Agricultura Técnica; 65(3); 295-305","Agricultura Técnica","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0365-28072005000300007&lang=pt" 
