"S0004-06492010000400005-ven","Síndrome serotonínico pediátrico: Reporte de un caso","Elkadi Chiriti, Buthaina, Torres Sarmiento, Angélica C, Ramírez Sánchez, Manuel S","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 020-024","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400005&lang=pt" 
"S0004-06492010000400004-ven","Parasitosis intestinales en preescolares y escolares inmunodeficientes secundarios, con síntomas gastrointestinales. Barquisimeto, Venezuela","Suárez, Marcela, Cárdenas, Elsys, Sánchez, Julia","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 015-019","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400004&lang=pt" 
"S0004-06492010000400007-ven","Epidemiología de la meningitis Venezuela 2010","Echezuría, Luis, León, Raiza, Rodríguez, Eva, Rísquez, Alejandro","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 029-036","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400007&lang=pt" 
"S0004-06492010000400006-ven","Generalidades","García, Maribel, Chacín, Leonardo, Castro, María José, Millán de Espinasa, Maria Cristina","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 025-028","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400006&lang=pt" 
"S0255-69522010000200003-ven","Dependencia de la T C con espesor relativo en bicapas ferroantiferro del sistema La1-X CaX MnO3","Marín, Lorena, Gómez, María Elena, Reyes, David F, Rodríguez, Luis A","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 119-123","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200003&lang=pt" 
"S0255-69522010000200008-ven","Síntesis y caracterización de matrices orgánicas e inorgánicas conteniendo pigmentos naturales","Fernández-Quiroz, Daniel, Vásquez-García, Salomón R, Flores-Ramírez, N, Luna-Bárcenas, G, Gutiérrez-Arriaga, O","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 159-163","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200008&lang=pt" 
"S0255-69522010000200009-ven","Caracterización de catalizadores 0,8% Pd/TiO2 sol-gel usados en reacciones de hidrodecloración catalítica en fase líquida","Ardila Arias, Alba N","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 164-180","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200009&lang=pt" 
"S0255-69522010000200004-ven","Biodefosforización de minerales de hierro","Delvasto, Pedro, Ballester, Antonio, García-Balboa, Camino, Igual, José Mariano, Muñoz, Jesús Ángel, González, Felisa, Blázquez, María Luisa","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 124-135","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200004&lang=pt" 
"S0255-69522010000200005-ven","Resistividad eléctrica en función de la temperatura para la aleación Cu90Co5Ni5 sintetizada por aleado mecánico","Reyes, David, Gómez, María E, López, Marta, Prieto, Pedro","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 136-140","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200005&lang=pt" 
"S0255-69522010000200006-ven","Caracterización microestructural de las aleaciones base cobre Cu95Co5 Y Cu90Co5Ni5 obtenidas por aleado mecánico y sinterización","López, Marta, Ortiz, Valentina, Gómez, María E, Reyes, David, Mangalaraja, Ramalinga, Prieto, Pedro, Jiménez, José","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 141-148","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200006&lang=pt" 
"S0255-69522010000200007-ven","Aleaciones eutectoides Zinc-Aluminio + 2 - 6% de plata como ánodos de sacrificio","Hernández-Alvarado, Laura A, Hernández, Luis S, Torres, Gabriel","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 149-158","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200007&lang=pt" 
"S0255-69522010000200001-ven","","Müller S, Alejandro J","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 99-100","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200001&lang=pt" 
"S0255-69522010000200002-ven","Aplicación de la mecánica de la fractura post-cedencia a polímeros","Maspoch, Maria Lluisa, Franco-Urquiza, Edgar, Gámez-Pérez, José, Sánchez-Soto, Miguel, Velasco, José I, Santana, Orlando O, Martínez, Antonio B","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 101-118","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200002&lang=pt" 
"S0004-06492010000400012-ven","Aproximación al diagnóstico y tratamiento de meningitis por microorganismos poco frecuentes","","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 067-076","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400012&lang=pt" 
"S0004-06492010000400010-ven","Tratamiento coadyuvante. Complicaciones agudas","","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 052-059","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400010&lang=pt" 
"S0004-06492010000400011-ven","Prevención","Castillo de Febres, Olga, Valery, Francisco, Ferraro, Salvatore, Vancampenhoud, Marinés, Suárez, José Antonio","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 060-066","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400011&lang=pt" 
"S0255-69522010000200013-ven","Estudio de materiales compuestos de titanato de aluminio Al2TiO5 estabilizado con ilmenita FeTiO3 y reforzado con Al2O3 y TiO2","Barrios de Arenas, Irene, Reyes Gasga, José","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 210-221","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200013&lang=pt" 
"S0255-69522010000200012-ven","Propiedades semiconductoras de películas anódicas de Ti: Influencia de las transformaciones estructurales","Acevedo-Peña, Próspero, Vázquez, Gerardo, Laverde, Dionisio, Pedraza-Rosas, Julio E, González, Ignacio","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 201-209","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200012&lang=pt" 
"S0255-69522010000200011-ven","A small-angle light scattering instrument to study soft condensed matter","Romo-Uribe, Angel, Alvarado-Tenorio, Bonifacio, Romero-Guzmán, Maria Eugenia","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 190-200","Revista Latinoamericana de Metalurgia y Materiales","Inglês","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200011&lang=pt" 
"S0255-69522010000200010-ven","Polvos nanométricos de zirconia, por síntesis hidrotérmica microonda","Gutiérrez-Campos, D, Rodríguez, Rosa María, Arellano, Luis, García, Isabela, Mijares, Alexis, Ruiz, Augusto, Reverón, Helen","Revista Latinoamericana de Metalurgia y Materiales; 30(2); 181-189","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522010000200010&lang=pt" 
"S0034-77442010000800001-cri","Capítulo 1: Introducción a los grupos de macroinvertebrados acuáticos","Hanson, Paul, Springer, Monika, Ramirez, Alonso","Revista de Biología Tropical; 58(); 3-37","Revista de Biología Tropical","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000800001&lang=pt" 
"S0034-77442010000800002-cri","Capítulo 2: Métodos de recolección","Ramírez, Alonso","Revista de Biología Tropical; 58(); 41-50","Revista de Biología Tropical","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000800002&lang=pt" 
"S0034-77442010000800003-cri","Capítulo 3: Biomonitoreo acuático","Springer, Monika","Revista de Biología Tropical; 58(); 53-59","Revista de Biología Tropical","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000800003&lang=pt" 
"S0034-77442010000800004-cri","Capítulo 4: Ephemeroptera","Flowers, R.W, de la Rosa, C","Revista de Biología Tropical; 58(); 63-93","Revista de Biología Tropical","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000800004&lang=pt" 
"S0034-77442010000800005-cri","Capítulo 5: Odonata","Ramírez, Alonso","Revista de Biología Tropical; 58(); 97-136","Revista de Biología Tropical","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000800005&lang=pt" 
"S0034-77442010000800006-cri","Capítulo 6: Plecoptera","Gutiérrez-Fonseca, Pablo E","Revista de Biología Tropical; 58(); 139-148","Revista de Biología Tropical","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000800006&lang=pt" 
"S0034-77442010000800007-cri","Capítulo 7: Trichoptera","Springer, Monika","Revista de Biología Tropical; 58(); 151-198","Revista de Biología Tropical","Espanhol","2010","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000800007&lang=pt" 
"S1665-109X2010000200001-mex","Presentación","García Cabrero, Benilde","Sinéctica; (35); I-II","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200001&lang=pt" 
"S1665-109X2010000200010-mex","Dimensiones ético políticas en educación desde el análisis político de discurso","Buenfil Burgos, Rosa Nidia","Sinéctica; (35); 1-17","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200010&lang=pt" 
"S1665-109X2010000200011-mex","Una educación basada en competencias","Ibáñez, Gabriela H","Sinéctica; (35); 1-3","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200011&lang=pt" 
"S1665-109X2010000200002-mex","Una tarea de difusión académica: Sinética, Revista Electrónica de Educación","Sagástegui, Diana","Sinéctica; (35); I-V","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200002&lang=pt" 
"S1665-109X2010000200003-mex","El sistema de indicadores del Instituto Nacional para la Evaluación de la Educación de México","Robles Vásquez, Héctor Virgilio","Sinéctica; (35); 1-21","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200003&lang=pt" 
"S1665-109X2010000200004-mex","Los indicadores como herramientas para la evaluación de la calidad de los sistemas educativos","Martínez Rizo, Felipe","Sinéctica; (35); 1-17","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200004&lang=pt" 
"S1665-109X2010000200005-mex","Modelos teóricos e indicadores de evaluación educativa","García Cabrero, Benilde","Sinéctica; (35); 1-17","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200005&lang=pt" 
"S1665-109X2010000200006-mex","Habitabilidad educativa de las escuelas: Marco de referencia para el diseño de indicadores","Hernández Vázquez, Juan Manuel","Sinéctica; (35); 1-14","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200006&lang=pt" 
"S1665-109X2010000200007-mex","Mecanismos de monitoreo de los compromisos en educación en América Latina: sistemas regionales de indicadores educativos","Taccari, Daniel Óscar","Sinéctica; (35); 1-25","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200007&lang=pt" 
"S1665-109X2010000200008-mex","Sistemas de indicadores educativos: su utilidad en el análisis de los problemas educativos","Márquez Jiménez, Alejandro","Sinéctica; (35); 1-25","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200008&lang=pt" 
"S1665-109X2010000200009-mex","Formación de profesionales e investigación social en Latinoamérica","Pacheco Méndez, Teresa","Sinéctica; (35); 1-10","Sinéctica","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-109X2010000200009&lang=pt" 
"S1011-22512010000200001-ven","Nativos Digitales: Desafió de la educación actual","","Paradígma; 31(2); 5-6","Paradígma","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1011-22512010000200001&lang=pt" 
"S1011-22512010000200003-ven","Acento e identidad profesional en la formación del docente de inglés: Una perspectiva crítica","Chacón C, Carmen Teresa","Paradígma; 31(2); 25-36","Paradígma","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1011-22512010000200003&lang=pt" 
"S1011-22512010000200002-ven","Cultura de consumo e desigualdades: Novas linguagens e implicações para a educação","Ruscheinsky, Aloísio","Paradígma; 31(2); 7-24","Paradígma","Português","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1011-22512010000200002&lang=pt" 
