"S0101-41612016000200471-scl","Fatores associados à violência escolar: evidências para o Estado de São Paulo","Tavares, Priscilla Albuquerque, Pietrobom, Francine Carvalho","Estudos Econômicos (São Paulo); 46(2); 471-498","Estudos Econômicos (São Paulo)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-41612016000200471&lang=pt" 
"S1679-45082016000200015-scl","Auditory evoked potential P300 in adults: reference values","Didoné, Dayane Domeneghini, Garcia, Michele Vargas, Oppitz, Sheila Jacques, Silva, Thalisson Francisco Finamôr da, Santos, Sinéia Neujahr dos, Bruno, Rúbia Soares, Filha, Valdete Alves Valentins dos Santos, Cóser, Pedro Luis","Einstein (São Paulo); 14(2); 208-212","Einstein (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082016000200015&lang=pt" 
"S1415-47142016000200322-scl","O exame de Verificação de Cessação de Periculosidade: a importância da avaliação ampliada em um caso com conclusão contrária ao parecer da equipe assistente","Oliveira, Gustavo Carvalho de, Mecler, Kátia, Chalub, Miguel, Valença, Alexandre Martins","Revista Latinoamericana de Psicopatologia Fundamental; 19(2); 322-341","Revista Latinoamericana de Psicopatologia Fundamental","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142016000200322&lang=pt" 
"S1415-47142016000200214-scl","Habitar, construir, existir: algunas consideraciones sobre el cuerpo en las psicosis","Leite, Sonia","Revista Latinoamericana de Psicopatologia Fundamental; 19(2); 214-224","Revista Latinoamericana de Psicopatologia Fundamental","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142016000200214&lang=pt" 
"S1679-45082016000200009-scl","Content validity of the Geriatric Health Assessment Instrument","Pedreira, Rhaine Borges Santos, Rocha, Saulo Vasconcelos, Santos, Clarice Alves dos, Vasconcelos, Lélia Renata Carneiro, Reis, Martha Cerqueira","Einstein (São Paulo); 14(2); 158-177","Einstein (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082016000200009&lang=pt" 
"S1130-01082016000600004-esp","Accuracy of ASGE criteria for the prediction of choledocholithiasis","Narváez-Rivera, Rodrigo M., González-González, José A., Monreal-Robles, Roberto, García-Compean, Diego, Paz-Delgadillo, Jonathan, Garza-Galindo, Aldo A., Maldonado-Garza, Héctor J.","Revista Española de Enfermedades Digestivas; 108(6); 309-314","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000600004&lang=pt" 
"S1130-01082016000600006-esp","Management of the clinical issue of constipation with abdominal complaints in adults: a national survey of Primary Care physicians and gastroenterologists","Rey, Enrique, Mascort, Juan José, Peña, Enrique, Cañones, Pedro, Tenías, José María, Júdez, Javier","Revista Española de Enfermedades Digestivas; 108(6); 323-331","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000600006&lang=pt" 
"S1679-45082016000200005-scl","Initial experience with hysteroscopic tubal occlusion (Essure®)","Depes, Daniella De Batista, Pereira, Ana Maria Gomes, Lippi, Umberto Gazi, Martins, João Alfredo, Lopes, Reginaldo Guedes Coelho","Einstein (São Paulo); 14(2); 130-134","Einstein (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082016000200005&lang=pt" 
"S1679-45082016000200011-scl","Potential intravenous drug incompatibilities in a pediatric unit","Leal, Karla Dalliane Batista, Leopoldino, Ramon Weyler Duarte, Martins, Rand Randall, Veríssimo, Lourena Mafra","Einstein (São Paulo); 14(2); 185-189","Einstein (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082016000200011&lang=pt" 
"S1679-45082016000200013-scl","Is the algorithm used to process heart rate variability data clinically relevant? Analysis in male adolescents","Soares, Antonio Henrique Germano, Farah, Breno Quintella, Cucato, Gabriel Grizzo, Bastos-Filho, Carmelo José Albanez, Christofaro, Diego Giulliano Destro, Vanderlei, Luiz Carlos Marques, Lima, Aluísio Henrique Rodrigues de Andrade, Ritti-Dias, Raphael Mendes","Einstein (São Paulo); 14(2); 196-201","Einstein (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082016000200013&lang=pt" 
