"S0102-09352015000601510-scl","Molecular detection and phylogenetic relationship of wild-type strains of canine distemper virus in symptomatic dogs from Uberlândia, Minas Gerais","Headley, S.A., Santos, T.R., Bodnar, L., Saut, J.P.E., Silva, A.P., Alfieri, A.F., Medeiros, A.A., Soares, N.P., Alfieri, A.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1510-1518","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601510&lang=pt" 
"S0102-09352015000601501-scl","Estudo longitudinal da mastite subclínica e produção de leite em um rebanho mestiço Holandês-Zebu criado em sistema semi-intensivo","Costa, H.N., Molina, L.R., Facury Filho, E.J., Moreira, G.H.F.A., Carvalho, A.U.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1501-1509","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601501&lang=pt" 
"S1517-86922015000600421-scl","AN INEXPENSIVE METHOD TO MEASURE KNEE EXTENSORS&#039; POWER IN OLDER ADULTS","Pinho, João Pedro, Mezêncio, Bruno, Claudino, João Gustavo Oliveira, Soncin, Rafael, Hernandez, Arnaldo José, Serrão, Júlio Cerca, Amadio, Alberto Carlos","Revista Brasileira de Medicina do Esporte; 21(6); 421-424","Revista Brasileira de Medicina do Esporte","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922015000600421&lang=pt" 
"S0047-20852015000400296-scl","Comparação do comportamento de risco para transtornos alimentares entre adolescentes atletas e não atletas","Fortes, Leonardo de Sousa, Ferreira, Maria Elisa Caputo, Costa, Priscilla Rosa de França, Lira, Hugo Augusto Alvares da Silva, Andrade, Jardilene, Silva, Alane Luiza Aguiar Gomes da","Jornal Brasileiro de Psiquiatria; 64(4); 296-302","Jornal Brasileiro de Psiquiatria","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0047-20852015000400296&lang=pt" 
"S2176-66812015000300577-scl","Panorama das pesquisas brasileiras sobre educação em museus de ciências","Ovigli, Daniel Bovolenta","Revista Brasileira de Estudos Pedagógicos; 96(244); 577-595","Revista Brasileira de Estudos Pedagógicos","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-66812015000300577&lang=pt" 
"S1517-86922015000600480-scl","ANÁLISE DO DESEMPENHO FÍSICO E DO EQUILÍBRIO SOB INFLUÊNCIA DA CRIOTERAPIA EM ATLETAS DE FUTSAL","Freire, Thiago Rocha, Santana, Mylena Maria Salgueiro, Farias Neto, Jader Pereira de, Grigoletto, Marzo Edir da Silva, Silva Júnior, Walderi Monteiro da","Revista Brasileira de Medicina do Esporte; 21(6); 480-484","Revista Brasileira de Medicina do Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922015000600480&lang=pt" 
"S0102-33062015000400489-scl","How to construct and use a simple device to prevent the formation of precipitates when using Sudan Black B for histology","Oliveira, João Marcelo Santos de","Acta Botanica Brasilica; 29(4); 489-498","Acta Botanica Brasilica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062015000400489&lang=pt" 
"S1981-38212015000300143-scl","Taking Stock (with discomfort) of the Military Dictatorship Fifty Years after the 1964 Coup: a Bibliographical Essay","D’Araujo, Maria Celina","Brazilian Political Science Review; 9(3); 143-163","Brazilian Political Science Review","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212015000300143&lang=pt" 
"S1561-29532015000300007-cub","Algunos aspectos de interés relacionados con la obesidad sarcopénica","Hernández Rodríguez, José, Licea Puig, Manuel Emiliano, Castelo Elías-Calles, Lizet","Revista Cubana de Endocrinología; 26(3); -","Revista Cubana de Endocrinología","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532015000300007&lang=pt" 
"S0004-27492015000600340-scl","Comparison of intravitreal ranibizumab and bevacizumab treatment for retinopathy of prematurity","Erol, Muhammet Kazim, Coban, Deniz Turgut, Sari, Esin Sogutlu, Bilgin, Ahmet Burak, Dogan, Berna, Ozdemir, Ozdemir, Tunay, Zuhal Ozen","Arquivos Brasileiros de Oftalmologia; 78(6); 340-343","Arquivos Brasileiros de Oftalmologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-27492015000600340&lang=pt" 
"S0102-09352015000601533-scl","Sensitization study of dogs with atopic dermatitis in the central region of Rio Grande do Sul","Pereira, D.T., Cunha, V.E.S., Schmidt, C., Magnus, T., Krause, A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1533-1538","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601533&lang=pt" 
"S1561-29532015000300009-cub","Déficit de estrógeno e inmunidad, una aproximación sugerente a la mujer posmenopáusica","León Toirac, Emigdio José, Toirac Utria, Nerys Magdalena, Navarro Despaigne, Daisy","Revista Cubana de Endocrinología; 26(3); -","Revista Cubana de Endocrinología","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-29532015000300009&lang=pt" 
"S0102-33062015000400567-scl","Characterization of seed germination and protocorm development of Cyrtopodium glutiniferum (Orchidaceae) promoted by mycorrhizal fungi Epulorhiza spp.","Pereira, Marlon Corrêa, Rocha, Diego Ismael, Veloso, Tomás Gomes Reis, Pereira, Olinto Liparini, Francino, Dayana Maria Teodoro, Meira, Renata Maria Strozi Alves, Kasuya, Maria Catarina Megumi","Acta Botanica Brasilica; 29(4); 567-574","Acta Botanica Brasilica","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062015000400567&lang=pt" 
"S0102-09352015000601581-scl","Estudo anatômico do trajeto do canal mandibular em felinos (Felis catus domesticus)","Cotrim, S.C., Nardotto, J.R.B., Abreu, L.G., Silva, A.R.L., Galera, P.D., Santana, M.I.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 67(6); 1581-1588","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352015000601581&lang=pt" 
"S1517-86922015000600416-scl","ALONGAMENTO INTERMITENTE E CONTÍNUO AUMENTAM A AMPLITUDE DE MOVIMENTO E REDUZEM A FORÇA DOS FLEXORES DE PUNHO","Marchetti, Paulo Henrique, Mattos, Viviane de Jesus P., Serpa, Érica Paes, Silva, Josinaldo Jarbas da, Soares, Enrico Gori, Paulodeto, Antonio Claudio, Correa, Daniel Alves, Vilela Junior, Guanis de Barros, Gomes, Willy Andrade","Revista Brasileira de Medicina do Esporte; 21(6); 416-420","Revista Brasileira de Medicina do Esporte","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-86922015000600416&lang=pt" 
"S2176-66812015000300596-scl","Perfil dos alunos internos no ensino profissional agrícola federal mantido pelo Ministério da Agricultura em Sergipe (1934-1967)","Conceição, Joaquim Tavares da","Revista Brasileira de Estudos Pedagógicos; 96(244); 596-615","Revista Brasileira de Estudos Pedagógicos","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-66812015000300596&lang=pt" 
