"S1851-82652014000100013-arg","Discurso de Carlos Matus en la presentación de Adiós, Señor Presidente","Matus, Carlos","Salud colectiva; 10(1); 137-140","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100013&lang=pt" 
"S1851-82652014000100012-arg","Carta al presidente del Colegio Médico","Maccacaro, Giulio Alfredo","Salud colectiva; 10(1); 117-136","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100012&lang=pt" 
"S1851-82652014000100011-arg","La medicina del trabajo en el gobierno nacional y popular","Testa, Mario","Salud colectiva; 10(1); 109-116","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100011&lang=pt" 
"S1851-82652014000100010-arg","¿La Gran Recesión como causa de mejoras de la salud?: Respuesta a mis críticos","Tapia Granados, José A","Salud colectiva; 10(1); 101-107","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100010&lang=pt" 
"S1794-31082014000100010-col","La relación entre confianza e inseguridad: el caso de Chile","Dammert, Lucía","Revista Criminalidad; 56(1); 189-207","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100010&lang=pt" 
"S1794-31082014000100007-col","El fleteo: &quot;la abstracción de un riesgo criminal&quot;. Una experiencia de inteligencia criminal","Amaya-Cristancho, Héctor Alfredo, Cortés-Vargas, Yofre Luis","Revista Criminalidad; 56(1); 97-131","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100007&lang=pt" 
"S1794-31082014000100003-col","Criterios que deben valorar los tribunales cubanos para evaluar la veracidad del testimonio emitido por el menor entre tres y seis años de edad, víctima de abuso sexual","Suñez Tejera, Yoruanys, Vera Denis, Wendy","Revista Criminalidad; 56(1); 35-50","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100003&lang=pt" 
"S1794-31082014000100002-col","Análisis sobre la conducta criminal de violadores seriales en casos ocurridos en Bogotá, D. C. (2008-2012)","Meléndez Cardona, Deimer, Millán Vega, Héctor Leonardo, Pérez, Astrid Adriana","Revista Criminalidad; 56(1); 9-34","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100002&lang=pt" 
"S1794-31082014000100004-col","La acreditación de la condición de víctima de violencia de género en el ordenamiento jurídico español","Muñoz Ruiz, Josefa","Revista Criminalidad; 56(1); 51-67","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100004&lang=pt" 
"S1794-31082014000100009-col","Componentes descriptivos y explicativos de la accidentalidad vial en Colombia: incidencia del factor humano","Norza-Céspedes, Ervyn H, Granados-León, Elba Lucía, Useche-Hernández, Sergio Alejandro, Romero-Hernández, Mauricio, Moreno-Rodríguez, Jesica","Revista Criminalidad; 56(1); 157-187","Revista Criminalidad","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1794-31082014000100009&lang=pt" 
