"S2305-08532012000200009-sza","The Sabbath as a remedy for human restlessness","Kessler, Volker","In die Skriflig; 46(2); 1-8","In die Skriflig","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200009&lang=pt" 
"S2305-08532012000200008-sza","A framework for crafting and implementing a congregational strategy in the local congregations of the Reformed Churches of South Africa","Grobler, Aldeon B., van der Walt, J. Louw, de Klerk, Barend J.","In die Skriflig; 46(2); 1-10","In die Skriflig","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200008&lang=pt" 
"S2305-08532012000200005-sza","Die belang van die verrekening van metateoretiese vertrekpunte vir prediking en wetenskaplike navorsing in Homiletiek","de Wet, Fritz W., Pieterse, Hennie J.C.","In die Skriflig; 46(2); 1-9","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200005&lang=pt" 
"S2305-08532012000200004-sza","Die noodsaak daarvan om metateoretiese vertrekpunte in &#039;n prakties-teologiese wetenskapsbeskouing en-beoefening te verreken","de Klerk, Ben J., de Wet, Fritz W., Pieterse, Hennie J.C.","In die Skriflig; 46(2); 1-11","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200004&lang=pt" 
"S2305-08532012000200007-sza","&#039;n Empiriese ondersoek na die sosiale en mediese omstandighede van gelowiges met MIV/VIGS ten einde riglyne vir hoop-getuienis te bepaal","du Plooy Bain, Erina, de Klerk, Ben J.","In die Skriflig; 46(2); 1-9","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200007&lang=pt" 
"S2305-08532012000200006-sza","Gebedsterapie in die verwerking van traumageheue","du Plessis, Amanda L., de Klerk, Barend J.","In die Skriflig; 46(2); 1-8","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200006&lang=pt" 
"S2305-08532012000200001-sza","Handling a crisis via a combination of human initiative and godly direction: Insights from the Book of Ruth","Branch, Robin Gallaher","In die Skriflig; 46(2); 1-11","In die Skriflig","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200001&lang=pt" 
"S2305-08532012000200003-sza","Pastorale begeleiding van die self-mutileerder","Coetzer, Wentzel C.","In die Skriflig; 46(2); 1-9","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200003&lang=pt" 
"S2305-08532012000200002-sza","Godsleer en skrifleer: Fokus en uitdaging","Coetzee, Callie F.C.","In die Skriflig; 46(2); 1-10","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200002&lang=pt" 
"S2305-08532012000200022-sza","A remarkable story! M.C. Vos (1759-1825) in the light of his times","Zuiddam, Benno","In die Skriflig; 46(2); 1-12","In die Skriflig","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200022&lang=pt" 
