"S0034-75072012000200008-cub","Perfil Sistêmico e Manifestações Bucais em Pacientes com Hipotireoidismo","da Silva Santos, Graziele Beanes, Cruz de Jesus, Vivianne, Góes Guarda, Milena, Matos Paraguassú, Gardênia, Tavares Rodriguez, Tânia, Pedreira Ramalho, Luciana Maria","Revista Cubana de Estomatología; 49(2); 146-157","Revista Cubana de Estomatología","Português","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200008&lang=pt" 
"S0034-75072012000200009-cub","La acupuntura y su aplicación en estomatología","Acosta Navarro, María Elena, Trujillo Alayón, Arelis, Travisas Herrera, Eladio Miguel, Delgado Fernández, Rafael","Revista Cubana de Estomatología; 49(2); 158-166","Revista Cubana de Estomatología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200009&lang=pt" 
"S0034-75072012000200010-cub","Carcinoma ameloblástico de mandíbula","Leite Vieira de Figueiredo, Cláudia Roberta, Farias de Paiva, Marcos Antônio, Barboza de Carvalho, Laura Priscila, Brasileiro Junior, Vilson Lacerda","Revista Cubana de Estomatología; 49(2); 167-174","Revista Cubana de Estomatología","Português","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200010&lang=pt" 
"S0034-75072012000200011-cub","Quiste óseo aneurismático","de Conto, Ferdinando, Moura de Bortoli, Manoela, Galvan, Jéssica, Rovani, Gisele, Ericson Flores, Mateus, Rhoden, Roque Miguel","Revista Cubana de Estomatología; 49(2); 175-183","Revista Cubana de Estomatología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200011&lang=pt" 
"S0034-75072012000200012-cub","Fibrosarcoma en región geniana","Sánchez Acuña, Guillermo, Cabrera García, Jorge Luis, Gbenou Morgan, Yurian, Domingos, Bartolomeu Francisco","Revista Cubana de Estomatología; 49(2); 184-190","Revista Cubana de Estomatología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200012&lang=pt" 
"S0104-42302012000300011-scl","Eficácia da associação de dexametasona à antibioticoterapia em pacientes pediátricos com meningite bacteriana","Bernardo, Wanderley Marques, Aires, Felipe Toyama, Sá, Fernando Pereira de","Revista da Associação Médica Brasileira; 58(3); 319-322","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000300011&lang=pt" 
"S0104-42302012000300017-scl","Pneumomediastino espontâneo: relato de um caso","Semedo, Flávia Helena Monteiro Andrade, Silva, Rosário Santos, Pereira, Sónia, Alfaiate, Teresa, Costa, Teresa, Fernandez, Pilar, Pereira, Amélia","Revista da Associação Médica Brasileira; 58(3); 355-357","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000300017&lang=pt" 
"S0104-42302012000300020-scl","Atualidades proteômicas na sepse","Siqueira-Batista, Rodrigo, Mendonça, Eduardo Gomes de, Gomes, Andréia Patrícia, Vitorino, Rodrigo Roger, Miyadahira, Renato, Alvarez-Perez, Mario Castro, Oliveira, Maria Goreti de Almeida","Revista da Associação Médica Brasileira; 58(3); 376-382","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000300020&lang=pt" 
"S0104-42302012000300021-scl","Obesidade induzida por consumo de dieta: modelo em roedores para o estudo dos distúrbios relacionados com a obesidade","Rosini, Tiago Campos, Silva, Adelino Sanchez Ramos da, Moraes, Camila de","Revista da Associação Médica Brasileira; 58(3); 383-387","Revista da Associação Médica Brasileira","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302012000300021&lang=pt" 
"S0103-17592012000300001-scl","A Three-phase to three-phase matrix converter prototype","Oliveira Filho, Milton E. de, Sguarezi Filho, Alfeu J., Ruppert, Ernesto","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica; 23(3); 247-262","Sba: Controle &amp; Automação Sociedade Brasileira de Automatica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592012000300001&lang=pt" 
