"S0719-12432013000100002-chl","LAS POLÍTICAS SALITRERAS PERUANA Y CHILENA: ¿DEL MONOPOLIO ESTATAL A LA LIBERTAD ECONOMICA? (1873-1884)","González Miranda, Sergio","Cuadernos de historia (Santiago); (38); 39-77","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100002&lang=pt" 
"S0719-12432013000100003-chl","APROXIMACIÓN A LA RELACIÓN MASONERÍA-SOCIEDAD EN CUBA: LOS EDITORIALES DE LA REVISTA LA GRAN LOGIA ENTRE 1920-1924","Beltrán Alonso, Haens, Mendoza Otero, Jency","Cuadernos de historia (Santiago); (38); 79-97","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100003&lang=pt" 
"S0719-12432013000100004-chl","CULTURA COMUNISTA Y GUERRA FRÍA: LOS INTELECTUALES Y EL MOVIMIENTO POR LA PAZ EN LA ARGENTINA","Petra, Adriana","Cuadernos de historia (Santiago); (38); 99-130","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100004&lang=pt" 
"S0719-12432013000100005-chl","MIGRACIÓN, RELIGIÓN Y LA CONSTRUCCIÓN DE UNA IDENTIDAD LATINOAMERICANA EN EL EXILIO: BRUSELAS, BÉLGICA, 1980-2008","Plata, William Elvis, Rodríguez Arévalo, Andrea","Cuadernos de historia (Santiago); (38); 131-160","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100005&lang=pt" 
"S0719-12432013000100006-chl","NUEVAS FANTASÍAS Y ERRORES EN LA HISTORIA DE LA ARAUCANÍA","Villalobos R, Sergio","Cuadernos de historia (Santiago); (38); 161-188","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100006&lang=pt" 
"S0719-12432013000100007-chl","Marianne González Le Saux De empresarios a empleados. Clase media y Estado docente en Chile, 1810-1920","Gaete Lagos, Jorge","Cuadernos de historia (Santiago); (38); 191-194","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100007&lang=pt" 
"S0719-12432013000100008-chl","Francisco Alejandro García Naranjo Zorobabel Rodríguez, un conservador moderno. Chile, 1864-1890","Cid, Gabriel","Cuadernos de historia (Santiago); (38); 195-197","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100008&lang=pt" 
"S0719-12432013000100009-chl","Manuel Riesco Larraín Parto de un Siglo. Una mirada al mundo desde la izquierda de América Latina","Monsálvez Araneda, Danny Gonzalo","Cuadernos de historia (Santiago); (38); 198-202","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100009&lang=pt" 
"S0719-12432013000100010-chl","Gabriel Cid La Guerra contra la Confederación, Imaginario nacionalista y memoria colectiva en el siglo XIX chileno","Serrano del Pozo, Gonzalo","Cuadernos de historia (Santiago); (38); 203-204","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100010&lang=pt" 
"S0719-12432013000100011-chl","Marco Chandía La Cuadra, pasión, vino y se fue...Cultura popular, habitary memoria histórica en el Barrio Puerto de Valparaíso","Aravena Núñez, Pablo","Cuadernos de historia (Santiago); (38); 205-208","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100011&lang=pt" 
