"S0102-77862015000100037-scl","STREAMFLOW FORECASTING FOR THE DAM ORÓS/CE FROM HYDROMETEOROLOGICAL DATA USING PERCEPTRONS","Araújo, Carla Beatriz Costa de, Neto, Silvrano Adonias Dantas, Filho, Francisco de Assis Souza","Revista Brasileira de Meteorologia; 30(1); 37-46","Revista Brasileira de Meteorologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100037&lang=pt" 
"S0102-77862015000100047-scl","ANÁLISE COMPARATIVA DA PRECIPITAÇÃO NO ESTADO DA PARAÍBA UTILIZANDO MODELOS DE REGRESSÃO POLINOMIAL","Gomes, Oseas Machado, Santos, Carlos Antonio Costa dos, Souza, Francisco de Assis Salviano de, Paiva, Willian de, Olinda, Ricardo Alves de","Revista Brasileira de Meteorologia; 30(1); 47-58","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100047&lang=pt" 
"S0102-77862015000100101-scl","AS INCERTEZAS ASSOCIADAS ÀS CONDIÇÕES CLIMÁTICAS OBTIDAS PELO MODELO ETA CPTEC/HADCM3: AVALIAÇÃO COMPARATIVA ENTRE OS DADOS SIMULADOS E OBSERVADOS DE PRECIPITAÇÃO, EVAPOTRANSPIRAÇÃO E VAZÃO NA BACIA HIDROGRÁFICA DO RIO IJUÍ, BRASIL.","Oliveira, Guilherme Garcia de, Pedrollo, Olavo Correa, Castro, Nilza Maria dos Reis","Revista Brasileira de Meteorologia; 30(1); 101-121","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100101&lang=pt" 
"S1130-05582015000100001-esp","Abordaje intraoral de la glándula submaxilar: presentación de un abordaje estético poco utilizado","Arribas-García, Ignacio, Gómez-Oliveira, Guillermo, Martínez Pérez, Fátima, Serrano-Álvarez, Adriana, Sánchez Burgos, Rocío, Álvarez-Florez, Modesto","Revista Española de Cirugía Oral y Maxilofacial; 37(1); 1-6","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000100001&lang=pt" 
"S1130-05582015000100005-esp","Traumatismo penetrante facial por arpón: a propósito de un caso","Veiga San Román, Pablo, Mazón Sánchez, Pedro, Gonzalvez Garcia, Mar, Vallés Bergada, Marta, Villanueva San Vicente, Víctor, Palazon Tovar, Tomás, Rodríguez González, María Ángeles","Revista Española de Cirugía Oral y Maxilofacial; 37(1); 27-31","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582015000100005&lang=pt" 
"S1808-18512015000100018-scl","Application of a semiautomatic classifier for modic and disk hernia changes in magnetic resonance","Vivas, Eduardo López Arce, Oliva, Francisco Javier Cisneros, Aguilar, Rita Quetziquel Fuentes, González, Alejandro García, Cruz, José González, Ávila, José María Jiménez","Coluna/Columna; 14(1); 18-22","Coluna/Columna","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512015000100018&lang=pt" 
"S1808-18512015000100037-scl","Percutaneous fusion of lumbar facet with bone allograft","Verdecia, Félix Dolorit, Medina, Hiram Martinez","Coluna/Columna; 14(1); 37-40","Coluna/Columna","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512015000100037&lang=pt" 
"S1808-18512015000100014-scl","Surgical treatment of Scheuermann´s disease by the posterior approach. Case series","Padilla, Antonio Hurtado, Nájera, José Antonio Canales, Alvarez, Salvador de la Cruz, Villazón, Fernando Guevara","Coluna/Columna; 14(1); 14-17","Coluna/Columna","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512015000100014&lang=pt" 
"S1808-18512015000100041-scl","Risk and radiation exposure in orthopedic surgery of the spine in Mexico","Noriega, Fernando Ivan Zaragoza, Hirotani, Fernando Hiramuro","Coluna/Columna; 14(1); 41-44","Coluna/Columna","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512015000100041&lang=pt" 
"S1808-18512015000100045-scl","Side effects of steroid use in patients with traumatic spinal cord injury","Aguayo, Juan Manuel Del Toro","Coluna/Columna; 14(1); 45-49","Coluna/Columna","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512015000100045&lang=pt" 
"S1808-18512015000100027-scl","3D point cloud in the evaluation of processes that generate instability of the lumbar spine","Gallegos, José Luis González, Gómez, Tania del Socorro Vergara, Hernández, Armando García, Martínez, Ana Karen Ibarra, González, Alejandro García, Aguilar, Rita Quetziquel Fuentes, Ávila, José María Jiménez","Coluna/Columna; 14(1); 27-32","Coluna/Columna","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-18512015000100027&lang=pt" 
