"S0036-46652014000600511-scl","HCV INFECTION THROUGH PERFORATING AND CUTTING MATERIAL AMONG CANDIDATES FOR BLOOD DONATION IN BELÉM, BRAZILIAN AMAZON","Valois, Rubenilson Caldas, Maradei-Pereira, Luciana Maria Cunha, Crescente, José Ângelo Barletta, Oliveira-Filho, Aldemir Branco de, Lemos, José Alexandre Rodrigues","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 511-515","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600511&lang=pt" 
"S0036-46652014000600493-scl","INSECTICIDE-TREATED BED NETS IN RONDÔNIA, BRAZIL: EVALUATION OF THEIR IMPACT ON MALARIA CONTROL","Vieira, Gabriel de Deus, Basano, Sergio de Almeida, Katsuragawa, Tony Hiroshi, Camargo, Luís Marcelo Aranha","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 493-497","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600493&lang=pt" 
"S0036-46652014000600499-scl","SEROLOGICAL MARKERS OF VIRAL, SYPHILITIC AND TOXOPLASMIC INFECTION IN CHILDREN AND TEENAGERS WITH NEPHROTIC SYNDROME: CASE SERIES FROM MATO GROSSO STATE, BRAZIL","Soares, Silvania França da Silva, Donatti, Teresinha Lermen, Souto, Francisco José Dutra","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 499-504","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600499&lang=pt" 
"S0120-53072014000300013-col","Access to information in qualitative research. A matter of care","de la Cuesta Benjumea, Carmen","Investigación y Educación en Enfermería; 32(3); 480-487","Investigación y Educación en Enfermería","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300013&lang=pt" 
"S0120-53072014000300012-col","Prevalence of prehypertension and associated factors in women","do Carmo Rocha, José, Bustamante Teixeira, Maria Teresa, Azevedo e Silva, Gulnar, de Castro Dias, Kristiane, Salim Miranda Duque, Maria Lúcia","Investigación y Educación en Enfermería; 32(3); 471-479","Investigación y Educación en Enfermería","Inglês, Português","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300012&lang=pt" 
"S0120-53072014000300011-col","Level of involvement of clinical nurses in the evaluation of competence of nursing students","Maciá-Soler, María Loreto, González Chordá, Víctor Manuel, Salas Medina, Pablo, Mena Tudela, Desirée, Cervera Gasch, Águeda, Orts Cortés, María Isabel","Investigación y Educación en Enfermería; 32(3); 461-470","Investigación y Educación en Enfermería","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300011&lang=pt" 
"S0120-53072014000300010-col","Knowledge, Attitude and Use of Evidence-Based Practice among nurses active on the Internet","Pérez-Campos, M. Amparo, Sánchez-García, Inmaculada, Pancorbo-Hidalgo, Pedro L","Investigación y Educación en Enfermería; 32(3); 451-460","Investigación y Educación en Enfermería","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300010&lang=pt" 
"S0120-53072014000300014-col","The value of nursing care in the paradigm of chronicity and dependency. New roles and redesigns","Ferrer-Arnedo, Carmen, Fernández-Batalla, Marta, Santamaría-García, José María, Salazar- Guerra, Rosa","Investigación y Educación en Enfermería; 32(3); 488-497","Investigación y Educación en Enfermería","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300014&lang=pt" 
"S1409-00152014000200010-cri","Lipoproteínas: metabolismo y lipoproteínas aterogénicas","Carvajal, Carlos","Medicina Legal de Costa Rica; 31(2); 88-94","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200010&lang=pt" 
"S1409-00152014000200011-cri","Neumonía lipoidea por exposición laboral","Núñez Ocampo, Ana Elena","Medicina Legal de Costa Rica; 31(2); 103-111","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200011&lang=pt" 
"S1409-00152014000200012-cri","Leptospirosis","Campos Chacón, Natalia","Medicina Legal de Costa Rica; 31(2); 112-118","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200012&lang=pt" 
"S1409-00152014000200013-cri","Embolismo de líquido amniótico","Peña Coto, Carlos","Medicina Legal de Costa Rica; 31(2); 119-126","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200013&lang=pt" 
"S1409-00152014000200014-cri","Carcinoma de Merkel (carcinoma neuroendocrino)","Madriz de Haan, Pedro, Rodríguez, Greivin","Medicina Legal de Costa Rica; 31(2); 127-134","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200014&lang=pt" 
"S1409-00152014000200015-cri","Quiste nasopalatino","Rodríguez Rojas, Greivin, Arias González, Adriana","Medicina Legal de Costa Rica; 31(2); 135-139","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200015&lang=pt" 
"S1409-00152014000200009-cri","Intoxicación por Paraquat","Viales López, Glenda","Medicina Legal de Costa Rica; 31(2); 88-94","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200009&lang=pt" 
"S1409-00152014000200008-cri","Abordaje médico legal del daño corporal en el paciente con estado anterior","Villalobos León, Kennette","Medicina Legal de Costa Rica; 31(2); 81-87","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200008&lang=pt" 
"S1409-00152014000200007-cri","Abordaje del Trauma Cráneo Encefálico en Patología Forense","Vargas Sanabria, Maikel","Medicina Legal de Costa Rica; 31(2); 65-80","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200007&lang=pt" 
"S1409-00152014000200006-cri","Síndrome Postconmocional y su valoración Médico legal","Li Canessa, Allan","Medicina Legal de Costa Rica; 31(2); 55-64","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200006&lang=pt" 
"S1409-00152014000200005-cri","Evolución histórica de las autopsias y situación actual en Costa Rica","Vargas Sanabria, Maikel","Medicina Legal de Costa Rica; 31(2); 42-54","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200005&lang=pt" 
"S1409-00152014000200004-cri","Estimación del tiempo de evolución de las excoriaciones, basado en el análisis histológico","Jiménez Quirós, David","Medicina Legal de Costa Rica; 31(2); 34-41","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200004&lang=pt" 
"S1409-00152014000200003-cri","Consideraciones médico - legales acerca de los conceptos jurisprudenciales de penetración parcial y coito vulvar: la corrección de un yerro conceptual","Ávila San Lee, Minor, Murillo Sánchez, Ricardo","Medicina Legal de Costa Rica; 31(2); 24-33","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200003&lang=pt" 
"S1409-00152014000200002-cri","Propuesta de protocolo de abordaje de mujeres víctimas de delitos sexuales que son atendidas en la sección clínica médico forense y en las unidades médico legales del departamento de medicina legal del Organismo de Investigación Judicial Poder Judicial - Costa Rica","Trejos Romanini, Micxy","Medicina Legal de Costa Rica; 31(2); 02-23","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200002&lang=pt" 
"S1409-00152014000200001-cri","Los 30 años de la Revista Medicina Legal de Costa Rica","Vargas Sanabria, Maikel","Medicina Legal de Costa Rica; 31(2); 01-01","Medicina Legal de Costa Rica","Espanhol","2014","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-00152014000200001&lang=pt" 
"S0036-46652014000600473-scl","SEROLOGICAL AND MOLECULAR SURVEY OF Leptospira spp. AMONG CART HORSES FROM AN ENDEMIC AREA OF HUMAN LEPTOSPIROSIS IN CURITIBA, SOUTHERN BRAZIL","Finger, Mariane Angélica, Barros Filho, Ivan Roque de, Leutenegger, Christian, Estrada, Marko, Ullmann, Leila Sabrina, Langoni, Hélio, Kikuti, Mariana, Dornbush, Peterson Triches, Deconto, Ivan, Biondo, Alexander Welker","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 473-476","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600473&lang=pt" 
