"S0100-40422014000300013-scl","Avaliação da lixiviação do cádmio e níquel provenientes da degradação de baterias níquel-cádmio em uma coluna de solo","Martinelli, Armando Cozer, Barrada, Renan Vicente, Ferreira, Sandra Aparecida Duarte, Freitas, Marcos Benedito José Geraldo de, Lelis, Maria de Fátima Fonte","Química Nova; 37(3); 465-472","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300013&lang=pt" 
"S0100-40422014000300010-scl","Remoção de compostos fenólicos de soluções aquosas utilizando carvão ativado preparado a partir do aguapé (Eichhornia crassipes): estudo cinético e de equilíbrio termodinâmico","Barbosa, Charles S., Santana, Sirlane Aparecida Abreu, Bezerra, Cícero Wellington Brito, Silva, Hildo Antonio dos Santos","Química Nova; 37(3); 447-453","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300010&lang=pt" 
"S0100-40422014000300011-scl","Produção de lipases de Aspergillus niger e Aspergillus fumigatus através de fermentação em estado sólido, avaliação da especificidade do substrato e seu uso em reações de esterificação e alcoólise: evaluation of substrate specificity and use in esterification and alcoholysis reactions","Reinehr, Christian Oliveira, Rizzardi, Juliana, Silva, Marceli Fernandes, Oliveira, Débora de, Treichel, Helen, Colla, Luciane Maria","Química Nova; 37(3); 454-460","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300011&lang=pt" 
"S0100-40422014000300017-scl","Glicólise do poli(3-hidroxibutirato) por via enzimática","Paul, Everton Luiz de, Campos, Tiago Ferreira, Mano, Valdir","Química Nova; 37(3); 487-491","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300017&lang=pt" 
"S0100-40422014000300014-scl","Sesquiterpenos e outros constituintes das folhas de Pterodon pubescens Benth (Leguminosae)","Miranda, Mayker Lazaro Dantas, Garcez, Fernanda Rodrigues, Abot, Alfredo Raúl, Garcez, Walmir Silva","Química Nova; 37(3); 473-476","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300014&lang=pt" 
"S0100-40422014000300018-scl","Síntese e avaliação da atividade antimalárica de compostos derivados da curcumina","Gomes, Patrícia Ramos, Miguel, Fábio Balbino, Oliveira, Michael Éder de, Ferreira, Vanessa Viana, Guimarães, Daniel Silqueira Martins, Lima, Aline Brito de, Barbosa, Camila de Souza, Oliveira, Mariana Amorim de, Almeida, Mauro Vieira de, Viana, Gustavo Henrique Ribeiro, Couri, Mara Rubia Costa, Varotti, Fernando de Pilla","Química Nova; 37(3); 492-496","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300018&lang=pt" 
"S0100-40422014000300019-scl","Evaluation of antiradical assays used in determining the antioxidant capacity of pure compounds and plant extracts","Oliveira, Sandro de, Souza, Glalci Alves de, Eckert, Camila Rodrigues, Silva, Thuany Alves, Sobral, Edmar Silva, Fávero, Oriana Aparecida, Ferreira, Marcelo José Pena, Romoff, Paulete, Baader, Wilhelm Josef","Química Nova; 37(3); 497-503","Química Nova","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300019&lang=pt" 
"S0100-40422014000300003-scl","Obtenção e caracterização de matriz apropriada para sistemas de liberação prolongada: estudos de liberação dos herbicidas atrazina e diuron","Vieira, Eunice F. S., Cestari, Antonio R., Chagas, Renata A., Cortes, Gracy Karla da R.","Química Nova; 37(3); 398-403","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300003&lang=pt" 
"S0100-40422014000300002-scl","Fourier transform infrared-attenuated total reflectance (FTIR-ATR) spectroscopy and chemometric techniques for the determination of adulteration in petrodiesel/biodiesel blends","Peña, Armando Guerrero, Franseschi, Francisco Anguebes, Estrada, Mepivoseth Castelán, Ramos, Victorino Morales, Zarracino, Reyes García, Loría, José C. Zavala, Quiroz, Atl V. Córdova","Química Nova; 37(3); 392-397","Química Nova","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300002&lang=pt" 
"S0100-40422014000300005-scl","Use of heterogeneous catalysts in methylic biodiesel production induced by microwave irradiation","Dall&#039;Oglio, Evandro L., Sousa Jr, Paulo T. de, Oliveira, Pedro Tiago de Jesus, Vasconcelos, Leonardo Gomes de, Parizotto, Carlos Adriano, Kuhnen, Carlos Alberto","Química Nova; 37(3); 411-417","Química Nova","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300005&lang=pt" 
