"S1816-79502012000400008-sza","Fenton and solar photo-Fenton processes for the removal of chlorpyrifos insecticide in wastewater","Samet, Youssef, Hmani, Emna, Abdelhédi, Ridha","Water SA; 38(4); 537-542","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400008&lang=pt" 
"S1816-79502012000400009-sza","Spectrophotometric determination of fluoride in drinking water using aluminium complexes of triphenylmethane dyes","Barghouthi, Zaher, Amereih, Sameer","Water SA; 38(4); 543-548","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400009&lang=pt" 
"S1816-79502012000400010-sza","A comparative life cycle assessment of process water treatment technologies at the Secunda industrial complex, South Africa","Ras, C, von Blottnitz, H","Water SA; 38(4); 549-554","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400010&lang=pt" 
"S1816-79502012000400011-sza","Prioritising alternatives for maintenance of water distribution networks: a group decision approach","Trojan, Flavio, Morais, Danielle Costa","Water SA; 38(4); 555-564","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400011&lang=pt" 
"S1816-79502012000400012-sza","Operational optimisation of water supply networks using a fuzzy system","Bezerra, Saulo de Tarso Marques, da Silva, Simplício Arnaud, Gomes, Heber Pimentel","Water SA; 38(4); 565-572","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400012&lang=pt" 
"S1816-79502012000400013-sza","Comprehensive entropy weight observability-controllability risk analysis and its application to water resource decision-making","Xun-Gui, Li, Xia, Wei, Qiang, Huang","Water SA; 38(4); 573-580","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400013&lang=pt" 
"S1816-79502012000400014-sza","Assessment of microbial contamination of groundwater in upper Limphasa River catchment, located in a rural area of northern Malawi","Kanyerere, Thokozani, Levy, Jonathan, Xu, Yongxin, Saka, John","Water SA; 38(4); 581-596","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400014&lang=pt" 
"S1816-79502012000400015-sza","Nitrogen, phosphorus and silicon in riparian ecosystems along the Berg River (South Africa): the effect of increasing human land use","Struyf, Eric, Bal, Kris D, Backx, Hans, Vrebos, Dirk, Casteleyn, Annelies, De Deckere, Eric, Schoelynck, Jonas, Brendonck, Luc, Raitt, Lincoln M, Meire, Patrick","Water SA; 38(4); 597-606","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400015&lang=pt" 
"S1816-79502012000400016-sza","Nitrate-induced changes and effect of varying total nitrogen to total phosphorus ratio on the phytoplankton community in Lake Chivero, Zimbabwe: microcosm experiments","Mhlanga, Lindah, Mhlanga, Wilson","Water SA; 38(4); 607-614","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400016&lang=pt" 
"S1816-79502012000400017-sza","Sludge pipe flow pressure drop prediction using composite power-law friction factor-Reynolds number correlations based on different non-Newtonian Reynolds numbers","Haldenwang, R, Sutherland, APN, Fester, VG, Holm, R, Chhabra, RP","Water SA; 38(4); 615-622","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400017&lang=pt" 
"S1816-79502012000400018-sza","Simulation of hydrological processes in the Simiyu River, tributary of Lake Victoria, Tanzania","Rwetabula, Justus, De Smedt, Florimond, Rebhun, Menahem","Water SA; 38(4); 623-632","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400018&lang=pt" 
"S1816-79502012000400019-sza","Methods for design flood estimation in South Africa","Smithers, JC","Water SA; 38(4); 633-646","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400019&lang=pt" 
"S0718-69242012000100001-chl","Ruralidad: Desafíos y Proyecciones Para los Estudios Sociales","Ascorra, Paula","Psicoperspectivas; 11(1); 1-7","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100001&lang=pt" 
"S0718-69242012000100002-chl","Lo rural y la ruralidad en América Latina: categorías conceptuales en debate","Romero, Juan","Psicoperspectivas; 11(1); 8-31","Psicoperspectivas","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242012000100002&lang=pt" 
