"S0102-33062010000400004-scl","Novidades taxonômicas em Croton sect. Argyroglossum Baill. e C. sect. Lasiogyne Klotzsch (Crotonoideae-Euphorbiaceae)","Gomes, Ana Paula de Souza, Sales, Margareth Ferreira de, Melo, André Laurênio de","Acta Botanica Brasilica; 24(4); 905-908","Acta Botanica Brasilica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400004&lang=pt" 
"S0102-33062010000400009-scl","Novas ocorrências de liquens corticícolas crostosos para a região sul do Brasil","Käffer, Márcia Isabel, Cárceres, Marcela Eugenia da Silva, Vargas, Vera Maria Ferrão, Martins, Suzana Maria de Azevedo","Acta Botanica Brasilica; 24(4); 948-951","Acta Botanica Brasilica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400009&lang=pt" 
"S0102-33062010000400007-scl","Characterization of phytoplankton biodiversity in tropical shipwrecks off the coast of Pernambuco, Brazil","Santos, Douglas Henrique Cavalcanti dos, Silva-Cunha, Maria da Glória Gonçalves, Santiago, Marilene Felipe, Passavante, José Zanon de Oliveira","Acta Botanica Brasilica; 24(4); 924-934","Acta Botanica Brasilica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400007&lang=pt" 
"S0102-33062010000400021-scl","Passiflora kikiana, a new species of Passifloraceae from the Brazilian Amazon","Cervi, Armando Carlos, Linsingen, Leonardo von","Acta Botanica Brasilica; 24(4); 1062-1064","Acta Botanica Brasilica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400021&lang=pt" 
"S0102-33062010000400011-scl","Situação amostral e riqueza de espécies das Angiospermas do estado do Ceará, Brasil","Freitas, Regina Celli Araújo de, Matias, Lígia Queiroz","Acta Botanica Brasilica; 24(4); 964-971","Acta Botanica Brasilica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400011&lang=pt" 
"S0102-33062010000400012-scl","Pollination biology of Paliavana tenuiflora (Gesneriaceae: Sinningeae) in Northeastern Brazil","Ferreira, Patrícia Alves, Viana, Blandina Felipe","Acta Botanica Brasilica; 24(4); 972-977","Acta Botanica Brasilica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400012&lang=pt" 
"S0102-33062010000400013-scl","Caracterização da germinação e morfologia de frutos, sementes e plântulas de Dalbergia cearensis Ducke (pau-violeta) - Fabaceae","Nogueira, Francisco Carlos Barboza, Medeiros Filho, Sebastião, Gallão, Maria Izabel","Acta Botanica Brasilica; 24(4); 978-985","Acta Botanica Brasilica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400013&lang=pt" 
"S0102-33062010000400016-scl","Novas ocorrências de desmídias filamentosas (Desmidiaceae, Zygnematophyceae) para o estado da Bahia, Brasil","Oliveira, Ivania Batista de, Bicudo, Carlos Eduardo de Mattos, Moura, Carlos Wallace do Nascimento","Acta Botanica Brasilica; 24(4); 1017-1026","Acta Botanica Brasilica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400016&lang=pt" 
"S0102-33062010000400029-scl","Nomenclatural and taxonomic review of Passifloraceae species illustrated and described by Vellozo in Flora Fluminensis","Cervi, Armando Carlos, Rodrigues, William Antonio","Acta Botanica Brasilica; 24(4); 1109-1111","Acta Botanica Brasilica","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400029&lang=pt" 
"S0102-33062010000400017-scl","Plantas nativas úteis na Vila dos Pescadores da Reserva Extrativista Marinha Caeté-Taperaçu, Pará, Brasil","Carneiro, Diogo Borges, Barboza, Myrian Sá Leitão, Menezes, Moirah Paula","Acta Botanica Brasilica; 24(4); 1027-1033","Acta Botanica Brasilica","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062010000400017&lang=pt" 
