"S1851-82652008000300005-arg","Caminos divergentes para la protección social en salud en México","López-Arellano, Oliva, Blanco Gil, José","Salud colectiva; 4(3); 319-333","Salud colectiva","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652008000300005&lang=pt" 
"S1851-82652008000300004-arg","Políticas de drogas: prevención, participación y reducción del daño","Romaní, Oriol","Salud colectiva; 4(3); 301-318","Salud colectiva","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652008000300004&lang=pt" 
"S1851-82652008000300003-arg","Procesos macroeconómicos y homicidios: Un estudio ecológico en los partidos del Gran Buenos Aires (Argentina) entre los años 1989 y 2006","Spinelli, Hugo, Macías, Guillermo, Darraidou, Victoria","Salud colectiva; 4(3); 283-299","Salud colectiva","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652008000300003&lang=pt" 
"S1851-82652008000300006-arg","Promoción de la Salud, &quot;empowerment&quot; y educación: una reflexión crítica como contribución a la reforma sanitaria","Carvalho, Sérgio Resende","Salud colectiva; 4(3); 335-347","Salud colectiva","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652008000300006&lang=pt" 
"S1851-82652008000300002-arg","El derecho a la salud en los tribunales: Algunos efectos del activismo judicial sobre el sistema de salud en Argentina","Abramovich, Víctor, Pautassi, Laura","Salud colectiva; 4(3); 261-282","Salud colectiva","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652008000300002&lang=pt" 
"S1852-77442008000100001-arg","Métodos gravi-magnetométricos modernos para analizar las características estructurales de la plataforma continental Argentina","Introcaso, Antonio, Ghidella, Marta Elba, Ruiz, Francisco, Crovetto, Carolina Beatriz, Introcaso, Beatriz, Paterlini, Carlos Marcelo","Geoacta; 33(); 1-20","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100001&lang=pt" 
"S1852-77442008000100002-arg","Procesos atmosféricos/oceánicos de baja frecuencia sobre la cuenca sudoeste del Atlántico Sur y la variabilidad de la precipitación en el centro-oeste de Argentina","Agosta, Eduardo Andres, Compagnucci, Rosa Hilda","Geoacta; 33(); 21-30","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100002&lang=pt" 
"S1852-77442008000100003-arg","Movilidad de metales y otros elementos en el acuífero loéssico regional del suroeste bonaerense","Bonorino, A. Guillermo, Limbozzi, Fabiana, Albouy, René, Lexow, Claudio","Geoacta; 33(); 31-42","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100003&lang=pt" 
"S1852-77442008000100004-arg","Mapeo de lineamientos a partir de un DEM (SRTM3): desarrollo y aplicaciones para el estudio de un área de los Andes Patagónicos Septentrionales","Gallegos, Ernesto, Martínez Dopico, Carmen I., Berbeglia, Yanina","Geoacta; 33(); 43-47","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100004&lang=pt" 
"S1852-77442008000100005-arg","Fluctuaciones interanuales a multidecádicas de la temperatura de verano en el centro-oeste de Argentina y procesos atmosféricos/oceánicos/astronómicos globales","Agosta, Eduardo Andres, Martin, Paula Beatriz","Geoacta; 33(); 48-56","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100005&lang=pt" 
"S1852-77442008000100006-arg","La cartografía de Bahía Blanca en los paradigmas históricos","Melo, Walter D., Píccolo, María Cintia, Perillo, Gerardo M.E.","Geoacta; 33(); 57-69","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100006&lang=pt" 
"S1852-77442008000100007-arg","Estudios de exploración geoeléctrica sobre la Formación Marifil entre Puerto Madryn y Telsen (provincia de Chubut)","Navarro, Edgardo","Geoacta; 33(); 70-80","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100007&lang=pt" 
"S1852-77442008000100008-arg","Aplicación de un método de interpolación en regiones costeras","Pierini, Jorge O., Sassi, Maximiliano G., Perillo, Gerardo M.E.","Geoacta; 33(); 81-90","Geoacta","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-77442008000100008&lang=pt" 
