"S0122-53832009000100012-col","SYNGAS OBTAINMENT FROM THE GASIFICATION OF ASPHALTENES OF THE SAN FERNANDO CRUDE OIL","Smith Moreno-Arciniegas, Laura, Rodríguez-Corredor, Fabio-Ernesto, Afanador-Rey, Luz-Edelmira, Grosso-Vargas, Jorge-Luis","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 189-202","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100012&lang=pt" 
"S0122-53832009000100013-col","MOLECULAR AND MULTISCALE MODELING: REVIEW ON THE THEORIES AND APPLICATIONS IN CHEMICAL ENGINEERING","Morales Medina, Giovanni, Martínez Rey, Ramiro","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 205-224","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100013&lang=pt" 
"S0122-53832009000100010-col","OPTIMIZATION MODEL OF A SYSTEM OF CRUDE OIL DISTILLATION UNITS WITH HEAT INTEGRATION AND METAMODELING","López, Diana-C., Mahecha, Cesar-A., Hoyos, Luis-J., Acevedo, Leonardo, Villamizar, Jaime-F.","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 159-173","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100010&lang=pt" 
"S0122-53832009000100011-col","","Latorre, Guillermo, Vargas, Fabio","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 175-188","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100011&lang=pt" 
"S0122-53832009000100014-col","COMPARISON OF COMBUSTION PROPERTIES OF SIMULATED BIOGAS AND METHANE","Díaz-González, Carlos, Arrieta, Andrés-Amell, Suárez, José-Luis","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 225-236","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100014&lang=pt" 
"S0122-53832009000100005-col","ASSEMBLY OF A METHODOLOGY FOR DETERMINATION OF MEMBRANE EFFICIENCY IN PRESERVED SHALES","Villabona-Camacho, Jhoao, Orozco-Orozco, Sergio, Calderón-Carrillo, Zuly, Saavedra, Néstor-F","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 67-84","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100005&lang=pt" 
"S0122-53832009000100004-col","METHODOLOGY TO CALCULATE THE FRACTURE GRADIENT IN A TECTONICALLY ACTIVE ZONE: AN APPLICATION IN COLOMBIAN FOOTHILLS","Contreras, Oscar-M, Corzo, Reinel, Saavedra, Néstor-F, Calderón, Zuly-H","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 53-66","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100004&lang=pt" 
"S0122-53832009000100007-col","STRAIGHT LINE METHODS FOR ESTIMATING PERMEABILITY OR WIDTH FOR A TWO-ZONE COMPOSITE CHANNELIZED RESERVOIR","Escobar, Freddy-Humberto, Montealegre-Madero, Matilde, Carrillo-Moreno, Daniel","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 107-124","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100007&lang=pt" 
"S0122-53832009000100006-col","CONVENTIONAL PRESSURE ANALYSIS FOR NATURALLY FRACTURED RESERVOIRS WITH TRANSITION PERIOD BEFORE AND AFTER THE RADIAL FLOW REGIME","Escobar, Freddy-Humberto, Martinez, Javier-Andrés, Montealegre-Madero, Matilde","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 85-105","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100006&lang=pt" 
"S0122-53832009000100001-col","","Pérez, Zayra, Ojeda, German Y, Mateus, Darwin","CT&amp;F - Ciencia, Tecnología y Futuro; 3(5); 07-17","CT&amp;F - Ciencia, Tecnología y Futuro","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-53832009000100001&lang=pt" 
