"S1727-37812010000200005-sza","Temporary employment services (labour brokers) in South Africa and Namibia","van Eck, BPS","PER: Potchefstroomse Elektroniese Regsblad; 13(2); 107-126","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812010000200005&lang=pt" 
"S1727-37812010000200006-sza","National Credit Regulator versus Nedbank Ltd and the practice of debt counselling in South Africa","Villiers, DW de","PER: Potchefstroomse Elektroniese Regsblad; 13(2); 128-160","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812010000200006&lang=pt" 
"S1727-37812010000200007-sza","How could the pension funds adjudicator get it so wrong? A critique of Smith Versus Eskom Pension and Provident Fund","Dyani, N, Mhango, MO","PER: Potchefstroomse Elektroniese Regsblad; 13(2); 162-181","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812010000200007&lang=pt" 
"S1727-37812010000200008-sza","What should the board of management of a pension fund consider when dealing with death claims involving surviving cohabitants?","Mhango, MO","PER: Potchefstroomse Elektroniese Regsblad; 13(2); 183-204","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812010000200008&lang=pt" 
"S2071-07632010000100010-sza","Burnout and engagement of reformed church ministers","Buys, Chenelle, Rothmann, Sebastiaan","SA Journal of Industrial Psychology; 36(1); 1-11","SA Journal of Industrial Psychology","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-07632010000100010&lang=pt" 
"S2071-07632010000100011-sza","A competence executive coaching model","Koortzen, Pieter","SA Journal of Industrial Psychology; 36(1); 1-11","SA Journal of Industrial Psychology","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2071-07632010000100011&lang=pt" 
"S1516-80342010000300029-scl","Caracterização do fenótipo comportamental e de linguagem na síndrome de Williams-Beuren","Rossi, Natalia Freitas","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 484-484","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300029&lang=pt" 
"S1516-80342010000300028-scl","Discriminação fonêmica, processamento auditivo e reflexo acústico em crianças com desenvolvimento de fala normal e desviante","Attoni, Tiago Mendonça","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 483-483","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300028&lang=pt" 
"S1516-80342010000300027-scl","Análise do efeito imediato da aplicação de técnicas vocais","Pereira, Eliane Cristina","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 482-482","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300027&lang=pt" 
"S1516-80342010000300001-scl","Editorial","Fernandes, Fernanda Dreux M.","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); vi-vii","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300001&lang=pt" 
