"S0719-12432015000100007-chl","Igor Goicovic Donoso Movimiento de Izquierda Revolucionaria","Téllez Lúgaro, Eduardo","Cuadernos de historia (Santiago); (42); 181-188","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100007&lang=pt" 
"S0100-39842015000300015-scl","Acute post-tonsillectomy negative pressure pulmonary edema","Pessanha, Lais Bastos, Melo, Adriana Maria Fonseca de, Braga, Flavia Silva, Oliveira, Gabriel Antonio de, Barbosa, Livia Guidoni de Assis, Carrareto, Antonio Roberto","Radiologia Brasileira; 48(3); 197-198","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000300015&lang=pt" 
"S1806-37132015000300250-scl","Small interstitial nodules","Marchiori, Edson, Zanetti, Gláucia, Hochhegger, Bruno","Jornal Brasileiro de Pneumologia; 41(3); 250-250","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000300250&lang=pt" 
"S0085-56262015000200124-scl","The taxonomic identity of Heliconius melpomene f. pyritosa var. fumigata Zikán (Lepidoptera: Nymphalidae)","Freitas, André Victor Lucci","Revista Brasileira de Entomologia; 59(2); 124-125","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000200124&lang=pt" 
"S0100-39842015000300014-scl","Gastric Kaposi’s sarcoma","Teixeira, Veluma Lopes, Santana Júnior, Pedro José de, Teixeira, Kim-Ir-Sen Santos, Carneiro, Daniella, Moreira, Marise, Paula, Gabriela Moura","Radiologia Brasileira; 48(3); 196-197","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000300014&lang=pt" 
"S1806-37132015000300285-scl","Intracavitary pulmonary aspergilloma: endoscopic aspects","Lima, Evelise, Nagy, André Louis Lobo, Athanazio, Rodrigo Abensur","Jornal Brasileiro de Pneumologia; 41(3); 285-285","Jornal Brasileiro de Pneumologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-37132015000300285&lang=pt" 
"S0719-12432015000100008-chl","Eugenia Palieraki¡ La revolución ya viene! El MIR chileno en los años sesenta","Bonnassiolle Cortés, Marcelo","Cuadernos de historia (Santiago); (42); 189-191","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100008&lang=pt" 
"S0085-56262015000200143-scl","Axima nordestina (Hymenoptera, Eurytomidae), a new stalk-eyed wasp from Brazilian savannah","Barbosa, Diego N., Krogmann, Lars, Azevedo, Celso O.","Revista Brasileira de Entomologia; 59(2); 143-146","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000200143&lang=pt" 
"S0719-12432015000100009-chl","Vico, Mauricio (Ed.) El afiche político en Chile 1970-2013. Unidad Popular, Clandestinidad, Transición Democrática y Movimientos Sociales","Cornejo C, Tomás","Cuadernos de historia (Santiago); (42); 192-195","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100009&lang=pt" 
"S1518-70122015000100017-scl","Formação profissional de nível médio: o ensino médio integrado no Instituto Federal de Mato Grosso do Sul","Tominaga, Mirta Rie de Oliveira, Carmo, Jefferson Carriello do","Interações (Campo Grande); 16(1); 189-200","Interações (Campo Grande)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-70122015000100017&lang=pt" 
