"S0188-252X2013000200013-mex","Filosofía y comunicación, diálogos, encuentros y posibilidades","González Reyes, Rodrigo","Comunicación y sociedad; (20); 249-253","Comunicación y sociedad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2013000200013&lang=pt" 
"S1681-150X2013000500003-sza","Biomarkers in rheumatoid arthritis - the old and new","Ally, Mahmood MTM","SA Orthopaedic Journal; 12(4); 19-22","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500003&lang=pt" 
"S1681-150X2013000500004-sza","The epidemiology of femur shaft fractures in children","Mughal, MA, Dix-Peek, SI, Hoffman, EB","SA Orthopaedic Journal; 12(4); 23-27","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500004&lang=pt" 
"S1681-150X2013000500005-sza","The effect of two different plastering techniques on the rate of major surgery in idiopathic clubfoot","Horn, A, Dix-Peek, SI, Hoffman, EB","SA Orthopaedic Journal; 12(4); 28-32","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500005&lang=pt" 
"S1681-150X2013000500006-sza","A practical way to calibrate digital radiographs in hip arthroplasty","Blake, CA, van der Merwe, J, Raubenheimer, JE","SA Orthopaedic Journal; 12(4); 33-37","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500006&lang=pt" 
"S1681-150X2013000500007-sza","Is there a role for prolonged post-operative antibiotic use in primary total hip arthroplasty in the African setting?","Kigera, JWM, Gakuo, LN","SA Orthopaedic Journal; 12(4); 38-40","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500007&lang=pt" 
"S1681-150X2013000500008-sza","Focal full thickness articular cartilage lesions treated with an articular resurfacing prosthesis in the middle-aged","Hobbs, H, Ketse-Matiwane, N, van der Merwe, W, Posthumus, M","SA Orthopaedic Journal; 12(4); 41-46","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500008&lang=pt" 
"S1681-150X2013000500009-sza","Synovial haemangioma as a cause for atraumatic haemarthrosis of the knee - a case report","Joubert, E","SA Orthopaedic Journal; 12(4); 48-53","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500009&lang=pt" 
"S1681-150X2013000500010-sza","Open tibial bone transport following a failed bi-Masquelet procedure -a case report","Ferreira, N, Marais, LC","SA Orthopaedic Journal; 12(4); 50-53","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500010&lang=pt" 
"S1681-150X2013000500001-sza","Are we under attack?","Dunn, Robert","SA Orthopaedic Journal; 12(4); 14-17","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500001&lang=pt" 
"S1681-150X2013000500011-sza","","","SA Orthopaedic Journal; 12(4); 54-61","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500011&lang=pt" 
