"S0104-42302017000100021-scl","Depression, stress and anxiety in medical students: A cross-sectional comparison between students from different semesters","Moutinho, Ivana Lúcia Damásio, Maddalena, Natalia de Castro Pecci, Roland, Ronald Kleinsorge, Lucchetti, Alessandra Lamas Granero, Tibiriçá, Sandra Helena Cerrato, Ezequiel, Oscarina da Silva, Lucchetti, Giancarlo","Revista da Associação Médica Brasileira; 63(1); 21-28","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100021&lang=pt" 
"S0797-55382017000100006-ury","Trabajo audiovisual: Tercerización e inestabilidad, regulaciones y respuestas sindicales","Bulloni, María Noel","Revista de Ciencias Sociales; 30(40); 109-128","Revista de Ciencias Sociales","Espanhol","2017","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0797-55382017000100006&lang=pt" 
"S0797-55382017000100005-ury","tic, cadenas y desarrollo de Santiago de Chile: ¿Conocimiento transferido o autorreferido?","Falabella García, Gonzalo, Gatica Neira, Francisco","Revista de Ciencias Sociales; 30(40); 83-108","Revista de Ciencias Sociales","Espanhol","2017","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0797-55382017000100005&lang=pt" 
"S0797-55382017000100008-ury","“Discapacidad” y opresión: Una crítica desde la teoría de la dominación de Bourdieu","Ferrante, Carolina, Dukuen, Juan","Revista de Ciencias Sociales; 30(40); 151-168","Revista de Ciencias Sociales","Espanhol","2017","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0797-55382017000100008&lang=pt" 
"S0797-55382017000100007-ury","La percepción de la muerte en el curso de la vida: Un estudio del papel de la muerte en los cambios y eventos biográficos","Lynch, Gloria, Oddone, María Julieta","Revista de Ciencias Sociales; 30(40); 129-150","Revista de Ciencias Sociales","Espanhol","2017","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0797-55382017000100007&lang=pt" 
"S0797-55382017000100003-ury","Tres leyes innovadoras en Uruguay: Aborto, matrimonio homosexual y regulación de la marihuana","Arocena, Felipe, Aguiar, Sebastián","Revista de Ciencias Sociales; 30(40); 43-62","Revista de Ciencias Sociales","Espanhol","2017","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0797-55382017000100003&lang=pt" 
"S0797-55382017000100002-ury","Multidimensionalidad de la pobreza en Uruguay, 2006-2013: Análisis en cuatro dominios geográficos","Borrás Ramos, Víctor","Revista de Ciencias Sociales; 30(40); 13-42","Revista de Ciencias Sociales","Espanhol","2017","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0797-55382017000100002&lang=pt" 
"S0797-55382017000100004-ury","Afrodescendencia y restauración democrática en Uruguay: ¿Una nueva visión de ciudadanía?","Olaza, Mónica","Revista de Ciencias Sociales; 30(40); 63-82","Revista de Ciencias Sociales","Espanhol","2017","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0797-55382017000100004&lang=pt" 
"S0797-55382017000100001-ury","Cambios sociales y derechos en el Cono Sur","Rivoir, Ana","Revista de Ciencias Sociales; 30(40); 9-11","Revista de Ciencias Sociales","Espanhol","2017","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0797-55382017000100001&lang=pt" 
"S1514-68712017000100002-arg","Las condiciones laborales de las y los enfermeros en Argentina: entre la profesionalización y la precariedad del cuidado en la salud","Aspiazu, Eliana","Trabajo y sociedad; (28); 11-35","Trabajo y sociedad","Espanhol","2017","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1514-68712017000100002&lang=pt" 
