"S0036-36342016000600608-mex","Relative validity of a food frequency questionnaire to identify dietary patterns in an adult Mexican population","Denova-Gutiérrez, Edgar, Tucker, Katherine L, Salmerón, Jorge, Flores, Mario, Barquera, Simón","Salud Pública de México; 58(6); 608-616","Salud Pública de México","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600608&lang=pt" 
"S0036-36342016000600639-mex","Monitoreo de la desigualdad en protección financiera y atención a la salud en México: análisis de las encuestas de salud 2000, 2006 y 2012","Gutiérrez, Juan Pablo, García-Saisó, Sebastián, Espinosa-de la Peña, Rodrigo, Balandrán, Dulce Alejandra","Salud Pública de México; 58(6); 639-647","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600639&lang=pt" 
"S0036-36342016000600606-mex","Conformación del Observatorio de Inequidades en Salud en México","Meljem-Moctezuma, José","Salud Pública de México; 58(6); 606-607","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600606&lang=pt" 
"S0255-69522016000200001-ven","","Müller S, Alejandro J","Revista Latinoamericana de Metalurgia y Materiales; 36(2); 107-107","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522016000200001&lang=pt" 
"S0036-36342016000600586-mex","Internet y vacunas: análisis de su uso por padres de familia, sus percepciones y asociaciones","Pérez-Gaxiola, Giordano, Castrejón-García, Galo Vladimir, León-Sicairos, Nidia, Cuello-García, Carlos A","Salud Pública de México; 58(6); 586-587","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600586&lang=pt" 
"S0036-36342016000600595-mex","El impacto del envejecimiento sobre el sistema de salud colombiano","Rosselli, Diego, Hernández-Galvis, Juanita","Salud Pública de México; 58(6); 595-596","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600595&lang=pt" 
"S0036-36342016000600591-mex","Los criterios de elegibilidad actuales del Seguro Popular para recibir tratamiento para el virus de la hepatitis C","Moctezuma-Velázquez, Carlos, Sánchez-Ávila, Juan Francisco, García-Juárez, Ignacio, Uscanga-Domínguez, Luis Federico, Kershenobich-Stalnikowitz, David","Salud Pública de México; 58(6); 591-592","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600591&lang=pt" 
"S0036-36342016000600589-mex","Cursos virtuales de medicina basada en evidencias","Urrunaga-Pastor, Diego, Taype-Rondan, Alvaro","Salud Pública de México; 58(6); 589-591","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600589&lang=pt" 
"S0036-36342016000600585-mex","Cáncer primario múltiple: factores que condicionan una detección oportuna","Díaz-Vélez, Cristian, Torres-Román, Junior Smith, Fernández-Mogollon, Jorge L, Grados-Sánchez, Oswaldo","Salud Pública de México; 58(6); 585-586","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600585&lang=pt" 
"S0036-36342016000600592-mex","Cáncer colorrectal en Nuevo León: factores de riesgo, hallazgos clínicos y cambios en el desempeño físico de los pacientes a los 12 meses de postcirugía","Delgado-González, Paulina, Said-Fernández, Salvador, García-González, Irma Sandra, Garza-Treviño, Elsa Nancy, Padilla-Rivas, Gerardo Raymundo, Flores-Gutiérrez, Juan Pablo, Muñoz-Maldonado, Gerardo Enrique, Treviño-Lozano, Marco Antonio, González-Guerrero, Juan Francisco, Martínez-Rodríguez, Herminia Guadalupe","Salud Pública de México; 58(6); 592-594","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600592&lang=pt" 
"S0255-69522016000200002-ven","Materiales polimeros de tipo hidrogeles: revisión sobre su caracterización mediante ftir, dsc, meb y met","Ramirez, Arnaldo, Benítez, José Luis, Rojas de Astudillo, Luisa, Rojas de Gáscue, Blanca","Revista Latinoamericana de Metalurgia y Materiales; 36(2); 108-130","Revista Latinoamericana de Metalurgia y Materiales","Espanhol","2016","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0255-69522016000200002&lang=pt" 
"S0036-36342016000600694-mex","The intellectual developmental disorders Mexico study: situational diagnosis, burden, genomics and intervention proposal","Lazcano-Ponce, Eduardo, Katz, Gregorio, Rodríguez-Valentín, Rocío, Castro, Filipa de, Allen-Leigh, Betania, Márquez-Caraveo, María Elena, Ramírez-García, Miguel Ángel, Arroyo-García, Eduardo, Medina-Mora, María Elena, Ángeles, Gustavo, Urquieta-Salomón, José Edmundo, Salvador-Carulla, Luis","Salud Pública de México; 58(6); 694-707","Salud Pública de México","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600694&lang=pt" 
"S0036-36342016000600708-mex","Health workers cohort study: methods and study design","Denova-Gutiérrez, Edgar, Flores, Yvonne N, Gallegos-Carrillo, Katia, Ramírez-Palacios, Paula, Rivera-Paredez, Berenice, Muñoz-Aguirre, Paloma, Velázquez-Cruz, Rafael, Torres-Ibarra, Leticia, Meneses-León, Joacim, Méndez-Hernández, Pablo, Hernández-López, Rubí, Salazar-Martínez, Eduardo, Talavera, Juan O, Tamayo, Juan, Castañón, Susana, Osuna-Ramírez, Ignacio, León-Maldonado, Leith, Flores, Mario, Macías, Nayeli, Antúnez, Daniela, Huitrón-Bravo, Gerardo, Salmerón, Jorge","Salud Pública de México; 58(6); 708-716","Salud Pública de México","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600708&lang=pt" 
"S0102-30982016000300467-scl","O papel de editores de revistas de associações científicas","Cavenaghi, Suzana","Revista Brasileira de Estudos de População; 33(3); 467-474","Revista Brasileira de Estudos de População","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982016000300467&lang=pt" 
"S0102-30982016000300629-scl","Estimating age- and sex-specific mortality rates for small areas with TOPALS regression: an application to Brazil in 2010","Gonzaga, Marcos Roberto, Schmertmann, Carl Paul","Revista Brasileira de Estudos de População; 33(3); 629-652","Revista Brasileira de Estudos de População","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-30982016000300629&lang=pt" 
"S0102-69922016000300671-scl","Edição e tradução, entre a cultura e a política: Argentina e Brasil na Feira do Livro de Frankfurt","Muniz Jr., José de Souza, Szpilbarg, Daniela","Sociedade e Estado; 31(3); 671-692","Sociedade e Estado","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69922016000300671&lang=pt" 
"S0080-62342016000600887-scl","There is much to learn from this turbulent year that now comes to an end!","Oliveira, Maria Amélia de Campos, Egry, Emiko Yoshikawa","Revista da Escola de Enfermagem da USP; 50(6); 887-889","Revista da Escola de Enfermagem da USP","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342016000600887&lang=pt" 
"S0101-32622016000300399-scl","JUSTICIA SOCIAL Y DISCURSO CRÍTICO EN EDUCACIÓN: UNA MIRADA DESDE FRANÇOIS DUBET","Urrutia, Carlos","Cadernos CEDES; 36(100); 399-401","Cadernos CEDES","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622016000300399&lang=pt" 
"S0718-34372016000300016-chl","Prado López, Pamela (2015): La colaboración del acreedor en los contratos civiles","Corral Talciani, Hernán","Revista chilena de derecho; 43(3); 1113-1115","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000300016&lang=pt" 
"S0102-69922016000300577-scl","Editorial","Bandeira, Lourdes M., Collares, Ana Cristina M., Almeida, Tânia Mara C.","Sociedade e Estado; 31(3); 577-579","Sociedade e Estado","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69922016000300577&lang=pt" 
"S0718-34372016000300001-chl","EDITORIAL","Goldenberg Serrano, Juan Luis","Revista chilena de derecho; 43(3); 785-786","Revista chilena de derecho","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34372016000300001&lang=pt" 
