"S0120-04882015000100023-col","Neoatriplectides(Trichoptera: Atriplectididae) en Colombia: Notas sobre su taxonomía, ecología y distribución en el Neotrópico","ZÚÑIGA, MARÍA DEL CARMEN, GIRALDO, LINA PAOLA, RAMÍREZ, YULY PAULINA, CHARÁ, JULIÁN, RAMOS, BLANCA CECILIA","Revista Colombiana de Entomología; 41(1); 149-152","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100023&lang=pt" 
"S0120-04882015000100008-col","Desarrollo larval de Chrysomya megacephala (Díptera: Calliphoridae) en diferentes dietas y densidades larvales","AGUIRRE-GIL, ONIEL JEREMÍAS, IGLESIAS VALENTE, FABRICIO, SERPA DOS SANTOS, LETICIA, DE LIMA VIANA, DANIELA, BUSOLI, ANTONIO CARLOS","Revista Colombiana de Entomología; 41(1); 48-57","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100008&lang=pt" 
"S0120-04882015000100010-col","Evaluación del potencial insecticida del néctar de Spathodea campanulata (Bignoniaceae) sobre Sitophilus zeamais (Coleóptera: Curculionidae)","PAIVA FRANCO, DENISE, GUERREIRO, JÚLIO CÉSAR, RUIZ, MARCELO GUSTAVO, GONÇALVES DA SILVA, REGILDO MÁRCIO","Revista Colombiana de Entomología; 41(1); 63-67","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100010&lang=pt" 
"S0120-04882015000100006-col","Growth and nutritional physiology of Spodoptera frugiperda (Lepidoptera: Noctuidae) fed on Meliaceae fractions","MARCOMINI GIONGO, ANGELINA MARIA, VENDRAMIM, JOSÉ DJAIR, LIMA DE FREITAS, SÂMYA DANIELLE, DAS GRAÇAS FERNANDES DA SILVA, MARIA FÁTIMA","Revista Colombiana de Entomología; 41(1); 33-40","Revista Colombiana de Entomología","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100006&lang=pt" 
"S0120-04882015000100013-col","Efficacy of Metarhizium anisopliae combined with diatomaceous earth against Sitophilus oryzae(Coleoptera: Curculionidae) under laboratory conditions","WAKIL, WAQAS, GHAZANFAR, M. USMAN, YASIN, MUHAMMAD, JUNG KWON, YONG","Revista Colombiana de Entomología; 41(1); 81-86","Revista Colombiana de Entomología","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100013&lang=pt" 
"S0120-04882015000100004-col","Eficacia de trampas para capturar Rhynchophorus palmarum (Coleóptera: Dryophthoridae) en plantaciones de palma de aceite","MOYA-MURILLO, OSCAR MAURICIO, ALDANA-DE LA TORRE, ROSA CECILIA, BUSTILLO-PARDEY, ALEX ENRIQUE","Revista Colombiana de Entomología; 41(1); 18-23","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100004&lang=pt" 
"S0120-04882015000100012-col","Compatibility of pesticides with the generalist predatory mite Amblyseius largoensis (Acari: Phytoseiidae)","ROCHA DA SILVA, RAFAEL, VIEIRA TEODORO, ADENIR, DE SOUSA SILVA, MARIA DE JESUS, REBELLES REIS, PAULO, SANTOS SILVA, SHÊNIA","Revista Colombiana de Entomología; 41(1); 76-80","Revista Colombiana de Entomología","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100012&lang=pt" 
"S0120-04882015000100007-col","Efectos indirectos de insecticidas convencionales y biorracionales sobre la alimentación de Rachiplusia nu (Lepidoptera: Noctuidae)","RIMOLDI, FEDERICO, FOGEL, MARILINA NOELIA, SCHNEIDER, MARCELA INÉS, RONCO, ALICIA ESTELA","Revista Colombiana de Entomología; 41(1); 48-57","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100007&lang=pt" 
"S0120-04882015000100009-col","Morfología larval de Pseudodoros clavatus (Díptera: Syrphidae) y su eficiencia depredadora del pulgón Aphis craccivora (Hemiptera: Aphididae)","DE LA PAVA S., NATALY, SEPÚLVEDA-CANO, PAULA A.","Revista Colombiana de Entomología; 41(1); 58-62","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100009&lang=pt" 
"S0120-04882015000100020-col","Fluctuación poblacional de arañas (Araneae: Tetragnathidae, Pholcidae) en el agroecosistema cacao en Tabasco, México","DE LA CRUZ-PÉREZ, ARACELY, PÉREZ-DE LA CRUZ, MANUEL, SÁNCHEZ-SOTO, SAÚL, TORRES-DE LA CRUZ, MAGDIEL","Revista Colombiana de Entomología; 41(1); 139-146","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100020&lang=pt" 
