"S1029-30192013000800012-cub","Factores de riesgo de infección intrahospitalaria en pacientes ingresados en unidades de cuidados intensivos","Vázquez Belizón, Yoleinis Esperanza, González Aguilera, Julio César, González Pompa, José Antonio, Santisteban García, Amels Lázaro","MEDISAN; 17(8); 3068-3076","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800012&lang=pt" 
"S1029-30192013000800013-cub","Aspectos puntuales del estado vegetativo persistente","Hodelín Tablada, Ricardo","MEDISAN; 17(8); 3077-3092","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800013&lang=pt" 
"S1029-30192013000800014-cub","Enfoque de género, salud y oftalmología","Triana Casado, Idalia","MEDISAN; 17(8); 3093-4008","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800014&lang=pt" 
"S1029-30192013000800015-cub","Flora vaginal anormal y resultado perinatal adverso","Nápoles Méndez, Danilo","MEDISAN; 17(8); 4009-4018","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800015&lang=pt" 
"S1029-30192013000800016-cub","Celulitis facial iatrogénica como consecuencia de una sepsis odontógena","Betancourt Pérez, Martha, Cuevas Gandaria, María de los Ángeles, Navarro Nápoles, Josefa, La O Torres, Juana, Ruiz Miyares, Francisco","MEDISAN; 17(8); 4019-4022","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800016&lang=pt" 
"S1029-30192013000800017-cub","Estilos de afrontamiento en un paciente joven con virus de inmunodeficiencia humana/sida","Rodríguez Avila, Yamilex, Andreu Diez, Miriam","MEDISAN; 17(8); 4023-4028","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800017&lang=pt" 
"S1029-30192013000800018-cub","Experiencias sobre el proceso de evaluación y acreditación de los programas de maestrías en la Universidad de Ciencias Médicas de Santiago de Cuba","Berenguer Gouarnaluses, Maritza, Bandera Sosa, Liset, Gross Fernández, Caridad, Pérez Rodríguez, Arnoldo","MEDISAN; 17(8); 4029-4034","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800018&lang=pt" 
"S1029-30192013000800019-cub","Instrumento de evaluación económica para la medición de años de vida ajustados a la calidad en adultos mayores","Novo Rodríguez, Enrique","MEDISAN; 17(8); 4035-4044","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800019&lang=pt" 
"S1029-30192013000800020-cub","Síndrome de Hunter. Asesoramiento a parejas y familiares con riesgo","Tejeda Dilou, Yoni, del Río Monier, Yamira, Álvarez Valiente, Hilda, Coca Pradez, Dunia, Núñez Copo, Antonio César","MEDISAN; 17(8); 4045-4050","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800020&lang=pt" 
"S1029-30192013000800021-cub","Me toca escribir estas líneas a quien no puedo decirle hasta siempre…","Goderich Lalán, José Miguel","MEDISAN; 17(8); 4051-4052","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800021&lang=pt" 
"S0103-65642013000200001-scl","Editorial","Massola, Gustavo Martineli","Psicologia USP; 24(2); 201-202","Psicologia USP","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642013000200001&lang=pt" 
"S0103-65642013000200006-scl","A relação transferencial do analista com as teorias","Lorenzi, Camila Lousana Pavanelli de","Psicologia USP; 24(2); 289-301","Psicologia USP","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642013000200006&lang=pt" 
"S0103-65642013000200009-scl","Amizade e ética do cuidado em psicanálise","Peixoto Junior, Carlos Augusto","Psicologia USP; 24(2); 333-337","Psicologia USP","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642013000200009&lang=pt" 
"S0103-65642013000200008-scl","Psicanálise e poder: constituição e estrutura","Darriba, Vinicius","Psicologia USP; 24(2); 327-332","Psicologia USP","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642013000200008&lang=pt" 
"S1405-22532013000200010-mex","La economía del peronismo: Una perspectiva histórica","Sowter, Leandro","América Latina en la historia económica; 20(2); 232-237","América Latina en la historia económica","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532013000200010&lang=pt" 
