"S1516-05722014000300002-scl","Influência da densidade de plantio e da cama de frango na produção da carobinha (Jacaranda decurrens Cham. ssp. symmetrifoliolata Farias &amp; Proença)","Gouvea, A.B., Vieira, M.C., Heredia Z., N.A., Pinto, J.V.C.","Revista Brasileira de Plantas Medicinais; 16(3); 481-489","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300002&lang=pt" 
"S1516-05722014000300001-scl","Bioatividade de três espécies vegetais nativas da Floresta Atlântica brasileira frente ao microcrustáceo Artemia salina","Pompilho, W.M, Marcondes, H.C, Oliveira, T.T","Revista Brasileira de Plantas Medicinais; 16(3); 473-480","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300001&lang=pt" 
"S1516-05722014000300007-scl","Avaliação da atividade antibacteriana de extratos etanólico e de ciclohexano a partir das flores de camomila (Matricaria chamomilla L.)","Carvalho, A.F., Silva, D.M., Silva, T.R.C, Scarcelli, E., Manhani, M.R.","Revista Brasileira de Plantas Medicinais; 16(3); 521-526","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300007&lang=pt" 
"S1516-05722014000300006-scl","Atividade antimicrobiana e rendimento do óleo essencial de Pimenta pseudocaryophyllus var. pseudocaryophyllus (Gomes ) Landrum, Myrtaceae","Yokomizo, N.K.S., Nakaoka-Sakita, M.","Revista Brasileira de Plantas Medicinais; 16(3); 513-520","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300006&lang=pt" 
"S1516-05722014000300005-scl","Atividade antimicrobiana do óleo essencial de rizomas de açafrão (Curcuma longa L.) e gengibre (Zingiber officinale Roscoe) frente a salmonelas entéricas isoladas de frango resfriado","Majolo, C., Nascimento, V.P., Chagas, E.C., Chaves, F.C.M.","Revista Brasileira de Plantas Medicinais; 16(3); 505-512","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300005&lang=pt" 
"S1516-05722014000300004-scl","Repelência e atividade inseticida de pós vegetais sobre Zabrotes subfasciatus Boheman em feijão-fava armazenado","Girão Filho, J.E., Alcântara Neto, F., Pádua, L.E.M., Pessoa, E. F","Revista Brasileira de Plantas Medicinais; 16(3); 499-504","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300004&lang=pt" 
"S1516-05722014000300008-scl","Pesquisa e atividades de extensão em fitoterapia desenvolvidas pela Rede FitoCerrado: uso racional de plantas medicinais e fitoterápicos por idosos em Uberlândia-MG","Machado, H.L., Moura, V.L., Gouveia, N.M., Costa, G.A., Espindola, F S., Botelho, F.V.","Revista Brasileira de Plantas Medicinais; 16(3); 527-533","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300008&lang=pt" 
"S1415-65552014000500598-scl","Capacidade de Inovação: Revisão Sistemática da Literatura","Valladares, Paulo Sergio Duarte de Almeida, Vasconcellos, Marcos Augusto de, Serio, Luiz Carlos Di","Revista de Administração Contemporânea; 18(5); 598-626","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500598&lang=pt" 
"S1415-65552014000500670-scl","Estresse, Enfrentamento e Qualidade de Vida: Um Estudo Sobre Gerentes Brasileiros","Barcaui, Andre, Limongi-França, Ana Cristina","Revista de Administração Contemporânea; 18(5); 670-694","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500670&lang=pt" 
"S1415-65552014000500650-scl","Perspectiva Institucional dos Sistemas de Informação em Saúde em Dois Estados Brasileiros","Daniel, Vanessa Marques, Pereira, Gabriela Viale, Macadar, Marie Anne","Revista de Administração Contemporânea; 18(5); 650-669","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500650&lang=pt" 
"S1415-65552014000500627-scl","Pesquisa, Ensino e Prática de Gestão de Operações: Consonâncias e Divergências entre Três Mundos","Peinado, Jurandir, Graeml, Alexandre Reis","Revista de Administração Contemporânea; 18(5); 627-649","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500627&lang=pt" 
"S1415-65552014000500695-scl","Por que ler os clássicos no ensino e na pesquisa em administração?","Meneghetti, Francis Kanashiro, Guarido Filho, Edson Ronaldo, Azevêdo, Ariston","Revista de Administração Contemporânea; 18(5); 695-709","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500695&lang=pt" 
"S1415-65552014000500719-scl","Réplica 2 ? Por que ler os clássicos no ensino e na pesquisa em administração?","Bulgacov, Sergio","Revista de Administração Contemporânea; 18(5); 719-725","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500719&lang=pt" 
