"S1815-59362015000100009-cub","Intensidad innovadora en empresas de base tecnológica en el sector hidráulico cubano","Monzón Sánchez, Antonio, Hernández-Pérez, Gilberto D., Nogueira-Rivera, Dianelys","Ingeniería Industrial; 36(1); 82-90","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100009&lang=pt" 
"S1815-59362015000100008-cub","Control de gestión: Facultad de Ciencias Económicas e Informática, Universidad de Matanzas","Jaquinet-Espinosa, Rebeca, Frías-Jiménez, Roberto A., Frías-Pedroso, Lisandra, Nogueira-Rivera, Dianelys, García-Gutiérrez, Benita N.","Ingeniería Industrial; 36(1); 70-81","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100008&lang=pt" 
"S1815-59362015000100005-cub","Análisis de peligros y puntos críticos de control en una planta de helados","González-González, Aleida, Andudi-Domínguez, Crescencia Iribe, Martell-González, Ivette","Ingeniería Industrial; 36(1); 39-47","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100005&lang=pt" 
"S1815-59362015000100004-cub","Modelo de diagnóstico de procesos aplicado en la comercializadora de artículos ópticos","Marrero Hernández, Rogej A, Olivera Caro, Alejandro, Garza-Ríos, Rosario, González-Sánchez, Caridad","Ingeniería Industrial; 36(1); 29-38","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100004&lang=pt" 
"S1815-59362015000100007-cub","Análisis de la Responsabilidad Social Empresarial basado en un modelo de Lógica Difusa Compensatoria","Antelo-González, Yaima Yiri, Alfonso-Robaina, Daniel","Ingeniería Industrial; 36(1); 58-69","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100007&lang=pt" 
"S1815-59362015000100006-cub","Una propuesta para la evaluación del desempeño de los trabajadores apoyada en el uso de técnicas cuantitativas","Valdés-Padrón, Martha, Garza-Ríos, Rosario, Pérez-Vergara, Ileana, Gé-Varona, Maité, Chávez-Vivó, Ana Rosa","Ingeniería Industrial; 36(1); 48-57","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100006&lang=pt" 
"S1815-59362015000100003-cub","Procedimiento para el análisis de la accidentalidad laboral con énfasis en modelos matemáticos","Curbelo-Martínez, Maidelis, Pérez-Fernández, Damayse, Gómez-Dorta, Rafael","Ingeniería Industrial; 36(1); 17-28","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100003&lang=pt" 
"S1815-59362015000100002-cub","Propuesta de procedimiento para el Control de Emisiones Atmosféricas en ambientes urbanos","Cruz-Virosa, Ibis, José-Cabello-Eras, Juan, Sorinas-González, Luis, Varela-Haro, Ana del Rosario, Costa-Pérez, Inocente","Ingeniería Industrial; 36(1); 2-16","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100002&lang=pt" 
"S1815-59362015000100010-cub","La gestión integrada de los procesos en universidades. Procedimiento para su evaluación","Ortiz-Pérez, Aniuska, Funzy-Chimpolo, Joao María, Pérez-Campaña, Marisol, Velázquez-Zaldívar, Reynaldo","Ingeniería Industrial; 36(1); 91-103","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100010&lang=pt" 
"S1815-59362015000100011-cub","Propuesta para la evaluación de la planificación colaborativa de la cadena de suministro","Sablón-Cossío, Neyfe, Acevedo-Urquiaga, Ana Julia, Acevedo-Suárez, José Antonio, Medina-León, Alberto","Ingeniería Industrial; 36(1); 580-597","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100011&lang=pt" 
"S1130-63432015000200005-esp","Diseño de un programa informático para la gestión de medicamentos en situaciones especiales en un servicio de farmacia hospitalaria","Sánchez Cuervo, Marina, Muñoz García, María, Gómez de Salazar López de Silanes, María Esther, Bermejo Vicedo, Teresa","Farmacia Hospitalaria; 39(2); 102-108","Farmacia Hospitalaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-63432015000200005&lang=pt" 
"S1815-59282015000100001-cub","Arquitectura de Referencia para el diseño y despliegue de Nubes Privadas","García Perellada, Lilia Rosa, Garófalo Hernández, Alain Abel","Ingeniería Electrónica, Automática y Comunicaciones; 36(1); 1-16","Ingeniería Electrónica, Automática y Comunicaciones","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59282015000100001&lang=pt" 
"S1815-59282015000100003-cub","Efectos físicos en el transistor bipolar: modelación y extracción de parámetros","S. Nagy, Agnes, Polanco Risquet, Alicia","Ingeniería Electrónica, Automática y Comunicaciones; 36(1); 31-41","Ingeniería Electrónica, Automática y Comunicaciones","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59282015000100003&lang=pt" 
"S1815-59282015000100008-cub","Implementación mediante hardware de una Red Neuronal Artificial para Reconocimiento de Caracteres","Polanco Carrillo, Franky, Álvarez Gerónimo, Daniel, Moreno Vega, Valery","Ingeniería Electrónica, Automática y Comunicaciones; 36(1); 95-106","Ingeniería Electrónica, Automática y Comunicaciones","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59282015000100008&lang=pt" 
"S1815-59282015000100006-cub","Decodificación del canal de sincronismo de la Interfaz de Radio de GSM","Alcantú Sampera, Yadira","Ingeniería Electrónica, Automática y Comunicaciones; 36(1); 67-78","Ingeniería Electrónica, Automática y Comunicaciones","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59282015000100006&lang=pt" 
"S1815-59282015000100002-cub","Diseño de un Sistema de Adquisición y Procesamiento de la Señal de ECG basado en Instrumentación Virtual","Bistel Esquivel, Roberto Andrés, Fajardo Márquez, Ariel","Ingeniería Electrónica, Automática y Comunicaciones; 36(1); 17-30","Ingeniería Electrónica, Automática y Comunicaciones","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59282015000100002&lang=pt" 
