"S0103-40142015000300019-scl","Símbolo e acontecimento na poesia de Orides","VILLAÇA, ALCIDES","Estudos Avançados; 29(85); 295-312","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000300019&lang=pt" 
"S0103-40142015000300018-scl","Manoel de Barros: em que acreditar senão no riso?","PUCHEU, ALBERTO","Estudos Avançados; 29(85); 281-293","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000300018&lang=pt" 
"S0085-56262015000400320-scl","A new species of Aguna Williams (Lepidoptera, Hesperiidae) from Panamá belonging to the “claxon group”","Siewert, Ricardo Russo, Leviski, Gabriela Lourenço, Mielke, Olaf Hermann Hendrik, Casagrande, Mirna Martins","Revista Brasileira de Entomologia; 59(4); 320-322","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000400320&lang=pt" 
"S0103-40142015000300024-scl","Poema cósmico, de Erasmus Darwin (1731-1802) - avô de Charles Darwin","MASCARENHAS, SERGIO","Estudos Avançados; 29(85); 357-358","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000300024&lang=pt" 
"S2317-17822015000600509-scl","Editorial","Navas, Ana Luiza, Silva, Roberta Gonçalves da","CoDAS; 27(6); 509-510","CoDAS","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822015000600509&lang=pt" 
"S0103-40142015000300008-scl","Poder, emprego e política econômica","SAWAYA, RUBENS R.","Estudos Avançados; 29(85); 105-119","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000300008&lang=pt" 
"S1414-98932015000401120-scl","Concepções Sobre Morte e Luto: Experiência Feminina Sobre a Perda Gestacional","Lemos, Luana Freitas Simões, Cunha, Ana Cristina Barros da","Psicologia: Ciência e Profissão; 35(4); 1120-1138","Psicologia: Ciência e Profissão","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932015000401120&lang=pt" 
"S0103-40142015000300022-scl","A cidade invisível, de Calvino: os modos de organizar e visibilizar o vivível","ALVES, LUIZ ROBERTO","Estudos Avançados; 29(85); 327-340","Estudos Avançados","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-40142015000300022&lang=pt" 
"S1806-11172015000400310-scl","Sensores digitais de temperatura com tecnologia one-wire: Um exemplo de aplicação didática na área de condução térmica","Amorim, Helio Salim do, Dias, Marco Adriano, Soares, Vitorvani","Revista Brasileira de Ensino de Física; 37(4); 4310-1-4310-9","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000400310&lang=pt" 
"S2317-17822015000600588-scl","Voz, estresse, trabalho e qualidade de vida de técnicos e preparadores físicos de futebol","Penteado, Regina Zanella, Silva, Noelle Bernardi da, Montebello, Maria Imaculada de Lima","CoDAS; 27(6); 588-597","CoDAS","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-17822015000600588&lang=pt" 
"S0036-36342015000600005-spa","Análisis factorial confirmatorio de la escala de sobrecarga del cuidador de Zarit en una población de padres y cuidadores de pacientes pediátricos asmáticos","Pedraza, Angela M., Rodríguez-Martínez, Carlos E., Acuña, Ranniery","Salud Pública de México; 57(6); 487-488","Salud Pública de México","Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342015000600005&lang=pt" 
"S0102-77862015000400457-scl","Modelos decomposição temporal e de regressão harmônica: uma comparação para a série mensal da temperatura mínima e máxima média de presidente prudente (sp)","Silvestre, Miriam Rodrigues, Bezerra, Manoel Ivanildo Silvestre","Revista Brasileira de Meteorologia; 30(4); 457-466","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000400457&lang=pt" 
"S1415-65552015000600006-scl","Análise da Competitividade da Cadeia Produtiva do Leite em Pó Integral","Freitas, João Batista de, Revillion, Jean Philippe Palma, Belarmino, Luiz Clovis","Revista de Administração Contemporânea; 19(6); 750-771","Revista de Administração Contemporânea","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552015000600006&lang=pt" 
"S0121-08072015000300006-col","Gravedad de caries empleando un criterio del tamaño de la lesión y variables asociadas en una muestra de escolares mexicanos","Vallejos-Sánchez, Ana Alicia, Minaya-Sánchez, Mirna, Casanova-Rosado, Juan Fernando, Casanova-Rosado, Alejandro José, Macias-Ortega, Julieta, Vera-Guzmán, Sergio, Medina-Solís, Carlo Eduardo","Revista de la Universidad Industrial de Santander. Salud; 47(3); 291-299","Revista de la Universidad Industrial de Santander. Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-08072015000300006&lang=pt" 
"S0102-77862015000400467-scl","Influência do clima na incidência de infecção respiratória aguda em crianças nos municípios de campina grande e monteiro, paraíba, brasil","Azevedo, Jullianna Vitorio Vieira de, Santos, Carlos Antonio Costa dos, Alves, Telma Lucia Bezerra, Azevedo, Pedro Vieira de, Olinda, Ricardo Alves de","Revista Brasileira de Meteorologia; 30(4); 467-477","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000400467&lang=pt" 
"S0123-885X2015000400003-col","La problemática transición boliviana hacia la época postneoliberal: el caso de la economía comunitaria","Kwon Mun, Nam","Revista de Estudios Sociales; (54); 25-38","Revista de Estudios Sociales","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-885X2015000400003&lang=pt" 
"S0104-12902015000401257-scl","Acidente com material biológico: uma abordagem a partir da análise das atividades de trabalho","Donatelli, Sandra, Vilela, Rodolfo Andrade de Gouveia, Almeida, Ildeberto Muniz de, Lopes, Manoela Gomes Reis","Saúde e Sociedade; 24(4); 1257-1272","Saúde e Sociedade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902015000401257&lang=pt" 
"S0121-08072015000300008-col","Tiempo máximo aceptable de trabajo para tareas ejecutadas con miembros superiores e inferiores","Velásquez V., Juan C.","Revista de la Universidad Industrial de Santander. Salud; 47(3); 313-323","Revista de la Universidad Industrial de Santander. Salud","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-08072015000300008&lang=pt" 
