"S1807-55092014000400579-scl","Na parada do lazer: delineando as ações de lazer em ONGs LGBT de Belo Horizonte","Tavares, Marie Luce, Isayama, Hélder Ferreira","Revista Brasileira de Educação Física e Esporte; 28(4); 579-597","Revista Brasileira de Educação Física e Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092014000400579&lang=pt" 
"S1983-41952014000600003-scl","Study of cement pastes rheological behavior using dynamic shear rheometer","Teixeira, J. E. S. L., Sato, V. Y., Azolin, L. G., Tristão, F. A., Vieira, G. L., Calmon, J. L.","Revista IBRACON de Estruturas e Materiais; 7(6); 922-939","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952014000600003&lang=pt" 
"S0120-419X2014000200008-col","Distribución de probabilidad de Maxwell transmutada","IRIARTE, YURI A, ASTORGA, JUAN M","Revista Integración; 32(2); 211-221","Revista Integración","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-419X2014000200008&lang=pt" 
"S0120-419X2014000200004-col","The work of Leslie Valiant: alle die Strassen führen nach Strassen","MONTOYA, J. ANDRÉS","Revista Integración; 32(2); 153-168","Revista Integración","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-419X2014000200004&lang=pt" 
"S0120-419X2014000200005-col","Una descomposición convexa","LOMELÍ-HARO, MARIO, BORJA M, VERÓNICA, HERNÁNDEZ T., J. ALEJANDRO","Revista Integración; 32(2); 169-180","Revista Integración","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-419X2014000200005&lang=pt" 
"S0120-419X2014000200006-col","Sobre la convergencia de un método secante para ecuaciones matriciales no lineales","MACÍAS C, MAURICIO, MARTÍNEZ, HÉCTOR J, PÉREZ, ROSANA","Revista Integración; 32(2); 181-197","Revista Integración","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-419X2014000200006&lang=pt" 
"S0120-419X2014000200007-col","Una coinstitución para la lógica de comportamiento abstracto","CASTAÑO PEREA, JAIME ANDRÉS, ORTIZ RICO, GUILLERMO","Revista Integración; 32(2); 199-210","Revista Integración","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-419X2014000200007&lang=pt" 
"S0120-419X2014000200001-col","Métricas rotacionalmente invariantes y el problema de Steklov","MONTAÑO CARREÑO, ÓSCAR ANDRÉS","Revista Integración; 32(2); 117-128","Revista Integración","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-419X2014000200001&lang=pt" 
"S0120-419X2014000200002-col","Análisis de extinción de una ecuación de difusión no local con término de absorción","BOGOYA, MAURICIO, MORA, CLAUDIA PATRICIA","Revista Integración; 32(2); 129-138","Revista Integración","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-419X2014000200002&lang=pt" 
"S0120-419X2014000200003-col","Jacobson&#039;s conjecture and skew PBW extensions","REYES, ARMANDO","Revista Integración; 32(2); 139-152","Revista Integración","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-419X2014000200003&lang=pt" 
"S1679-39512014000400005-scl","Revisiting the issue of class structure in Labor and Monopoly Capital","Tinel, Bruno","Cadernos EBAPE.BR; 12(4); 789-802","Cadernos EBAPE.BR","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512014000400005&lang=pt" 
"S1679-39512014000400002-scl","Braverman, subjetividade e função de direção na produção do valor","Cunha, Elcemir Paço","Cadernos EBAPE.BR; 12(4); 741-755","Cadernos EBAPE.BR","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512014000400002&lang=pt" 
"S1679-39512014000400001-scl","Editorial","Tenório, Fernando G., Tenório, Fernando G.","Cadernos EBAPE.BR; 12(4); -","Cadernos EBAPE.BR","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-39512014000400001&lang=pt" 
