"S1981-81222012000200017-scl","Natureza e cultura na paisagem amazônica: uma experiência fotográfica com ressonâncias na cosmologia ameríndia e na ecologia histórica","Pardini, Patrick","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 589-603","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200017&lang=pt" 
"S1981-81222012000200015-scl","El legado de Darrell Posey: de las investigaciones etnobiológicas entre los Kayapó a la protección de los conocimientos indígenas","López Garcés, Claudia Leonor, Robert, Pascale de","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 565-580","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200015&lang=pt" 
"S1981-81222012000200016-scl","Darrell Posey: un chercheur engagé","Gély, Anne","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 581-587","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Francês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200016&lang=pt" 
"S1981-81222012000200018-scl","Batida de pé, différenciations et mélanges musico-chorégraphiques","Beaudet, Jean-Michel","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 607-608","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Francês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200018&lang=pt" 
"S1981-81222012000200020-scl","A descoberta do ambiente biológico","Waizbort, Ricardo","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 613-617","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200020&lang=pt" 
"S0104-06182012000200007-scl","Gênero e pobreza multidimensional no município de Porto Alegre, Rio Grande do Sul","Bagolin, Izete Pengo, Souza, Osmar Tomaz de, Comim, Flavio V.","Economia e Sociedade; 21(2); 387-408","Economia e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000200007&lang=pt" 
"S1678-77572012000400002-scl","Guidelines for periodontal care and follow-up during orthodontic treatment in adolescents and young adults","Levin, Liran, Einy, Shmuel, Zigdon, Hadar, Aizenbud, Dror, Machtei, Eli E.","Journal of Applied Oral Science; 20(4); 399-403","Journal of Applied Oral Science","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572012000400002&lang=pt" 
"S1678-77572012000400006-scl","Biomechanical in vitro evaluation of three stable internal fixation techniques used in sagittal osteotomy of the mandibular ramus: a study in sheep mandibles","Olivera, Leandro Benetti de, Sant´Ana, Eduardo, Manzato, Antonio José, Guerra, Fábio Luis Bunemer, Arnett, G. William","Journal of Applied Oral Science; 20(4); 419-426","Journal of Applied Oral Science","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572012000400006&lang=pt" 
"S1678-77572012000400016-scl","Serial extraction: 20 years of follow-up","Almeida, Renato Rodrigues de, Almeida, Marcio Rodrigues de, Oltramari-Navarro, Paula Vanessa Pedron, Conti, Ana Cláudia de Castro Ferreira, Navarro, Ricardo de Lima, Souza, Karen Regina Siqueira de","Journal of Applied Oral Science; 20(4); 486-492","Journal of Applied Oral Science","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572012000400016&lang=pt" 
"S0034-737X2012000400018-scl","Manga &#039;Ubá&#039; tratada com ethephon na pré-colheita","Silva, Danielle Fabíola Pereira da, Salomão, Luiz Carlos Chamhum, Siqueira, Dalmo Lopes de, Cecon, Paulo Roberto, Rocha, Aline","Revista Ceres; 59(4); 555-559","Revista Ceres","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2012000400018&lang=pt" 
"S1678-77572012000400001-scl","The Journal of Applied Oral Science will soon use a new online submission system","Santos, Carlos F.","Journal of Applied Oral Science; 20(4); 398-398","Journal of Applied Oral Science","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572012000400001&lang=pt" 
"S1981-81222012000200003-scl","Jodï horticultural belief, knowledge and practice: incipient or integral cultivation?","Zent, Stanford, Zent, Egleé","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 293-338","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200003&lang=pt" 
"S1981-81222012000200004-scl","A beleza das roças: agrobiodiversidade Mebêngôkre-Kayapó em tempos de globalização","Robert, Pascale de, López Garcés, Claudia, Laques, Anne-Elisabeth, Coelho-Ferreira, Márlia","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 339-369","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200004&lang=pt" 
"S1981-81222012000200005-scl","Trocas, experimentações e preferências: um estudo sobre a dinâmica da diversidade da mandioca no médio Solimões, Amazonas","Lima, Deborah, Steward, Angela, Richers, Bárbara Trautman","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 371-396","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200005&lang=pt" 
"S1981-81222012000200007-scl","Conocimientos tradicionales Ticuna en la agricultura de chagra y los mecanismos innovadores para su protección","Acosta Muñoz, Luis Eduardo, Zoria Java, José","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 417-433","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200007&lang=pt" 
"S1981-81222012000200008-scl","A &#039;farinha especial&#039;: fabricação e percepção de um produto da agricultura familiar no vale do Rio Juruá, Acre","Velthem, Lucia Hussak van, Katz, Esther","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 435-456","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200008&lang=pt" 
