"S1516-35982003000600024-scl","Composição corporal e exigências líquidas de proteína e energia para ganho de peso de bezerros machos de origem leiteira do nascimento aos 110 dias de idade","Carvalho, Paulo Afonso, Bonnecarrère Sanchez, Luis Maria, Pires, Cleber Cassol, Viégas, Julio, Velho, João Pedro, Paris, Wagner","Revista Brasileira de Zootecnia; 32(6); 1484-1491","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600024&lang=pt" 
"S1516-35982003000600015-scl","Níveis crescentes de suplementação energética sobre o desenvolvimento de novilhos mantidos em pastagem natural na encosta do sudeste do Rio Grande do Sul","Patiño Pardo, René Mauricio, Fischer, Vivian, Balbinotti, Maira, Moreno, Claiton Baes, Ferreira, Everson Xavier, Vinhas, Ricardo Irigon, Monks, Pedro Lima","Revista Brasileira de Zootecnia; 32(6); 1397-1407","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600015&lang=pt" 
"S1516-35982003000600027-scl","Efeito da suplementação de bezerros com blocos multinutricionais sobre a digestibilidade, o consumo e os parâmetros ruminais","Freitas, Suzana Gomes de, Ospina Patiño, Harold, Mühlbach, Paulo Roberto Frenzel, Diaz Gonzáles, Felix Hilário","Revista Brasileira de Zootecnia; 32(6); 1508-1515","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600027&lang=pt" 
"S0074-02762003000800014-scl","Two new Culicoides of the paraensis species group (Diptera:Ceratopogonidae) from the Amazonian region of Peru","Felippe-Bauer, Maria Luiza, Cáceres, Abraham G, Silva, Cristiane S, Valderrama-Bazan, William, Gonzales-Perez, Antero","Memórias do Instituto Oswaldo Cruz; 98(8); 1051-1058","Memórias do Instituto Oswaldo Cruz","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762003000800014&lang=pt" 
"S0074-02762003000800010-scl","Preliminary results of random amplification of polymorphic DNA among Triatominae of the phyllosoma complex (Hemiptera, Reduviidae)","Brenière, Simone F, Taveira, Bruno, Bosseno, , Ordoñez, Rosalinda, Lozano-Kasten, Felipe, Magallón-Gastélum, Ezequiel, Ouaissi, Ali, Ramsey, Janine","Memórias do Instituto Oswaldo Cruz; 98(8); 1033-1038","Memórias do Instituto Oswaldo Cruz","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762003000800010&lang=pt" 
"S1519-566X2003000400002-scl","Aggregation behavior of Phyllophaga cuyabana (Moser) (Coleoptera: Melolonthidae): relationships between sites chosen for mating and offspring distribution","Garcia, Maria A., Oliveira, Lenita J., Oliveira, Maria C.N. de","Neotropical Entomology; 32(4); 537-542","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400002&lang=pt" 
"S1519-566X2003000400001-scl","Transgenic mosquitoes for malaria control: progresses and challenges","Moreira, Luciano A., Jacobs-Lorena, Marcelo","Neotropical Entomology; 32(4); 531-536","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400001&lang=pt" 
"S1519-566X2003000400005-scl","Tabela de vida ecológica de Bemisia tabaci (Genn.) biótipo B (Hemiptera: Aleyrodidae)","Albergaria, Nuno M.M.S. de, Cividanes, Francisco J., Dória, Háyda O.S.","Neotropical Entomology; 32(4); 559-563","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400005&lang=pt" 
"S1519-566X2003000400008-scl","Ultramorphology and histology of the Polistes versicolor (Oliver) (Vespidae) thorax salivary gland compared with other Hymenoptera","Rocha, Thalita, Caetano, Flávio H.","Neotropical Entomology; 32(4); 585-590","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400008&lang=pt" 
"S1519-566X2003000400009-scl","Caracterização molecular de populações de Euseius citrifolius Denmark &amp; Muma e Euseius concordis (Chant) (Acari: Phytoseiidae) utilizando o seqüenciamento das regiões ITS1 e ITS2","Noronha, Aloyséia C.S., Mota, Adilson, Moraes, Gilberto J., Coutinho, Luiz L.","Neotropical Entomology; 32(4); 591-596","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400009&lang=pt" 
"S1519-566X2003000400011-scl","Nova espécie de Tichocoelidia Kramer do Norte do Brasil (Hemiptera: Cicadellidae, Neocoelidiinae)","Chiamolera, Larissa de B., Cavichioli, Rodney R.","Neotropical Entomology; 32(4); 615-617","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400011&lang=pt" 
"S1519-566X2003000400013-scl","Cochinillas (Hemiptera: Coccoidea) presentes en plantas ornamentales de la Argentina","Granara De Willink, María C., Claps, Lucía E.","Neotropical Entomology; 32(4); 625-637","Neotropical Entomology","Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400013&lang=pt" 
"S1519-566X2003000400024-scl","Pirimiphos-methyl residues in corn and popcorn grains and some of their processed products and the insecticide action on the control of Sitophilus zeamais Mots. (Coleoptera: Curculionidae)","Sgarbiero, Eduardo, Trevizan, Luiz R.P., Baptista, Gilberto C. de","Neotropical Entomology; 32(4); 707-711","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400024&lang=pt" 
"S1519-566X2003000400030-scl","Aprimoramento da amostragem de grilos de serapilheira (Orthoptera: Gryllidae) por armadilha","Sperber, Carlos F., Vieira, Gustavo H., Mendes, Moisés H.","Neotropical Entomology; 32(4); 733-735","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400030&lang=pt" 
"S1519-566X2003000400022-scl","Relação entre a atividade de esterases e a resistência de Myzus persicae (Sulz.) (Sternorrhyncha:Aphididae) a pirimicarbe","Furiatti, Rui S., Lazzari, Sonia M.N.","Neotropical Entomology; 32(4); 693-697","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400022&lang=pt" 
"S1519-566X2003000400026-scl","Geographic distribution of Atta robusta Borgmeier (Hymenoptera: Formicidae)","Teixeira, Marcos C., Schoereder, José H., Mayhé-Nunes, Antônio J.","Neotropical Entomology; 32(4); 719-721","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400026&lang=pt" 
"S1519-566X2003000400025-scl","Stimulatory male volatiles for the Neotropical brown stink bug, Euschistus heros (F.) (Heteroptera: Pentatomidae)","Zhang, Aijun, Borges, Miguel, Aldrich, Jeffrey R., Camp, Mary","Neotropical Entomology; 32(4); 713-717","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400025&lang=pt" 
"S1519-566X2003000400027-scl","Primeiro registro de espécies de Anastrepha (Diptera: Tephritidae) no estado do Acre","Thomazini, Marcílio J., Albuquerque, Elizângela S., Souza Filho, Miguel F.","Neotropical Entomology; 32(4); 723-724","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400027&lang=pt" 
"S1519-566X2003000400028-scl","Biologia e preferência alimentar de Ascia monuste orseis (Latreille) (Lepidoptera: Pieridae) na planta invasora Raphanus raphanistrum L.","Pereira, Tania, Pasini, Amarildo, Oliveira, Émerson D.M. de","Neotropical Entomology; 32(4); 725-727","Neotropical Entomology","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400028&lang=pt" 
"S1519-566X2003000400017-scl","Effect of sodium silicate application on the resistance of wheat plants to the green-aphids Schizaphis graminum (Rond.) (Hemiptera: Aphididae)","Basagli, Marco A.B., Moraes, Jair C., Carvalho, Geraldo A., Ecole, Carvalho C., Gonçalves-Gervásio, Rita de C.R.","Neotropical Entomology; 32(4); 659-663","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400017&lang=pt" 
"S1519-566X2003000400006-scl","The flowering-visiting bees at the ecological station of the Universidade Federal de Minas Gerais, Belo Horizonte, MG, Brazil","Antonini, Yasmine, Martins, Rogério P.","Neotropical Entomology; 32(4); 565-575","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400006&lang=pt" 
"S0074-02762003000800002-scl","Seasonal transmission of Leishmania (Leishmania) mexicana in the state of Campeche, Yucatan Peninsula, Mexico","Andrade-Narvaez, Fernando J, Lara, Silvia B Canto, Van Wynsberghe, Nicole R, Rebollar-Tellez, Eduardo A, Vargas-Gonzalez, Alberto, Albertos-Alpuche, Nelly E","Memórias do Instituto Oswaldo Cruz; 98(8); 995-998","Memórias do Instituto Oswaldo Cruz","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762003000800002&lang=pt" 
"S1519-566X2003000400003-scl","Longevity and fecundity of four species of Anastrepha (Diptera: Tephritidae)","Joachim-Bravo, Iara S., Magalhães, Tatiana C., Silva Neto, Alberto M. da, Guimarães, Analice N., Nascimento, Antônio S.","Neotropical Entomology; 32(4); 543-549","Neotropical Entomology","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-566X2003000400003&lang=pt" 
