"S1561-31942008000100007-cub","Eficacia del tratamiento conservador en las fracturas mandibulares","Morejón Álvarez, Felicia C, Torres Rodríguez, Luis E, Cabrera Franco, Elizabeth, Ferro Rodríguez, Alfredo","Revista de Ciencias Médicas de Pinar del Río; 12(1); 91-98","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100007&lang=pt" 
"S1561-31942008000100008-cub","Parasitismo intestinal en una escuela primaria de Bata, Guinea Ecuatorial","Quintero Pérez, William, Linares Guerra, Maritza, Téllez Almiral, Orlando, Díaz Cabrera, José Caridad, del Valle Viera, Méralys","Revista de Ciencias Médicas de Pinar del Río; 12(1); 107-114","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100008&lang=pt" 
"S1561-31942008000100009-cub","Estudio clínico y radiológico de pacientes con neurofibromatosis tipo 1, Pinar del Río, 2006","Orraca Castillo, Miladys, Lantigua Cruz, Araceli, Licourt Otero, Deysi, Reyes Llanes, Mabel","Revista de Ciencias Médicas de Pinar del Río; 12(1); 122-129","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100009&lang=pt" 
"S1561-31942008000100010-cub","Diagnóstico y prevención de enfermedades genéticas. Análisis de seis años del municipio Sandino","Ramírez Sosa, Pedro Antonio, Otaño Plasencia, Carlos, Martínez Fernández, Yusimí, Prieto Hernández, Yarelis","Revista de Ciencias Médicas de Pinar del Río; 12(1); 130-141","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100010&lang=pt" 
"S1561-31942008000100011-cub","Hipertensión arterial, hipertrigliceridemia y obesidad fundamentales componentes del síndrome metabólico","Fonte Medina, Nohary, Paz Paula, Eduardo, Sanabria Negrín, José G, Martínez Medina, José Ramón, Bencomo Fonte, Laura Martha","Revista de Ciencias Médicas de Pinar del Río; 12(1); 142-150","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100011&lang=pt" 
"S1561-31942008000100012-cub","Historia de la educación médica en Cuba. Artículo de revisión","Rodríguez Ramos, Jorge Félix, Boffill Corrales, Acela Maria, Sanabria Negrín, José G, Fernández Montequín, Zoila","Revista de Ciencias Médicas de Pinar del Río; 12(1); 151-162","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100012&lang=pt" 
"S1561-31942008000100013-cub","Incidencia del cáncer de tiroides en la consulta central de tiroides, últimos nueve años en Pinar del Río","Iglesias Díaz, Gladys, Lau López, Alfredo E, García García, Iván","Revista de Ciencias Médicas de Pinar del Río; 12(1); 163-171","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100013&lang=pt" 
"S1561-31942008000100014-cub","Métodos y formas de organización en el proceso de formación profesional de los estudiantes de medicina","Santoyo Reina, Norma, Valladares Hernández, Martha, Suárez Blanco, Ciro, Sanabria Negrín, José G, Fernández Montequín, Zoila C","Revista de Ciencias Médicas de Pinar del Río; 12(1); 172-185","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100014&lang=pt" 
"S1561-31942008000100015-cub","Carcinoma hepatocelular. Presentación de dos casos interesantes","López Vázquez, Nélson M, González Pérez, Surama, López Vázquez, Hilda","Revista de Ciencias Médicas de Pinar del Río; 12(1); 186-194","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100015&lang=pt" 
"S1561-31942008000100003-cub","Peritonitis Meconial y Fibrosis Quística","Piloña Ruíz, Sergio, Vara Cuesta, Omar León, Llabona Chávez, Vilma, Juan Rodríguez, Jesús, Pérez Lorenzo, Yurisbelkis","Revista de Ciencias Médicas de Pinar del Río; 12(1); 22-28","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100003&lang=pt" 
