"S1646-69182015000400001-prt","Presente e futuro da Sociedade Portuguesa de Cirurgia","Abecasis, Nuno","Revista Portuguesa de Cirurgia; (35); 5-6","Revista Portuguesa de Cirurgia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182015000400001&lang=pt" 
"S0301-70362015000400198-mex","Arquitectura financiera internacional: una genealogía de 1850-2008, Óscar Ugarteche, Instituto de Investigaciones Económicas-UNAM, México, 2013","Meireles, Monika","Problemas del desarrollo; 46(183); 198-200","Problemas del desarrollo","Inglês, Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000400198&lang=pt" 
"S0301-70362015000400189-mex","Estado, reproducción del capital y lucha de clases. La unidad económico/política del capital, Jaime Osorio, México, Instituto de Investigaciones Económicas-UNAM, 2014","López Bolaños, Alejandro","Problemas del desarrollo; 46(183); 189-191","Problemas del desarrollo","Inglês, Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000400189&lang=pt" 
"S1646-69182015000400002-prt","Breves reflexões sobre o tema Revisões e Revisores","Penedo, Jorge, Almeida, Carlos Costa, Borges, Nuno","Revista Portuguesa de Cirurgia; (35); 7-8","Revista Portuguesa de Cirurgia","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1646-69182015000400002&lang=pt" 
"S0028-37462015000400001-mex","Los retos de la medicina personalizada","Torre-Bouscoulet, Luis","Neumología y cirugía de tórax; 74(4); 238-239","Neumología y cirugía de tórax","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0028-37462015000400001&lang=pt" 
"S0028-37462015000400008-mex","Resúmenes de los trabajos libres presentados en las XLVII Jornadas Médico-Quirúrgicas del INER","","Neumología y cirugía de tórax; 74(4); 281-299","Neumología y cirugía de tórax","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0028-37462015000400008&lang=pt" 
"S1870-11912015000200009-mex","Juan Soldado: violador, asesino, mártir y santo","Alvarado Miquilena, Morella","Culturales; 3(2); 263-269","Culturales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912015000200009&lang=pt" 
"S1870-11912015000200011-mex","Memoria visual. Producción y enseñanza de la antropología visual en México","García Venegas, Isaac","Culturales; 3(2); 279-282","Culturales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912015000200011&lang=pt" 
"S0718-04622015000200005-chl","Actores y procesos de cambio: La elite económica del &quot;Gran Concepción&quot; y el proyecto neoliberal (1973-1983)","Monsálvez Araneda, Danny, Pagola Contreras, León","Atenea (Concepción); (512); 69-85","Atenea (Concepción)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-04622015000200005&lang=pt" 
"S1139-76322015000500005-esp","Factores socio-educativos asociados a la agudeza visual baja en escolares de Perú","Araujo Chumacero, M.M., Solano Zapata, F.E., Vilela Estrada, M.A., Valladares Garrido, M.J., Chumacero Aguilar, M., Mejia, C.R.","Pediatría Atención Primaria; 17(68); e261-e266","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000500005&lang=pt" 
"S1139-76322015000500020-esp","Niño cogiendo una fruta: mary Cassatt, 1893","Carabaño Aguado, I.","Pediatría Atención Primaria; 17(68); 381-382","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000500020&lang=pt" 
"S0718-22012015000200021-chl","Feria de Lota: Memoria viva de un mercado popular","Bianchetti, Andrés","Alpha (Osorno); (41); 305-310","Alpha (Osorno)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012015000200021&lang=pt" 
"S0718-22012015000200001-chl","PRESENTACIÓN","","Alpha (Osorno); (41); 5-6","Alpha (Osorno)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012015000200001&lang=pt" 
"S0718-10432015000200002-chl","OBITUARIO: LA APASIONADA OBRA DE DONALD GUILLERMO JACKSON SQUELLA Y SU MUERTE INESPERADA (1960-2015)","Núñez A, Lautaro","Estudios atacameños; (51); 9-13","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200002&lang=pt" 
"S0718-10432015000200014-chl","Migración peruana en Santiago:prácticas, espacios y economías","Cortés, Vicente","Estudios atacameños; (51); 231-233","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200014&lang=pt" 
"S0718-04622015000200001-chl","PRESENTACION","Faúndez Valenzuela, Edson","Atenea (Concepción); (512); 6-11","Atenea (Concepción)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-04622015000200001&lang=pt" 
"S1870-11912015000200010-mex","","Rangel Torrijo, Hugo","Culturales; 3(2); 271-277","Culturales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912015000200010&lang=pt" 
"S1139-76322015000500012-esp","Nevo melanocítico congénito gigante","Madrigal Díez, C., Bidonga, A., Fernández Llaca, J. H., Madrigal Díez, V.","Pediatría Atención Primaria; 17(68); 351-355","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000500012&lang=pt" 
"S1139-76322015000500008-esp","Lesiones no intencionadas en el centro escolar: ¿de qué estamos hablando?","Onís González, E., Varona Pérez, I., Gil Pérez, M., Felici, C., Embid Pardo, P.","Pediatría Atención Primaria; 17(68); 333-339","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000500008&lang=pt" 
"S0028-37462015000400006-mex","Proteinosis alveolar: Informe de dos casos y comentario bibliográfico","Sánchez-Valadez, Tania I., Carrillo-Muñoz, Araceli, Valero-Gómez, Alfredo, Martínez-Pérez, Simón, Pérez-Rosales, Abel, Núñez Pérez-Redondo, Carlos, Cicero-Sabido, Raúl","Neumología y cirugía de tórax; 74(4); 271-275","Neumología y cirugía de tórax","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0028-37462015000400006&lang=pt" 
"S0301-70362015000400033-mex","El Consenso de Beijing y la reprimarización productiva de América Latina: el caso argentino","Bolinaga, Luciano, Slipak, Ariel","Problemas del desarrollo; 46(183); 33-58","Problemas del desarrollo","Inglês, Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000400033&lang=pt" 
"S1139-76322015000500025-esp","Ébola en niños: epidemiología, clínica, diagnóstico y desenlace","Rodríguez-Salinas, E.","Pediatría Atención Primaria; 17(68); -","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000500025&lang=pt" 
"S0718-10432015000200009-chl","CRUZ EN LA PIEDRA: APROPIACIÓN SELECTIVA, CONSTUCCIÓN Y CIRCULACIÓN DE UNA IMAGEN CRISTIANA EN EL ARTE RUPESTRE ANDINO COLONIAL","Arenas, Marco Antonio, Odone, Carolina","Estudios atacameños; (51); 137-151","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200009&lang=pt" 
"S0718-10432015000200007-chl","LA PERSISTENCIA DE UN MODO DE PRODUCCIÓN DOMÉSTICO DURANTE EL PERÍODO TARDÍO: EL CASO DE CORRAL ALTO (ANTOFAGASTA DE LA SIERRA, ARGENTINA)","Grant, Jennifer, Escola, Patricia","Estudios atacameños; (51); 99-121","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200007&lang=pt" 
"S0718-10432015000200005-chl","DISTRIBUCIÓN Y SIGNIFICADO DE LOS RESTOS MALACOLÓGICOS EN LA FASE TILOCALAR (3130-2380 AP), QUEBRADA TULAN (SALAR DE ATACAMA, NORTE DE CHILE)","Soto Rodríguez, Catalina","Estudios atacameños; (51); 53-75","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200005&lang=pt" 
"S0718-10432015000200013-chl","ETNOPOÉTICAS DEL UMBRAL: EL SIMBOLISMO DEL ARCO EN LA CULTURA MAPUCHE WILLICHE Y SUS RECURRENCIAS EN LOS SISTEMAS COSMOVISIONARIOS ANDINOS","Moulian, Rodrigo, Garrido, Cristina","Estudios atacameños; (51); 207-229","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200013&lang=pt" 
"S0718-22012015000200011-chl","MÁS ALLÁ DE LAS PALABRAS: ¿PUEDE COMPRENDERSE EL GÉNERO DISCURSIVO INFORME DE POLÍTICA MONETARIA DESDE UN ÚNICO SISTEMA SEMIÓTICO PREDOMINANTE?","Parodi, Giovanni, Julio, Cristóbal","Alpha (Osorno); (41); 133-158","Alpha (Osorno)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012015000200011&lang=pt" 
"S0718-10432015000200008-chl","ANÁLISIS DE LA PELEODIETA A PARTIR DE LOS ISÓPOS ESTABLES DEL CARBONO Y DEL NITRÓGENO EN LA POBLACIÓN PREHISPÁNICA DE LA PUNA DE JUJUY (ARGENTINA)","Fuchs, María Laura, Cocilovo, José Alberto, Varela, Héctor Hugo","Estudios atacameños; (51); 123-135","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200008&lang=pt" 
"S0718-10432015000200012-chl","AGUAS, RIEGO Y CULTIVOS: CAMBIOS Y PERMANENCIAS EN LOS AYLLUS DE SAN PEDRO DE ATACAMA","Sepúlveda Rivera, Isabel, Molina Otárola, Raúl, Delgado-Serrano, María del Mar, Guerrero Ginel, José Emilio","Estudios atacameños; (51); 185-206","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200012&lang=pt" 
"S0718-16202015000300001-chl","Gray mold caused by Botrytis cinerea limits grape production in Chile","Latorre, Bernardo A, Elfar, Karina, Ferrada, Enrique E","Ciencia e investigación agraria; 42(3); 305-330","Ciencia e investigación agraria","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202015000300001&lang=pt" 
"S0718-16202015000300014-chl","Lucerne and other perennial legumes provide new options for rain fed livestock production in the Mediterranean-climate region of Chile","Ovalle, Carlos, Espinoza, Soledad, Barahona, Viviana, Gerding, Macarena, Humphries, Alan, del Pozo, Alejandro","Ciencia e investigación agraria; 42(3); 453-460","Ciencia e investigación agraria","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202015000300014&lang=pt" 
"S0718-16202015000300010-chl","Effect of fire on herbaceous &quot;matorral&quot; vegetation of Central Chile","Sabadin, Patricia, Gómez, Miguel, Ginocchio, Rosanna, Peña, Iván, Mujica, Ana María, Montenegro, Gloria","Ciencia e investigación agraria; 42(3); 415-425","Ciencia e investigación agraria","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-16202015000300010&lang=pt" 
"S0718-04622015000200004-chl","Transformaciones territoriales y discursos del desarrollo en el Area Metropolitana de Concepción (Chile), 1960-2010: Aproximaciones desde la perspectiva de los imaginarios al estudio de la valoración ambiental del territorio","Aliste Almuna, Enrique, Díaz Álvarez, Asunción, Ther Ríos, Francisco","Atenea (Concepción); (512); 49-67","Atenea (Concepción)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-04622015000200004&lang=pt" 
"S0028-37462015000400003-mex","Apnea, hipoxemia y arquitectura de sueño nocturno en una muestra de nacidos pretérmino en la Ciudad de México","Domínguez-Sandoval, Guadalupe, Haro-Valencia, Reyes, Drucker-Colín, René","Neumología y cirugía de tórax; 74(4); 247-255","Neumología y cirugía de tórax","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0028-37462015000400003&lang=pt" 
"S1870-11912015000200008-mex","Visualidades antiaging. La producción imaginal del control del envejecimiento y la conservación de la juventud","Rodríguez Zoya, Paula G.","Culturales; 3(2); 229-262","Culturales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912015000200008&lang=pt" 
"S1870-11912015000200007-mex","La resignificación de ser adulto mayor. Cambios en la herencia, el lazo social y la capacidad de transmisión","Klein Caballero, Alejandro, Chávez-Hernández, Ana-María","Culturales; 3(2); 209-228","Culturales","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912015000200007&lang=pt" 
"S0301-70362015000400165-mex","Ventajas competitivas de la flexibilidad numérica en micro, pequeñas y medianas empresas del Distrito Federal","Ballina, Francisco","Problemas del desarrollo; 46(183); 165-188","Problemas del desarrollo","Inglês, Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000400165&lang=pt" 
"S1409-45682015000200045-cri","Relación entre autoestima y felicidad desde la psicología positiva en estudiantes de enfermería intercultural","Ramírez, Marco Alberto Núñez, Quirarte, Gloria Esthela González, Reyes, Rosario del Carmen Realpozo","Enfermería Actual de Costa Rica; (29); 45-62","Enfermería Actual de Costa Rica","Espanhol","2015","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-45682015000200045&lang=pt" 
"S1139-76322015000500006-esp","Alivio del dolor y el estrés al vacunar. Síntesis de la evidencia: recomendaciones del Comité Asesor de Vacunas de la AEP","García Sánchez, N., Merino Moína, M., García Vera, C., Lacarta García, I., Carbonell Muñoz, L., Pina Marqués, B., Álvarez García, F.J., Arístegui Fernández, J.","Pediatría Atención Primaria; 17(68); 317-327","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000500006&lang=pt" 
"S1139-76322015000500017-esp","Otoscopia neumática","Benito Orejas, J.I., Velasco Vicente, J.V., Mata Jorge, M., Bachiller Luque, R., Garrido Redondo, M., Ramírez Cano, B.","Pediatría Atención Primaria; 17(68); e279-e288","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000500017&lang=pt" 
"S1988-348X2015000300003-esp","Aceptabilidad de las enfermeras de la vacuna contra el virus del papiloma humano","Santiago Ochoa, Sofía de","Ene; 9(3); -","Ene","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2015000300003&lang=pt" 
"S2011-30802015000200001-col","Neurotechnologies: the need for an ethical commitment in their implementation","Barrera-Valencia, Mauricio, Calderón-Delgado, Liliana","CES Psicología; 8(2); 1-3","CES Psicología","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-30802015000200001&lang=pt" 
"S1988-348X2015000300017-esp","¿Cómo crees que te ven?: imagen de la enfermería percibida por profesionales y usuarios","García Moreno, Virginia, Brito Brito, Pedro Ruymán, Fernández Gutiérrez, Domingo Ángel, Reyero Ortega, Begoña, Ruiznavarro Menéndez, Cristina","Ene; 9(3); -","Ene","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2015000300017&lang=pt" 
"S1988-348X2015000300010-esp","La vacunación frente a la tos ferina en mujeres en edad fértil","Herrera Méndez, María","Ene; 9(3); -","Ene","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2015000300010&lang=pt" 
"S2011-30802015000200010-col","Investigación narrativa: apuesta metodológica para la construcción social de conocimientos científicos","Arias Cardona, Ana María, Alvarado Salgado, Sara Victoria","CES Psicología; 8(2); 171-181","CES Psicología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-30802015000200010&lang=pt" 
"S2011-30802015000200007-col","Escenarios móviles y centros de contacto, una experiencia significativa para el desarrollo comunitario de los servicios sociales","Narváez Burbano, Jonnathan Harvey","CES Psicología; 8(2); 122-137","CES Psicología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-30802015000200007&lang=pt" 
"S2011-30802015000200009-col","Desempeño psicométrico de dos escalas de autoeficacia e intereses profesionales en una muestra de estudiantes de secundaria","Acosta-Amaya, Mónica Marcela, Sánchez Escudero, Juan Pablo","CES Psicología; 8(2); 156-170","CES Psicología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-30802015000200009&lang=pt" 
"S2011-30802015000200003-col","Hábitos y expectativas lectoras de padres de niños con dificultad lectora","Córdoba Rey, Eva María, Cadavid Ruíz, Natalia, Quijano Martínez, María Cristina","CES Psicología; 8(2); 31-46","CES Psicología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S2011-30802015000200003&lang=pt" 
"S0120-35842015000200008-col","Modelación de la asimetría y la curtosis condicionales en series financieras colombianas","Jiménez Gómez, Andrés Eduardo, Melo Velandia, Luis Fernando","Desarrollo y Sociedad; (76); 273-321","Desarrollo y Sociedad","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842015000200008&lang=pt" 
"S1415-47142015000400743-scl","Modelos reducionista e multinível na esquizofrenia: alcances e limites","Oliveira, Stephan Malta","Revista Latinoamericana de Psicopatologia Fundamental; 18(4); 743-757","Revista Latinoamericana de Psicopatologia Fundamental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142015000400743&lang=pt" 
