"S2074-47062015000100006-bol","Integración y democracia en Latinoamérica: un recorrido histórico","Quitral Rojas, Máximo","Revista Latinoamericana de Desarrollo Económico; (23); 129-149","Revista Latinoamericana de Desarrollo Económico","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2074-47062015000100006&lang=pt" 
"S2074-47062015000100003-bol","La cohesión social y sus efectos sobre la disposición a pagar impuestos: un estudio de corte transversal para la ciudad de La Paz","Zilvety Derpic, Ricardo, Villegas Quino, Horacio, Aliaga Lordemann, Javier","Revista Latinoamericana de Desarrollo Económico; (23); 27-65","Revista Latinoamericana de Desarrollo Económico","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2074-47062015000100003&lang=pt" 
"S2074-47062015000100005-bol","Aplicación del algoritmo de Vartia: el sector de educación primaria en Bolivia","Rubin de Celis Cedro, Raúl, Espinoza Vásquez, Lourdes","Revista Latinoamericana de Desarrollo Económico; (23); 97-125","Revista Latinoamericana de Desarrollo Económico","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2074-47062015000100005&lang=pt" 
"S2074-47062015000100001-bol","","","Revista Latinoamericana de Desarrollo Económico; (23); 5-6","Revista Latinoamericana de Desarrollo Económico","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2074-47062015000100001&lang=pt" 
"S0102-311X2015000501119-spa","Erratum","","Cadernos de Saúde Pública; 31(5); 1119-1119","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015000501119&lang=pt" 
"S0102-311X2015000500022-spa","DEMOCRACIA E INOVAÇÃO NA GESTÃO LOCAL DA SAÚDE","Keinert, Tania Margarete Mezzomo","Cadernos de Saúde Pública; 31(5); 1116-1117","Cadernos de Saúde Pública","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015000500022&lang=pt" 
"S0102-311X2015000500003-spa","Chikungunya: uma arbovirose em estabelecimento e expansão no Brasil","Honório, Nildimar Alves, Câmara, Daniel Cardoso Portela, Calvet, Guilherme Amaral, Brasil, Patrícia","Cadernos de Saúde Pública; 31(5); 906-908","Cadernos de Saúde Pública","Inglês, Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015000500003&lang=pt" 
"S0102-311X2015000500002-spa","Asbestos-related cancers in Brazil","Terracini, Benedetto, Pedra, Francisco, Otero, Ubirani","Cadernos de Saúde Pública; 31(5); 903-905","Cadernos de Saúde Pública","Inglês","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015000500002&lang=pt" 
"S0102-311X2015000500001-spa","The 4th World Conference on Research Integrity: Research Integrity and Rewards: Improving Systems to Promote Responsible Research","Vasconcelos, Sonia M. R.","Cadernos de Saúde Pública; 31(5); 1-2","Cadernos de Saúde Pública","Inglês, Português, Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0102-311X2015000500001&lang=pt" 
"S0718-71062015000200004-chl","The Valanginian Olcostephaninae Haug, 1910 (Ammonoidea) from the Andean Lower Cretaceous Chanarcillo Basin, Northern Chile","Mourgues, Francisco Amaro, Bulot, Luc G, Frau, Camille","Andean geology; 42(2); 213-236","Andean geology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-71062015000200004&lang=pt" 
"S0717-34582015000300013-chl","Photo-fermentational hydrogen production of Rhodobacter sp. KKU-PS1 isolated from an UASB reactor","Assawamongkholsiri, Thitirut, Reungsang, Alissara","Electronic Journal of Biotechnology; 18(3); 221-230","Electronic Journal of Biotechnology","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-34582015000300013&lang=pt" 
