"S0370-44672004000300001-scl","CARTA DO EDITOR","Coelho, Jório","Rem: Revista Escola de Minas; 57(3); -","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300001&lang=pt" 
"S0370-44672004000300005-scl","Qualidade das águas do ribeirão Ubá - MG","Carvalho, Cornélio de Freitas, Ferreira, Adalberto Luiz, Stapelfeldt, Frank","Rem: Revista Escola de Minas; 57(3); 165-172","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300005&lang=pt" 
"S1415-52732004000300001-scl","Sistema de Vigilância Alimentar e Nutricional na implementação do programa Leite é Saúde: avaliação em municípios baianos","Santana, Luciana Alaíde Alves, Santos, Sandra Maria Chaves dos","Revista de Nutrição; 17(3); 283-290","Revista de Nutrição","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732004000300001&lang=pt" 
"S1415-52732004000300009-scl","Ácidos graxos trans: implicações nutricionais e fontes na dieta","Martin, Clayton Antunes, Matshushita, Makoto, Souza, Nilson Evelázio de","Revista de Nutrição; 17(3); 361-368","Revista de Nutrição","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732004000300009&lang=pt" 
"S1415-52732004000300010-scl","Nutrição e doenças cardiovasculares: os marcadores de risco em adultos","Castro, Luiza Carla Vidigal, Franceschini, Sylvia do Carmo Castro, Priore, Sílvia Eloíza, Pelúzio, Maria do Carmo Gouveia","Revista de Nutrição; 17(3); 369-377","Revista de Nutrição","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732004000300010&lang=pt" 
"S1415-52732004000300011-scl","Avaliação protéica de uma nova multimistura com base no milho QPM BR 473","Glória, Enara Cristina Silva, Almeida, Nízia Araújo Vieira, Costa, Alexandre Sylvio Vieira da, Henriques Júnior, Edinete, Martins, Sandra Lagatta, Paula, Heberth de, Silva, Marcelo Eustáquio, Santos, Rinaldo Cardoso dos, Malaquias, Luiz Cosme Cotta","Revista de Nutrição; 17(3); 379-385","Revista de Nutrição","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732004000300011&lang=pt" 
"S0100-204X2004000900002-scl","Emergence, longevity and fecundity of Trissolcus basalis and Telenomus podisi after cold storage in the pupal stage","Foerster, Luís Amilton, Doetzer, Augusta Karkow, Castro, Letícia Cunha Ferreira de","Pesquisa Agropecuária Brasileira; 39(9); 841-845","Pesquisa Agropecuária Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900002&lang=pt" 
"S0100-204X2004000900005-scl","Nitrogênio e potássio via água de irrigação nas características de produção da bananeira &#039;Grand Naine&#039;","Sousa, Valdemício Ferreira de, Veloso, Marcos Emanuel da Costa, Vasconcelos, Lúcio Flavo Lopes, Ribeiro, Valdenir Queiroz, Souza, Valdomiro Aurélio Barbosa de, d&#039;Albuquerque Junior, Boanerges Siqueira","Pesquisa Agropecuária Brasileira; 39(9); 865-869","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900005&lang=pt" 
"S0100-204X2004000900015-scl","Occurrence of Quesada gigas on Schizolobium amazonicum trees in Maranhão and Pará States, Brazil","Zanuncio, José Cola, Pereira, Fabrício Fagundes, Zanuncio, Teresinha Vinha, Martinelli, Nilza Maria, Pinon, Tobias Baruc Moreira, Guimarães, Edylene Marota","Pesquisa Agropecuária Brasileira; 39(9); 943-945","Pesquisa Agropecuária Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900015&lang=pt" 
"S0100-204X2004000900001-scl","Distribuição hídrica no período crítico do milho e produção de grãos","Bergamaschi, Homero, Dalmago, Genei Antonio, Bergonci, João Ito, Bianchi, Cleusa Adriane Menegassi, Müller, Artur Gustavo, Comiran, Flávia, Heckler, Bruna Maria Machado","Pesquisa Agropecuária Brasileira; 39(9); 831-839","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900001&lang=pt" 
"S0100-204X2004000900003-scl","Comparação de modelos matemáticos na estimativa das perdas de produtividade de grãos em arroz irrigado","Agostinetto, Dirceu, Fleck, Nilson Gilberto, Rizzardi, Mauro Antonio, Bianchi, Mário Antônio, Silva, Paulo Régis Ferreira da","Pesquisa Agropecuária Brasileira; 39(9); 847-856","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900003&lang=pt" 
"S0100-204X2004000900004-scl","Métodos de correção da produtividade de grãos de milho relacionados à adaptabilidade e estabilidade de cultivares","Cargnelutti Filho, Alberto, Storck, Lindolfo","Pesquisa Agropecuária Brasileira; 39(9); 857-864","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900004&lang=pt" 
"S0100-204X2004000900006-scl","Characterization of potato genotypes using molecular markers","Collares, Eliana Antonia Silveira, Choer, Eva, Pereira, Arione da Silva","Pesquisa Agropecuária Brasileira; 39(9); 871-878","Pesquisa Agropecuária Brasileira","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900006&lang=pt" 
"S0100-204X2004000900007-scl","Variabilidade genética em linhagens de milho nas características relacionadas com a produtividade de silagem","Gomes, Maximilian de Souza, Pinho, Renzo Garcia Von, Ramalho, Magno Antonio Patto, Ferreira, Denys Vitor, Brito, André Humberto de","Pesquisa Agropecuária Brasileira; 39(9); 879-885","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900007&lang=pt" 
"S0100-204X2004000900008-scl","Produção e qualidade de óleos essenciais de Mentha arvensis em resposta à inoculação de fungos micorrízicos arbusculares","Freitas, Marta Simone Mendonça, Martins, Marco Antonio, Vieira, Ivo José Curcino","Pesquisa Agropecuária Brasileira; 39(9); 887-894","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900008&lang=pt" 
"S0100-204X2004000900012-scl","Comportamento ingestivo de cabras leiteiras alimentadas com farelo de cacau ou torta de dendê","Carvalho, Gleidson Giordano Pinto de, Pires, Aureliano José Vieira, Silva, Fabiano Ferreira da, Veloso, Cristina Mattos, Silva, Robério Rodrigues, Silva, Herymá Giovane de Oliveira, Bonomo, Paulo, Mendonça, Sandro de Souza","Pesquisa Agropecuária Brasileira; 39(9); 919-925","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900012&lang=pt" 
"S0100-204X2004000900013-scl","Intensidade de desfolha e produção de forragem do capim-tanzânia irrigado na primavera e no verão","Martha Júnior, Geraldo Bueno, Corsi, Moacyr, Barioni, Luis Gustavo, Vilela, Lourival","Pesquisa Agropecuária Brasileira; 39(9); 927-936","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900013&lang=pt" 
"S0100-204X2004000900014-scl","Substituição do farelo de soja por uréia ou amiréia na dieta de bovinos de corte confinados","Pires, Alexandre Vaz, Oliveira Junior, Reinaldo Cunha de, Fernandes, Juliano José de Resende, Susin, Ivanete, Santos, Flávio Augusto Portela, Araújo, Rafael Canonenco de, Goulart, Ricardo Cazerta Duarte","Pesquisa Agropecuária Brasileira; 39(9); 937-942","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000900014&lang=pt" 
"S0103-97332004000600013-scl","Refinement of monoclinic ReO2 structure from XRD by Rietveld method","Corrêa, H.P.S., Cavalcante, I.P., Martinez, L.G., Orlando, C.G.P., Orlando, M.T.D.","Brazilian Journal of Physics; 34(3b); 1208-1210","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000600013&lang=pt" 
"S0103-97332004000600018-scl","Depairing critical current density of a mesoscopic square superconductor","Sardella, Edson, Oliveira, T. M.","Brazilian Journal of Physics; 34(3b); 1265-1269","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000600018&lang=pt" 
"S0103-97332004000600015-scl","The effective longitudinal dielectric constant for plasmas in inhomogeneous magnetic fields","Gaelzer, R., Ziebell, L. F., Schneider, R. S.","Brazilian Journal of Physics; 34(3b); 1224-1240","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000600015&lang=pt" 
"S0103-97332004000600012-scl","Irreversible processes and the accelerated-decelerated phases of the Universe","Kremer, G. M., Silva, M. C. N. Teixeira da","Brazilian Journal of Physics; 34(3b); 1204-1207","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000600012&lang=pt" 
"S0103-97332004000600011-scl","Heteroisotopic molecular behavior: the valence-bond theory of the positronium hydride","Rolim, Flávia, Moreira, Tathiana, Mohallem, José R.","Brazilian Journal of Physics; 34(3b); 1197-1203","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000600011&lang=pt" 
