"S0104-07072014000401032-scl","Benefits of Reiki in older individuals with chronic pain","Freitag, Vera Lucia, Dalmolin, Indiara Sartori, Badke, Marcio Rossato, Andrade, Andressa de","Texto &amp; Contexto - Enfermagem; 23(4); 1032-1040","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401032&lang=pt" 
"S0104-07072014000400971-scl","The perceptions of workers in a long-term care institution for older adults regarding the family","Santos, Naiana Oliveira dos, Beuter, Margrid, Girardon-Perlini, Nara Marilene Oliveira, Paskulin, Lisiane Manganelli Girardi, Leite, Marinês Tambara, Budó, Maria de Lourdes Denardin","Texto &amp; Contexto - Enfermagem; 23(4); 971-978","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400971&lang=pt" 
"S0104-07072014000400954-scl","Caring for family members in the ICU: challenges faced by nurses in the interpersonal praxis of user embracement","Oliveira, Carolinny Nunes, Nunes, Emanuelle Dias Caires Araújo","Texto &amp; Contexto - Enfermagem; 23(4); 954-963","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400954&lang=pt" 
"S0104-07072014000400935-scl","Cancer repercussions on play in children: implications for nursing care","Silva, Liliane Faria da, Cabral, Ivone Evangelista","Texto &amp; Contexto - Enfermagem; 23(4); 935-943","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400935&lang=pt" 
"S0104-07072014000400964-scl","The evaluation of prolonged pain in the newborn: adaptation of the EDIN scale for the brazilian culture","Dias, Flávia de Souza Barbosa, Marba, Sérgio Tadeu Martins","Texto &amp; Contexto - Enfermagem; 23(4); 964-970","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400964&lang=pt" 
"S0104-07072014000401104-scl","Work organization in hospital nursing: literature review approach","Lorenzetti, Jorge, Oro, Julieta, Matos, Eliane, Gelbcke, Francine Lima","Texto &amp; Contexto - Enfermagem; 23(4); 1104-1112","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401104&lang=pt" 
"S0104-07072014000400880-scl","I survived cancer: phenomenological analysis of the survivors&#039; language","Sales, Catarina Aparecida, Almeida, Carla Simone Leite de, Wakiuchi, Julia, Piolli, Kelly Cristine, Reticena, Kesley de Oliveira","Texto &amp; Contexto - Enfermagem; 23(4); 880-888","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400880&lang=pt" 
"S0104-07072014000400889-scl","Quality of life of elderly practitioners of physical activity in the context of the family health strategy","Campos, Ana Cristina Viana, Cordeiro, Edméia de Campos, Rezende, Gabrielli Pinho de, Vargas, Andréa Maria Duarte, Ferreira, Efigênia Ferreira e","Texto &amp; Contexto - Enfermagem; 23(4); 889-897","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400889&lang=pt" 
"S0104-07072014000400915-scl","Coping strategies used by family members of individuals receiving hemodialysis","Marques, Fernanda Ribeiro Baptista, Botelho, Marina Raduy, Marcon, Sonia Silva, Pupulim, Jussara Simone Lenzi","Texto &amp; Contexto - Enfermagem; 23(4); 915-924","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400915&lang=pt" 
"S0034-737X2014000700007-scl","Sete décadas de evolução do sistema produtivo da cultura do milho","Galvão, João Carlos Cardoso, Miranda, Glauco Vieira, Trogello, Emerson, Fritsche-Neto, Roberto","Revista Ceres; 61(); 819-828","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000700007&lang=pt" 
