"S0100-40422011000800028-scl","Validação de método analítico por espectrofotometria UV para sistema emulsionado lipídico contendo benznidazol","Streck, Letícia, Santos, Kátia Solange Cardoso Rodrigues dos, Fernandes-Pedrosa, Matheus de Freitas, Silva-Júnior, Arnóbio Antônio da, Oliveira, Anselmo Gomes de","Química Nova; 34(8); 1459-1463","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800028&lang=pt" 
"S0100-40422011000800026-scl","Optimization of a HPLC procedure for simultaneous determination of cisplatin and the complex cis,cis,trans-diamminedichlorodihydroxoplatinum(IV) in aqueous solutions","Ramos, Yalexmi, Hernández, Carlos, Fernandez, Lidia Asela, Bataller, Mayra, Veliz, Eliet, Small, Renny","Química Nova; 34(8); 1450-1454","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800026&lang=pt" 
"S0100-40422011000800025-scl","Comparison of USEPA 3050B and ISO 14869-1: 2001 digestion methods for sediment analysis by using FAAS and ICP-OES quantification techniques","Navarro, Elvira Maria Galí, Tagle, Margarita Edelia Villanueva, Marín, Maria Teresa Larrea, Alfonso, Mario Simeón Pomares","Química Nova; 34(8); 1443-1449","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800025&lang=pt" 
"S0100-40422011000800027-scl","Construção de uma câmara para monitoramento in situ do processo de secagem de geis e sólidos porosos","Passos, Aline R., Martins, Leandro, Pulcinelli, Sandra H., Santilli, Celso V.","Química Nova; 34(8); 1455-1458","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800027&lang=pt" 
"S0100-40422011000800029-scl","Validação de método analítico por cromatografia líquida de alta eficiência para doseamento do adapaleno em suspensões de nanocápsulas","Barrios, Jerusa Goi, Farias, Gabriela D&#039;Avila, Roggia, Isabel, Peixoto, Sandra Cadore, Pons, Flábio R., Bruschi, Márcia, Raffin, Renata Platcheck, Alves, Marta Palma","Química Nova; 34(8); 1464-1467","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800029&lang=pt" 
"S1984-63982011000300009-scl","A parentetização: estratégia de construção textual-interativa do chat educacional","Barbosa-Paiva, Crisciene Lara","Revista Brasileira de Linguística Aplicada; 11(3); 773-798","Revista Brasileira de Linguística Aplicada","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-63982011000300009&lang=pt" 
"S0104-14282011000300009-scl","Degradação biológica do PVC em aterro sanitário e avaliação microbiológica","Grisa, Ana M. C., Simioni, Taysnara, Cardoso, Vicente, Zeni, Mara, Brandalise, Rosmary N., Zoppas, Bárbara C. D. A.","Polímeros; 21(3); 210-216","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300009&lang=pt" 
"S0104-14282011000300003-scl","Poliolefinas reforçadas com fibras vegetais curtas: sisal × curauá","Spinacé, Márcia A. S., Janeiro, Lea G., Bernardino, Filippe C., Grossi, Thais A., Paoli, Marco-A. De","Polímeros; 21(3); 168-174","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300003&lang=pt" 
"S0104-14282011000300014-scl","Caracterização térmica e dinâmico-mecânica de compósitos TPU/mica preparados em reômetro de torque","Escócio, Viviane A., Visconte, Leila L.Y., Carvalho, Mariana B. M. de, Nunes, Regina C. R., Altstädt, Volker","Polímeros; 21(3); 240-245","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300014&lang=pt" 
"S0104-14282011000300013-scl","Determinação da força de adesão da metalização com alumínio em filmes plásticos utilizados em embalagens flexíveis","Oliveira, Léa M., Sarantópoulos, Claire I. G. L., Teixeira, Fábio G., Suguiuti, Patrícia A.","Polímeros; 21(3); 233-239","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300013&lang=pt" 
"S0103-64402011010300001-scl","Pesquisa inédita com cultura de células aponta para o potencial de utilização do cimento de aluminato de cálcio na reparação de tecidos mineralizados em Odontologia","Oliveira, Paulo Tambasco de","Brazilian Dental Journal; 22(2); -","Brazilian Dental Journal","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011010300001&lang=pt" 
"S0103-64402011000200001-scl","Mesenchymal stem cells in the dental tissues: perspectives for tissue regeneration","Estrela, Carlos, Alencar, Ana Helena Gonçalves de, Kitten, Gregory Thomas, Vencio, Eneida Franco, Gava, Elisandra","Brazilian Dental Journal; 22(2); 91-98","Brazilian Dental Journal","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011000200001&lang=pt" 
"S0103-64402011000200003-scl","FiltekTM Silorane and FiltekTM Supreme XT resins: tissue reaction after subcutaneous implantation in isogenic mice","Castañeda, Esther Ruiz De, Silva, Léa A. B., Gaton-Hernández, Patrícia, Consolaro, Alberto, Rodriguez, Encarnación Gonzalez, Silva, Raquel A. B., Queiroz, Alexandra M., Nelson-Filho, Paulo","Brazilian Dental Journal; 22(2); 105-110","Brazilian Dental Journal","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011000200003&lang=pt" 
"S0103-64402011000200005-scl","Fracture resistance of teeth subjected to internal bleaching and restored with different procedures","Azevedo, Roseli Aparecida, Silva-Sousa, Yara Teresinha Correa, Souza-Gabriel, Aline Evangelista, Messias, Danielle Cristine Furtado, Alfredo, Edson, Silva, Ricardo Gariba","Brazilian Dental Journal; 22(2); 117-121","Brazilian Dental Journal","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011000200005&lang=pt" 
"S0103-64402011000200014-scl","Larva migrans in the oral mucosa: report of two cases","Damante, José Humberto, Chinellato, Luiz Eduardo Montenegro, Oliveira, Fernando Toledo de, Soares, Cleverson Teixeira, Fleury, Raul Negrão","Brazilian Dental Journal; 22(2); 166-170","Brazilian Dental Journal","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011000200014&lang=pt" 
"S0103-64402011000200009-scl","Non-nutritive sucking habits, anterior open bite and associated factors in Brazilian children aged 30-59 months","Vasconcelos, Flávia Maria Nassar de, Massoni, Andreza Cristina de Lima Targino, Heimer, Mônica Vilela, Ferreira, Angela Maria Brito, Katz, Cíntia Regina Tornisiello, Rosenblatt, Aronita","Brazilian Dental Journal; 22(2); 140-145","Brazilian Dental Journal","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011000200009&lang=pt" 
"S0103-64402011000200010-scl","Relationship between maxillary canine intra-alveolar position and maxillary incisor angulation: a cone beam computed tomography study","Baratieri, Carolina, Canongia, Ana Carolina Portes, Bolognese, Ana Maria","Brazilian Dental Journal; 22(2); 146-150","Brazilian Dental Journal","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011000200010&lang=pt" 
"S0103-64402011000200011-scl","Orthodontic-surgical treatment of class III malocclusion with mandibular asymmetry","Bergamo, Ana Zilda Nazar, Andrucioli, Marcela Cristina Damião, Romano, Fábio Lourenço, Ferreira, José Tarcísio Lima, Matsumoto, Mírian Aiko Nakane","Brazilian Dental Journal; 22(2); 151-156","Brazilian Dental Journal","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011000200011&lang=pt" 
"S0103-64402011000200013-scl","Laser phototherapy as a treatment for radiotherapy-induced oral mucositis","Lino, Maíra Dória Martinez da Costa, Carvalho, Fabíola Bastos de, Oliveira, Lara Ramalho de, Magalhães, Edval Barreto, Pinheiro, Antônio Luiz Barbosa, Ramalho, Luciana Maria Pedreira","Brazilian Dental Journal; 22(2); 162-165","Brazilian Dental Journal","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011000200013&lang=pt" 
"S0103-64402011000200015-scl","Maxillary ameloblastic fibroma: a case report","Costa, Daniela Otero Pereira da, Alves, Adriana Terezinha Neves Novellino, Calasans-Maia, Mônica Diuna, Cruz, Ricardo Lopes da, Lourenço, Simone de Queiroz Chaves","Brazilian Dental Journal; 22(2); 171-174","Brazilian Dental Journal","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402011000200015&lang=pt" 
"S1516-14392011000200006-scl","Evaluation of the solubility of the HPMC: PVA blends in biological fluids in vitro","Bianchi, Sara Elis, Angeli, Valeria Weiss, Souza, Kellen Cristhinia Borges de, Miron, Diogo dos Santos, Carvalho, Gláucio de Almeida, Santos, Venina dos, Brandalise, Rosmary Nichele","Materials Research; 14(2); 166-171","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000200006&lang=pt" 
"S1516-14392011000200005-scl","Synthesis of Pr0.70Sr0.30MnO3δ and Nd0.70Sr0.30MnO3δ powders by solution-combustion technique","Vargas, Reinaldo Azevedo, Bonturim, Everton, Chiba, Rubens, Andreoli, Marco, Seo, Emília Satoshi Miymaru","Materials Research; 14(2); 161-165","Materials Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392011000200005&lang=pt" 
