"S0074-02761986000600017-scl","The altered membrane of malaria-infected erythrocytes: variable epitopes and immune evasion/conserved epitopes and cytoadherence","Howard, Russell J., Sherwood, James A.","Memórias do Instituto Oswaldo Cruz; 81(); 95-109","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600017&lang=pt" 
"S0074-02761986000600018-scl","The red cell cytoskeleton and invasion by malaria parasites","Facer, Christine A.","Memórias do Instituto Oswaldo Cruz; 81(); 111-114","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600018&lang=pt" 
"S0074-02761986000600019-scl","Immunogenicity and infectivity of mature and immature plasmodium gallinaceum sporozoites","Krettli, Antoniana Ursine, Laurente, Katia Elizabeth, Daher, Valquiria Rocha, Rocha, Eliana M. Mauricio da","Memórias do Instituto Oswaldo Cruz; 81(); 115-122","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600019&lang=pt" 
"S0074-02761986000600020-scl","Plasmodium falciparum infected erythrocyte cytoadherence test: its application with brazilian isolates and inhibition by human plasma","Kloetzel, J. K., Malafronte, R., Andrade Junior, H. F.","Memórias do Instituto Oswaldo Cruz; 81(); 123-129","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600020&lang=pt" 
"S0074-02761986000600021-scl","Repeat region of plasmodium falciparum circumsporozoite protein does not recognize or bind to human hepatoma target cell","Aley, Stephen B., Bates, Michelle D., Hockmeyer, Wayne T., Miller, Louis H., Hollingdale, Michael R.","Memórias do Instituto Oswaldo Cruz; 81(); 131-134","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600021&lang=pt" 
"S0074-02761986000600022-scl","In vitro testing of antimalarial exo-erythrocytic schizontocides in primary cultures of hepatocytes","Millet, Pascal, Landau, Irene, Peters, Wallace","Memórias do Instituto Oswaldo Cruz; 81(); 135-141","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600022&lang=pt" 
"S0373-55241986000100001-scl","Incidência de isópodes parasitas (Cymothoidae) em peixes da plataforma continental brasileira","Sartor, Silvia Maria","Boletim do Instituto Oceanográfico; 34(); 01-12","Boletim do Instituto Oceanográfico","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0373-55241986000100001&lang=pt" 
"S0373-55241986000100002-scl","A multivariate approach to environmental-zooplankton relationships in Maldonado Bay (Uruguay)","Milstein, Ana","Boletim do Instituto Oceanográfico; 34(); 13-21","Boletim do Instituto Oceanográfico","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0373-55241986000100002&lang=pt" 
"S0373-55241986000100007-scl","Estudo sobre a ictiofauna acompanhante da pesca do camarão sete-barbas (Xyphopenaeus kroyeri) nas proximidades da Baía de Santos - SP: I - aspectos quantitativos","Paiva-Filho, Alfredo Martins, Schmiegelow, João Marcos Miragaia","Boletim do Instituto Oceanográfico; 34(); 79-85","Boletim do Instituto Oceanográfico","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0373-55241986000100007&lang=pt" 
"S0373-55241986000100004-scl","Vertical distribution of benthic marine organisms on rocky coasts of the Fernando de Noronha Archipelago (Brazil)","Eston, Verena Rapp de, Migotto, Alvaro Esteves, Oliveira Filho, Eurico Cabral de, Rodrigues, Sergio de Almeida, Freitas, Jose Carlos de","Boletim do Instituto Oceanográfico; 34(); 37-53","Boletim do Instituto Oceanográfico","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0373-55241986000100004&lang=pt" 
"S0373-55241986000100003-scl","Características físicas e químicas do sistema estuarino-lagunar de Cananéia-Iguape","Miyao, Sadako Yadoya, Nishihara, Linda, Sarti, Claudio Cícero","Boletim do Instituto Oceanográfico; 34(); 23-26","Boletim do Instituto Oceanográfico","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0373-55241986000100003&lang=pt" 
"S0373-55241986000100005-scl","Early development of Thyrsitops lepidopoides (Pisces: Gempylidae)","Gosuke, Sato, Matsuura, Yasunobu","Boletim do Instituto Oceanográfico; 34(); 55-69","Boletim do Instituto Oceanográfico","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0373-55241986000100005&lang=pt" 
"S0373-55241986000100006-scl","Contribuição ao conhecimento da biologia da manjuba, Anchoviella lepidentostole (Fowler, 1911), no Estuário de São Vicente, SP (Osteichthyes, Engraulidae)","Paiva Filho, Alfredo Martins, Zani-Teixeira, Maria de Lourdes, Kihara, Paulo Kiyoshi","Boletim do Instituto Oceanográfico; 34(); 71-77","Boletim do Instituto Oceanográfico","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0373-55241986000100006&lang=pt" 
"S0373-55241986000100008-scl","Lista das dissertações de mestrado e teses de doutorado","","Boletim do Instituto Oceanográfico; 34(); 87-88","Boletim do Instituto Oceanográfico","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0373-55241986000100008&lang=pt" 
"S1414-98931986000200004-scl","Por uma competência política e técnica no treinamento","Borges-Andrade, Jairo Eduardo","Psicologia: Ciência e Profissão; 6(2); 9-17","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000200004&lang=pt" 
"S1414-98931986000100009-scl","A perícia psicológica","Ortiz, Maria Cecilia Meirelles","Psicologia: Ciência e Profissão; 6(1); 26-30","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100009&lang=pt" 
"S1414-98931986000100008-scl","A contribuição dos especialistas","Cunha, Raquel Vieira da, Wagner, Elvira Abreu e Mello, Jalfen, Liliana","Psicologia: Ciência e Profissão; 6(1); 21-25","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100008&lang=pt" 
"S1414-98931986000100004-scl","Criatividade e ensino","Alencar, Eunice M. L Soriano de","Psicologia: Ciência e Profissão; 6(1); 13-16","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100004&lang=pt" 
"S1414-98931986000100012-scl","Elisa Dias Velloso","","Psicologia: Ciência e Profissão; 6(1); 33-34","Psicologia: Ciência e Profissão","Português","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98931986000100012&lang=pt" 
