"S0101-81751999000500012-scl","A synopsis of the tribe Micrutalini Haupt (Homoptera, Membracidae, Smiliinae)","Sakakibara, Albino M.","Revista Brasileira de Zoologia; 16(); 193-220","Revista Brasileira de Zoologia","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500012&lang=pt" 
"S0101-81751999000500013-scl","Análise de sobrevivência e estimativa de entropia para Sarconesia chlorogaster (Wiedemann) (Diptera, Calliphoridae)","Moura, Maurício O., Bonatto, Sionei R.","Revista Brasileira de Zoologia; 16(); 221-226","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500013&lang=pt" 
"S0101-81751999000500014-scl","Sobre os tipos de Lepidoptera depositados em museus brasileiros. XXV: Nymphalidae (Charaxinae) descrito por Mário Rosa (suplemento); Zygaenidae por A.M. da Costa Lima; Saturniidae (Hemileucinae) por A. Mabilde (suplemento), Castniidae por L. Pfeiffer e Arctiidae (Pericopinae) por Oscar Monte","Mielke, Olaf H.H., Casagrande, Mirna M.","Revista Brasileira de Zoologia; 16(); 227-231","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500014&lang=pt" 
"S0101-81751999000500015-scl","Descrições de duas espécies novas de Amblycerus Thunberg (Coleoptera, Bruchidae)","Ribeiro-Costa, Cibele S.","Revista Brasileira de Zoologia; 16(); 233-238","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500015&lang=pt" 
"S0101-81751999000500016-scl","Descrição de duas espécies novas de Agudus Oman (Homoptera, Cicadellidae, Deltocephalinae)","Zanol, Keti Maria Rocha","Revista Brasileira de Zoologia; 16(); 239-242","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500016&lang=pt" 
"S0101-81751999000500017-scl","Descrição dos estágios imaturos e redescrição de Lamprosoma azureum Germar (Chrysomelidae, Lamprosomatinae)","Caxambú, Marcelo Galeazzi, Almeida, Lúcia Massutti de","Revista Brasileira de Zoologia; 16(); 243-256","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500017&lang=pt" 
"S0101-81751999000500018-scl","Ocorrência de Haemagogus (Conopostegus) leucocelaenus (Dyar &amp; Shannon) e Toxorhynchites (Lynchiella) theobaldi (Dyar &amp; Knab) em ocos de árvore em capão de mata, Curitiba, Paraná, Brasil","Silva, Mario Antônio Navarro da, Lozovei, Ana Leuch","Revista Brasileira de Zoologia; 16(); 257-267","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500018&lang=pt" 
"S0101-81751999000500019-scl","Dieta de um grupo de mico-leão-preto, Leontopithecus chrysopygus (Mikan) (Mammalia, Callitrichidae), na Estação Ecológica dos Caetetus, São Paulo","Passos, Fernando de Camargo","Revista Brasileira de Zoologia; 16(); 269-278","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500019&lang=pt" 
"S0101-81751999000500021-scl","A formação dos oostegitos em Porcellio dilatatus Brandt (Crustácea, Isopoda, Oniscidea) em laboratório","Loyola e Silva, Jayme de, Coraiola, Maria Aparecida Sídor","Revista Brasileira de Zoologia; 16(); 305-318","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500021&lang=pt" 
"S0101-81751999000500022-scl","Nova ocorrência de Nicolea venustula (Montagu) (Polychaeta, Terebellidae) na costa sul do Brasil","Blankensteyn, Arno, Moreno, Tatiane Regina","Revista Brasileira de Zoologia; 16(); 319-322","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500022&lang=pt" 
"S0101-81751999000500010-scl","Sobre o gênero Austrostelis Michener &amp; Griswold stat.n. (Hymenoptera, Megachilidae), com algumas modificações nomenclaturais","Urban, Danúncia","Revista Brasileira de Zoologia; 16(); 181-187","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500010&lang=pt" 
