"S0104-14282013000300009-scl","Effect of the addition of soy lecithin and Yucca schidigera extract on the properties of gelatin and glycerol based biodegradable films","Dias, Tatiana P., Grosso, Carlos R. F., Andreuccetti, Caroline, Carvalho, Rosemary A. de, Galicia-García, Tomás, Martinez-Bustos, Fernando","Polímeros; 23(3); 339-345","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300009&lang=pt" 
"S0104-14282013000300005-scl","Effect of compatibilization and reprocessing on the isothermal crystallization kinetics of polypropylene/wood flour composites","Rodrigues, Arieny, Carvalho, Benjamim de M., Pinheiro, Luís A., Bretãs, Rosário E. S., Canevarolo, Sebastião V., Marini, Juliano","Polímeros; 23(3); 312-319","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300005&lang=pt" 
"S0104-14282013000400012-scl","Reticulação de plastissóis de PVC utilizando resina epóxi polifuncional: síntese e caracterização","Carvalho, Ívi Martins de, Mei, Lucia Helena Innocentini, Rodolfo Junior, Antonio","Polímeros; 23(4); 501-508","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400012&lang=pt" 
"S0104-14282013000400019-scl","Preparação de resinas de poliuretana à base de óleo de mamona e dietanolamina e sua aplicação em circuitos eletroeletrônicos","Cardoso, Oldemar Ribeiro, Balaban, Rosangela de Carvalho","Polímeros; 23(4); 552-558","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400019&lang=pt" 
"S0104-14282013000400014-scl","Tendências tecnológicas do uso do sisal em compósitos a partir da prospecção em documentos de patentes","Scopel, Felipe, Gregolin, José Angelo Rodrigues, Faria, Leandro Innocentini Lopes de","Polímeros; 23(4); 514-520","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400014&lang=pt" 
"S0104-14282013000400018-scl","Avaliação e caracterização de tubos fabricados com PVC reciclado","Pennafort Jr, Luiz Carlos G., Silva, Frederico Rozendo da, Deus, Enio Pontes de","Polímeros; 23(4); 547-551","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400018&lang=pt" 
"S0104-14282013000400016-scl","Efeito compatibilizante de uma argila organofílica na blenda PLA/terpolímero (etileno/acrilato de metila/metacrilato de glicidila)","Brito, Gustavo F., Agrawal, Pankaj, Araújo, Edcleide M., Mélo, Tomás J. A. de","Polímeros; 23(4); 531-537","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400016&lang=pt" 
"S0104-14282013000400005-scl","Morphological, viscoelastic and mechanical characterization of polypropylene/exfoliated graphite nanocomposites","Ferreira, Creusa Iara, Bianchi, Otavio, Oviedo, Mauro Alfredo Soto, Oliveira, Ricardo Vinicius Bof de, Mauler, Raquel Santos","Polímeros; 23(4); 456-461","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400005&lang=pt" 
"S0104-14282013000400008-scl","Influence of elastic recovery time on the Dimensional Stability of Polydimethylsiloxane (PDS)","Cesero, Leonardo de, Nogarett, Lígia Maria, Mota, Eduardo Gonçalves, Fracasso, Lisiane Martins, Araujo, Carlos dos Reis Pereira de","Polímeros; 23(4); 473-476","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400008&lang=pt" 
"S0104-14282013000400010-scl","Synthesis and characterization of novel polyamide-ethers based on bis-imidazole containing bulky aryl pendant groups","Saadati, Seyed Mahdi, Mosslemin, Mohammad Hossein, Behmadi, Hossein","Polímeros; 23(4); 484-492","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400010&lang=pt" 
"S0104-14282013000400003-scl","Degradation of non-vulcanized natural rubber - renewable resource for fine chemicals used in polymer synthesis","Fainleib, Alexander, Pires, Renata V., Lucas, Elizabete F., Soares, Bluma G.","Polímeros; 23(4); 441-450","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400003&lang=pt" 
"S0104-14282013000400022-scl","Estudo do efeito da incorporação de plastificante de fonte renovável em compostos de PVC","Rosa, Derval dos Santos, Silveira, Alexandre de Freitas, Madaleno, Emerson, Tavares, Maria Inês Bruno","Polímeros; 23(4); 570-581","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000400022&lang=pt" 
"S0104-14282013000500010-scl","Avaliação do uso de amidos aniônicos hidrolisados como estabilizantes em nanocápsulas poliméricas para formulações tópicas","Santos, Ester P. dos, Barboza, Jayne C. S.","Polímeros; 23(5); 624-629","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000500010&lang=pt" 
"S0104-14282013000500015-scl","Análise técnica do uso de resíduos de poliéster na indústria têxtil","Pinho, Eleandro B., Costa, Helson M. da, Ramos, Valéria D.","Polímeros; 23(5); 654-660","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000500015&lang=pt" 
"S0104-14282013000500020-scl","Propriedades mecânicas e reológicas de nanocompósitos de poliamida 6 com argila organofílica nacional","Paz, Renê Anisio da, Leite, Amanda Melissa Damião, Araújo, Edcleide Maria, Melo, Tomás Jeferson Alves de, Pessan, Luiz Antonio, Passador, Fábio Roberto","Polímeros; 23(5); 682-689","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000500020&lang=pt" 
"S0104-14282013000500021-scl","Degradação de membrana impermeabilizante de polietileno de alta densidade usada em tanques de armazenamento de vinhaça","Lavoie, Fernando Luiz, Bueno, Benedito de Souza, Lodi, Paulo César","Polímeros; 23(5); 690-695","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000500021&lang=pt" 
"S0104-14282013000500019-scl","Sal de iodônio aumenta a resistência coesiva de uma resina adesiva experimental na presença de solvente","Leal, Fernanda B., Souza, Aline T. de, Piva, Evandro, Ogliari, Fabrício","Polímeros; 23(5); 678-681","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000500019&lang=pt" 
"S0104-14282013000500012-scl","PVC Orientado: avaliação de processo de orientação e das propriedades mecânicas em função da razão de estiramento","Medeiros, Felipe Albuquerque, Wiebeck, Hélio","Polímeros; 23(5); 636-643","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000500012&lang=pt" 
"S0104-14282013000500011-scl","Propriedades e características da quitosana obtida a partir do exoesqueleto de caranguejo-uçá utilizando radiação de microondas","Abreu, F. O. M. S., Cavalcante, L. G., Doudement, P. V., Castro, A. M., Nascimento, A. P., Matos, J. E. X","Polímeros; 23(5); 630-635","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000500011&lang=pt" 
"S0104-14282013000500006-scl","Use of green coconut shells as an alternative substrate for the production of xanthan gum on different scales of fermentation","Nery, Tatiana Barreto Rocha, Cruz, Antonio José Gonçalves da, Druzian, Janice Izabel","Polímeros; 23(5); 602-607","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000500006&lang=pt" 
