"S0103-90162003000400004-scl","Phytase enzyme in diets containing defatted rice bran for growing swine","Moreira, José Aparecido, Vitti, Dorinha Miriam Silber Schmidt, Trindade Neto, Messias Alves da, Lopes, João Batista","Scientia Agricola; 60(4); 631-636","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400004&lang=pt" 
"S0103-90162003000400011-scl","Fermentation of irradiated sugarcane must","Alcarde, André Ricardo, Walder, Júlio Marcos Melges, Horii, Jorge","Scientia Agricola; 60(4); 677-681","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400011&lang=pt" 
"S0103-90162003000400012-scl","Plant regeneration from proroplasts of alfalfa (Medicago sativa) via somatic embryogenesis","Monteiro, Mariza, Appezzato-da-Glória, Beatriz, Valarini, Maria José, Oliveira, Carlos Alberto de, Vieira, Maria Lucia Carneiro","Scientia Agricola; 60(4); 683-689","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400012&lang=pt" 
"S0103-90162003000400013-scl","Biomass, virus concentration, and symptomatology of cucurbits infected by mild and severe strains of Papaya ringspot virus","Pacheco, Davi Andrade, Rezende, Jorge Alberto Marques, Piedade, Sônia Maria de Stefano","Scientia Agricola; 60(4); 691-698","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400013&lang=pt" 
"S0103-90162003000400014-scl","Selected mild strains of Passion fruit woodiness virus (PWV) fail to protect pre-immunized vines in Brazil","Novaes, Quelmo Silva de, Rezende, Jorge Alberto Marques","Scientia Agricola; 60(4); 699-708","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400014&lang=pt" 
"S0103-90162003000400019-scl","Planosol soil sample size for computerized tomography measurement of physical parameters","Pedrotti, Alceu, Pauletto, Eloy Antonio, Crestana, Silvio, Cruvinel, Paulo Estevão, Vaz, Carlos Manoel Pedro, Naime, João de Mendonça, Silva, Alvaro Macedo da","Scientia Agricola; 60(4); 735-740","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400019&lang=pt" 
"S0103-90162003000400024-scl","Biofertilzers with natural phosphate, sulphur and Acidithiobacillus in a siol with low available-P","Stamford, Newton Pereira, Santos, Patrícia Ribeiro dos, Moura, Adriana Muniz Mendes Freire de, Santos, Carolina Etiene de Rosália e Silva, Freitas, Ana Dolores Santiago de","Scientia Agricola; 60(4); 767-773","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400024&lang=pt" 
"S0103-90162003000400026-scl","Ultrasonography as a predicting tool for carcass traits of young bulls","Suguisawa, Liliane, Mattos, Wilson Roberto Soares, Oliveira, Henrique Nunes de, Silveira, Antônio Carlos, Arrigoni, Mário de Beni, Haddad, Cláudio Maluf, Chardulo, Luis Artur Loyola, Martins, Cyntia Ludovico","Scientia Agricola; 60(4); 779-784","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400026&lang=pt" 
"S0103-90162003000400002-scl","Live and formulated diet evaluation through initial growth and survival of jundiá larvae, Rhamdia quelen","Carneiro, Paulo César Falanghe, Mikos, Jorge Daniel, Schorer, Marianne, Oliveira Filho, Paulo Roberto Campagnoli, Bendhack, Fabiano","Scientia Agricola; 60(4); 615-619","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400002&lang=pt" 
"S0001-37652003000400002-scl","On clutch size and hatching success of the South American turtles Podocnemis expansa (Schweigger, 1812) and P. unifilis Troschel, 1848 (Testudines, Podocnemididae)","Vanzolini, Paulo Emilio","Anais da Academia Brasileira de Ciências; 75(4); 415-430","Anais da Academia Brasileira de Ciências","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652003000400002&lang=pt" 
"S0001-37652003000400003-scl","Epicuticular waxes from caatinga and cerrado species and their efficiency against water loss","Oliveira, Antonio F. M., Meirelles, Sérgio T., Salatino, Antonio","Anais da Academia Brasileira de Ciências; 75(4); 431-439","Anais da Academia Brasileira de Ciências","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652003000400003&lang=pt" 
"S0001-37652003000400005-scl","Importance of CD8 T cell-mediated immune response during intracellular parasitic infections and its implications for the development of effective vaccines","Rodrigues, Mauricio M., Boscardin, Silvia B., Vasconcelos, José R., Hiyane, Meire I., Salay, Gerson, Soares, Irene S.","Anais da Academia Brasileira de Ciências; 75(4); 443-468","Anais da Academia Brasileira de Ciências","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652003000400005&lang=pt" 
