"S1517-97022016005006104-scl","Evolução do perfil didático-pedagógico do professor-engenheiro","Molisani, André Luiz","Educação e Pesquisa; (ahead); -","Educação e Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022016005006104&lang=pt" 
"S0100-29452016000303002-scl","DOSIS DEL NITRÓGENO EN EL ABONADO DE MINIJARDIN CLONAL DE PITANGUERAS (Eugenia uniflora)","LATTUADA, DAIANE SILVA, ALTMANN, TAÍS, BACK, MARINA MARTINELLO, LOUROSA, GIL VICENTE, SOUZA, PAULO VITOR DUTRA DE","Revista Brasileira de Fruticultura; 38(3); -","Revista Brasileira de Fruticultura","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452016000303002&lang=pt" 
"S1516-14392016005058102-scl","Glass Forming Ability and Mechanical Properties of Zr57.52Co21.24Al9.24Ag12 bulk metallic glass","Borja Soto, Carlos Ernesto, Figueroa Vargas, Ignacio Alejandro, Lara Rodríguez, Gabriel Ángel, Verduzco Martínez, Jorge Alejandro","Materials Research; (ahead); -","Materials Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392016005058102&lang=pt" 
"S0375-15892016000300006-sza","The response of broiler breeder hens to dietary balanced protein","Steenhuisen, E., Gous, R.M.","South African Journal of Animal Science; 46(3); 269-277","South African Journal of Animal Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892016000300006&lang=pt" 
"S0375-15892016000300008-sza","Interactions of genotype, housing and dietary calcium in layer performance, eggshell quality and tibia characteristics","Tůmová, E., Vlčková, J., Charvátová, V., Drábek, O., Tejnecký, V., Ketta, M., Chodová, D.","South African Journal of Animal Science; 46(3); 285-293","South African Journal of Animal Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892016000300008&lang=pt" 
"S0375-15892016000300002-sza","Effect of sow age on the apparent total tract digestibility of nutrients in the diet","Jacyno, E., Pietruszka, A., Biel, W., Kotodziej-Skalska, A., Matysiak, B., Kawęcka, M., Sosnowska, A.","South African Journal of Animal Science; 46(3); 230-236","South African Journal of Animal Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892016000300002&lang=pt" 
"S0375-15892016000300004-sza","Effects of dietary supplementation of Chinese herb medicine mixture on rumen fermentation, nutrient digestion and blood profile in goats","Wang, S.P., Wang, W.J.","South African Journal of Animal Science; 46(3); 247-260","South African Journal of Animal Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892016000300004&lang=pt" 
"S0375-15892016000300010-sza","Genome-wide identification of breed-informative single-nucleotide polymorphisms in three South African indigenous cattle breeds","Zwane, A.A., Maiwashe, A., Makgahlela, M.L., Choudhury, A., Taylor, J.F., van Marle-Köster, E.","South African Journal of Animal Science; 46(3); 302-312","South African Journal of Animal Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892016000300010&lang=pt" 
"S0375-15892016000300011-sza","Effect of micronized zeolite addition to lamb concentrate feeds on growth performance and some blood chemistry and metabolites","Toprak, N.N., Yilmaz, A., Öztürk, E., Yigit, O., Cedden, F.","South African Journal of Animal Science; 46(3); 313-320","South African Journal of Animal Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892016000300011&lang=pt" 
"S1806-11172016000400301-scl","Cem anos de buracos negros: o centenário da solução de Schwarzschild","Saa, Alberto","Revista Brasileira de Ensino de Física; 38(4); -","Revista Brasileira de Ensino de Física","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172016000400301&lang=pt" 
"S0104-59702016005007103-scl","Pesquisa com células-tronco no Brasil: a produção de um novo campo científico","Zorzanelli, Rafaela Teixeira, Speroni, Angela Vasconi, Menezes, Rachel Aisengart, Leibing, Annette","História, Ciências, Saúde-Manguinhos; (ahead); -","História, Ciências, Saúde-Manguinhos","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016005007103&lang=pt" 
