"S1516-635X2016000500041-scl","EFFECT OF LITTER SUBSTRATES ON THE PERFORMANCE, CARCASS TRAITS, AND ENVIRONMENTAL COMFORT OF RED-WINGED TINAMOU (RHYNCHOTUS RUFESCENS)","Nunes, JC, Carvalho, MM, Sugui, JK, Queiroz, FA, Santana, AE, Hata, ME, Aiura, ALO, Oliveira, JA, Queiroz, SA","Revista Brasileira de Ciência Avícola; 18(spe); 41-50","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500041&lang=pt" 
"S1516-635X2016000500033-scl","The Effect of Calcium and Available Phosphorus Levels on Performance, Egg Quality and Bone Characteristics of Japanese Quails at End of the Egg-Production Phase","Ribeiro, CLN, Barreto, SLT, Reis, RS, Muniz, JCL, Viana, GS, Ribeiro Junior, V, Mendonça, MO, Ferreira, RC, DeGroot, AA","Revista Brasileira de Ciência Avícola; 18(spe); 33-40","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500033&lang=pt" 
"S1516-635X2016000500019-scl","Bayesian Analysis for the Comparison of Nonlinear Regression Model Parameters: an Application to the Growth of Japanese Quail","Firat, MZ, Karaman, E, Başar, EK, Narinc, D","Revista Brasileira de Ciência Avícola; 18(spe); 19-26","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500019&lang=pt" 
"S1516-635X2016000500013-scl","The Effect of Eggshell Thickness on Hatching Traits of Partridges","Yamak, US, Sarica, M, Boz, MA, Ucar, A","Revista Brasileira de Ciência Avícola; 18(spe); 13-18","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500013&lang=pt" 
"S2318-03312016000300479-scl","Curvas de permanência de qualidade da água como subsídio para o enquadramento de corpos d&#039;água a partir de modelagem matemática em regime não permanente","Ferreira, Danieli Mara, Fernandes, Cristovão Vicente Scapulatempo, Kaviski, Eloy","RBRH; 21(3); 479-492","RBRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300479&lang=pt" 
"S2318-03312016000300493-scl","Rule curve for seasonal increasing of water concessions in reservoirs with low regularized discharges","Nunes, Tereza Helena Costa, Galvão, Carlos de Oliveira, Rêgo, Janiro Costa","RBRH; 21(3); 493-501","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300493&lang=pt" 
"S2318-03312016000300502-scl","Using the mineralogy of river sediments as pollution indicator of clay mining activity","Mello, Rafael Carvalho Alves de, Zanardo, Antenor, Conceição, Fabiano Tomazini da, Fernandes, Alexandre Martins","RBRH; 21(3); 502-513","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300502&lang=pt" 
"S2318-03312016000300618-scl","Previsões multiescala de vazões para o sistema hidrelétrico brasileiro utilizando ponderação bayesiana de modelos (BMA)","Oliveira, Vinicius Grossi de, Lima, Carlos Henrique Ribeiro","RBRH; 21(3); 618-635","RBRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300618&lang=pt" 
"S1516-635X2016000500007-scl","Bovine meat and Bone Meal as an Economically Viable Alternative in Quail Feeding in the Final Phase","Pizzolante, CC, Moraes, JE, Kakimoto, SK, Budiño, FEL, Móri, C, Soares, DF, Saccomani, APO","Revista Brasileira de Ciência Avícola; 18(spe); 7-12","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500007&lang=pt" 
"S1516-635X2016000500061-scl","EFFECT OF EGGSHELL COLOR ON THE EGG CHARACTERISTICS AND HATCHABILITY OF GUINEA FOWL (NUMIDA MELEAGRIS) EGGS","Eleroğlu, H, Yıldırım, A, Duman, M, Okur, N","Revista Brasileira de Ciência Avícola; 18(spe); 61-68","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500061&lang=pt" 
