"S1130-01082010000500013-esp","Glycogenic acanthosis of the esophagus: an unusually endoscopic appearance","Lopes, S., Figueiredo, P., Amaro, P., Freire, P., Alves, S., Cipriano, M. A., Gouveia, H., Sofia, C., Correia-Leitão, M.","Revista Española de Enfermedades Digestivas; 102(5); 341-342","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500013&lang=pt" 
"S1130-01082010000500007-esp","Acute mesenteric ischemia","Arroja, B., Canhoto, M., Gonçalves, C., Silva, F., Cotrim, I, Vasconcelos, H., Vilela, M.","Revista Española de Enfermedades Digestivas; 102(5); 327-328","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500007&lang=pt" 
"S1130-01082010000500016-esp","Unusual peritonitis: ruptured (perforated) malignant hemangiopericytoma of the sigmoid mesocolon","Mai, C. M., Hsu, K. F., Hsiao, C. W., Wu, C. C., Fu, C. Y., Yu, J. C., Jin, J. S., Jao, S. W.","Revista Española de Enfermedades Digestivas; 102(5); 346-347","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500016&lang=pt" 
"S1130-01082010000500015-esp","Choledochocele complicated with pancreas carcinoma in an old patient: Endoscopical diagnosis and treatment","Uribarrena-Amezaga, R., Fuentes-Olmo, J., Raventós-Irigoyen, N., Uribarrena-Echevarría, R.","Revista Española de Enfermedades Digestivas; 102(5); 344-346","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500015&lang=pt" 
"S1130-01082010000500009-esp","Crohn&#039;s disease and Sweet&#039;s syndrome: an uncommon association","Catalán-Serra, I., Martín-Moraleda, L., Navarro-López, L., Gil-Borrás, R., Pont-Sanjuán, V., Ferrando-Marco, J., Herrera-García, L., Durbán-Serrano, L., Hontangas-Pla, V., Benlloch-Pérez, S., Escudero-Sanchis, A., Gonzalvo-Sorribes, J. M., Bixquert-Jiménez, M.","Revista Española de Enfermedades Digestivas; 102(5); 331-336","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500009&lang=pt" 
"S1130-01082010000500003-esp","Dilated intercellular spaces in subtypes of gastroesophagic reflux disease","Álvaro-Villegas, J. C., Sobrino-Cossío, S., Hernández-Guerrero, A., Alonso-Lárraga, J. O., Mora-Levy, J. G. de-la-, Molina-Cruz, A., Domínguez-Malagón, H. R., Herrera-Esquivel, J. J.","Revista Española de Enfermedades Digestivas; 102(5); 302-307","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500003&lang=pt" 
"S1130-01082010000500004-esp","The importance of ultrasound findings in the study of anal pain","Vieira, A. M., Castro-Poças, F., Lago, P., Pimentel, R., Pinto, R., Saraiva, M. M., Areias, J.","Revista Española de Enfermedades Digestivas; 102(5); 308-313","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500004&lang=pt" 
"S1134-80462010000400005-esp","¿Se debe mantener la analgesia epidural como técnica de base en la UDA?","Caba, F.","Revista de la Sociedad Española del Dolor; 17(4); 206-212","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000400005&lang=pt" 
"S1130-01082010000500008-esp","Transnasal endoscopy in a patient with cicatricial pemphigoid","Rodríguez-Téllez, M., Arroyo-Martínez, Q., Lizarralde, C., Pellicer, F. J., Herrerías, J. M.","Revista Española de Enfermedades Digestivas; 102(5); 329-330","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500008&lang=pt" 
"S1130-01082010000500010-esp","Gastroparesia","Accarino, A.","Revista Española de Enfermedades Digestivas; 102(5); 337-337","Revista Española de Enfermedades Digestivas","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500010&lang=pt" 
