"S0101-73302004000400010-scl","Divisão do trabalho e trabalho técnico nas escolas de sociedades ocidentais","LeVasseur, Louis, Tardif, Maurice","Educação &amp; Sociedade; 25(89); 1275-1297","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400010&lang=pt" 
"S0101-73302004000400012-scl","Da pressão disciplinada à obrigação moral: esboço sobre o significado e o papel da pedagogia no pensamento de Kant","Dalbosco, Cláudio Almir","Educação &amp; Sociedade; 25(89); 1333-1356","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400012&lang=pt" 
"S0101-73302004000400013-scl","Biologia: educação e imagens","Bruzzo, Cristina","Educação &amp; Sociedade; 25(89); 1359-1378","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400013&lang=pt" 
"S0101-73302004000400014-scl","A educação do Movimento dos Sem-Terra: Instituto de Educação Josué de Castro","Dal Ri, Neusa Maria, Vieitez, Candido Giraldez","Educação &amp; Sociedade; 25(89); 1379-1402","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400014&lang=pt" 
"S0103-50532004000600002-scl","Optimization of thermogravimetric analysis of ash content in honey","Felsner, Maria L., Cano, Cristiane B., Matos, Jivaldo R., Almeida-Muradian, Lígia B. de, Bruns, Roy E.","Journal of the Brazilian Chemical Society; 15(6); 797-802","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600002&lang=pt" 
"S0103-50532004000600006-scl","Interaction of poly(4-vinylpyridine) with copper surfaces: electrochemical, thermal and spectroscopic studies","Giacomelli, Cristiano, Giacomelli, Fernando Carlos, Santana, Adriana Lídia, Schmidt, Vanessa, Pires, Alfredo Tiburcio Nunes, Bertolino, José Roberto, Spinelli, Almir","Journal of the Brazilian Chemical Society; 15(6); 818-824","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600006&lang=pt" 
"S0103-50532004000600007-scl","","Ribeiro, Anderson S., Vieira, Mariana A., Curtius, Adilson J.","Journal of the Brazilian Chemical Society; 15(6); 825-831","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600007&lang=pt" 
"S0103-50532004000600011-scl","Characterization of self-assembled thiols monolayers on gold surface by electrochemical impedance spectroscopy","Mendes, Renata K., Freire, Renato S., Fonseca, Carla P., Neves, Silmara, Kubota, Lauro T.","Journal of the Brazilian Chemical Society; 15(6); 849-855","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600011&lang=pt" 
"S0103-50532004000600016-scl","Photoluminescence behavior of the Sm3+ and Tb3+ ions doped into the Gd2(WO4)3 matrix prepared by the Pechini and ceramic methods","Kodaira, Cláudia A., Brito, Hermi F., Teotonio, Ercules E. S., Felinto, Maria Cláudia F. C., Malta, Oscar L., Brito, Giancarlo E. S.","Journal of the Brazilian Chemical Society; 15(6); 890-896","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600016&lang=pt" 
"S0103-50532004000600017-scl","Solution studies of copper(II) complexes as a contribution to the study of the active site of galactose oxidase","Romanowski, Stela Maris de M., Tormena, Francielen, Santos, Viviane A. dos, Hermann, Monique de F., Mangrich, Antonio S.","Journal of the Brazilian Chemical Society; 15(6); 897-903","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600017&lang=pt" 
