"S1516-93322005000300007-scl","Monitoração de propaganda e publicidade de medicamentos: âmbito de São Paulo","Luchessi, André Ducati, Marçal, Bruno Fonseca, Araújo, Geraldo Franca de, Uliana, Lívia Zini, Rocha, Marilia Reis Gonçalves, Pinto, Terezinha de Jesus Andreoli","Revista Brasileira de Ciências Farmacêuticas; 41(3); 345-349","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300007&lang=pt" 
"S1516-93322005000300009-scl","Determinação do 17beta-estradiol nas formas farmacêuticas gel e adesivo transdérmico","Yakabe, Clarice, Honda, Akimi Mori, Magalhães, João Fernandes","Revista Brasileira de Ciências Farmacêuticas; 41(3); 359-364","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300009&lang=pt" 
"S1516-93322005000300011-scl","Formulation and in vitro evaluation of theophylline-Eudragit® sustained-release tablets","Ojoe, Evelyn, Miyauchi, Edna Mitie, Viviani, Tais Cobo, Consiglieri, Vladi Olga","Revista Brasileira de Ciências Farmacêuticas; 41(3); 377-384","Revista Brasileira de Ciências Farmacêuticas","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300011&lang=pt" 
"S1516-93322005000300014-scl","Effect of the essential oil of Achillea millefolium L. in the production of hydrogen peroxide and tumor necrosis factor-alpha in murine macrophages","Lopes, Flávia Cristine Mascia, Benzatti, Fernanda Paulin, Jordão Junior, Cleso Mendonça, Moreira, Raquel Regina Duarte, Carlos, Iracilda Zeppone","Revista Brasileira de Ciências Farmacêuticas; 41(3); 401-405","Revista Brasileira de Ciências Farmacêuticas","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300014&lang=pt" 
"S1516-93322005000300003-scl","Microemulsões e fases líquidas cristalinas como sistemas de liberação de fármacos","Formariz, Thalita Pedroni, Urban, Maria Cristina Cocenza, Silva Júnior, Arnóbio Antônio da, Gremião, Maria Palmira Daflon, Oliveira, Anselmo Gomes de","Revista Brasileira de Ciências Farmacêuticas; 41(3); 301-313","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300003&lang=pt" 
"S1516-93322005000300005-scl","Antimicrobial activity of four different dental gel formulas on cariogenic bacteria evaluated using the linear regression method","Bou-Chacra, Nádia Araci, Gobi, Sandra Sayuri, Ohara, Mitsuko Taba, Pinto, Terezinha de Jesus Andreoli","Revista Brasileira de Ciências Farmacêuticas; 41(3); 323-331","Revista Brasileira de Ciências Farmacêuticas","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300005&lang=pt" 
"S1516-93322005000300008-scl","Determinação de efedrinas em urina por cromatografia em fase gasosa (CG/DNP) para o controle da dopagem no esporte","Garcia, Paula Rodrigues, Yonamine, Mauricio, Moreau, Regina Lúcia de Moraes","Revista Brasileira de Ciências Farmacêuticas; 41(3); 351-358","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300008&lang=pt" 
"S1516-93322005000300010-scl","Estimativa do teor de fenilalanina em sopas desidratadas instantâneas: importância do nitrogênio de origem não-protéica","Guimarães, Claudia Passos, Lanfer-Marquez, Ursula Maria","Revista Brasileira de Ciências Farmacêuticas; 41(3); 365-375","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300010&lang=pt" 
"S1516-93322005000300012-scl","Fos-like immunoreactivity in central nervous system of mice simultaneously exposed to the elevated plus-maze and nociception","Gomes, Karina Santos, Garcia, Cristiane Álvares, Planeta, Cleopatra da Silva, Nunes-de-Souza, Ricardo Luiz","Revista Brasileira de Ciências Farmacêuticas; 41(3); 385-391","Revista Brasileira de Ciências Farmacêuticas","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300012&lang=pt" 
"S1516-93322005000300002-scl","Aspectos biofarmacêuticos da formulação de medicamentos para neonatos: fundamentos da complexação de indometacina com hidroxipropil-beta-ciclodextrina para tratamento oral do fechamento do canal arterial","Rama, Ana Cristina Ribeiro, Veiga, Francisco, Figueiredo, Isabel Vitória, Sousa, Adriano, Caramona, Margarida","Revista Brasileira de Ciências Farmacêuticas; 41(3); 281-299","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300002&lang=pt" 
