"S0074-02762013000801078-scl","A rapid diagnostic test for schistosomiasis mansoni","Mello-Silva, Clelia Christina, Joao, Roberto Carlos, Augusto, Ronaldo de Carvalho, Santos, Claudia Portes","Memórias do Instituto Oswaldo Cruz; 108(8); 1078-1080","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000801078&lang=pt" 
"S1980-65742013000400006-scl","Monitoring muscle damage markers during a four-week downhill walking exercise program","Lima, Leonardo Coelho Rabello de, Oliveira, Thiago Pires de, Oliveira, Felipe Bruno Dias de, Assumpção, Claudio de Oliveira, Greco, Camila Coelho, Denadai, Benedito Sérgio","Motriz: Revista de Educação Física; 19(4); 703-708","Motriz: Revista de Educação Física","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000400006&lang=pt" 
"S1980-65742013000400005-scl","Validity of the RAST for evaluating anaerobic power performance as compared to Wingate test in cycling athletes","Queiroga, Marcos Roberto, Cavazzotto, Timothy Gustavo, Katayama, Keyla Yukari, Portela, Bruno Sérgio, Tartaruga, Marcus Peikriszwili, Ferreira, Sandra Aires","Motriz: Revista de Educação Física; 19(4); 696-702","Motriz: Revista de Educação Física","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000400005&lang=pt" 
"S1980-65742013000400003-scl","Effects of aerobic and resistance exercise intensities on 24-hours blood pressure in normotensive women","Ferreira, Aparecido Pimentel, Campos, Bruno Rafael Martins, Rodrigues Junior, Édis, Puga, Guilherme Morais, Brito, Ciro José","Motriz: Revista de Educação Física; 19(4); 681-687","Motriz: Revista de Educação Física","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000400003&lang=pt" 
"S0074-02762013000801021-scl","Rapid detection of multidrug-resistant Mycobacterium tuberculosis using the malachite green decolourisation assay","Coban, Ahmet Yilmaz, Uzun, Meltem","Memórias do Instituto Oswaldo Cruz; 108(8); 1021-1023","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000801021&lang=pt" 
"S1980-65742013000400001-scl","Reimagining professional competence in physical education","Ennis, Catherine D.","Motriz: Revista de Educação Física; 19(4); 662-672","Motriz: Revista de Educação Física","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000400001&lang=pt" 
"S1980-65742013000400004-scl","Metabolic effects of a caffeinated sports drink consumed during a soccer match","Guttierres, Ana Paula Muniz, Alfenas, Rita de Cássia, Gatti, Karolina, Lima, Jorge Roberto Perrout, Silva, Ângela Antunes, Natali, Antônio José, Marins, João Carlos Bouzas","Motriz: Revista de Educação Física; 19(4); 688-695","Motriz: Revista de Educação Física","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000400004&lang=pt" 
"S1980-65742013000400007-scl","Influence of creatine supplementation on indicators of glucose metabolism in skeletal muscle of exercised rats","Araújo, Michel Barbosa de, Vieira Junior, Roberto Carlos, Moura, Leandro Pereira de, Costa Junior, Marcelo, Dalia, Rodrigo Augusto, Sponton, Amanda Christine da Silva, Ribeiro, Carla, Mello, Maria Alice Rostom de","Motriz: Revista de Educação Física; 19(4); 709-716","Motriz: Revista de Educação Física","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000400007&lang=pt" 
"S2176-66812013000300007-scl","Práticas de leitura no ensino médio: o Pibid de Letras","Neitzel, Adair Aguiar, Pareja, Cleide Jussara Muller, Hochmann, Serenita","Revista Brasileira de Estudos Pedagógicos; 94(238); 770-794","Revista Brasileira de Estudos Pedagógicos","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-66812013000300007&lang=pt" 
"S1809-58442013000200019-scl","Estética da periferia: uma reflexão sobre o contexto político e social","Moreira, Lilian Fontes","Intercom: Revista Brasileira de Ciências da Comunicação; 36(2); 356-358","Intercom: Revista Brasileira de Ciências da Comunicação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-58442013000200019&lang=pt" 
"S1809-58442013000200018-scl","História e cultura brasileira: a consolidação das Histórias em Quadrinhos nos estudos da Comunicação","Pegoraro, Celbi","Intercom: Revista Brasileira de Ciências da Comunicação; 36(2); 353-356","Intercom: Revista Brasileira de Ciências da Comunicação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-58442013000200018&lang=pt" 
"S1809-58442013000200017-scl","Um novo olhar para uma metáfora clássica","Silva, Marcos Paulo da","Intercom: Revista Brasileira de Ciências da Comunicação; 36(2); 349-352","Intercom: Revista Brasileira de Ciências da Comunicação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-58442013000200017&lang=pt" 
"S0101-90742013000200012-scl","Varnhagen no caleidoscópio","França, Jean Marcel Carvalho","História (São Paulo); 32(2); 241-243","História (São Paulo)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742013000200012&lang=pt" 
"S0034-75312013000400001-cub","Resistencia antimicrobiana, una amenaza mundial","González Alemán, Mabel","Revista Cubana de Pediatría; 85(4); 414-417","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400001&lang=pt" 
"S0034-75312013000400002-cub","Hipertensión arterial y obesidad en escolares de cinco a once años de edad","González Sánchez, Raquel, Llapur Milián, René, Díaz Sánchez, María Elena, Moreno López, Vilma, Pavón Hernández, Margarita","Revista Cubana de Pediatría; 85(4); 418-427","Revista Cubana de Pediatría","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75312013000400002&lang=pt" 
