"S0100-879X2016001200605-scl","Propofol inhibits invasion and growth of ovarian cancer cells via regulating miR-9/NF-κB signal","Huang, X., Teng, Y., Yang, H., Ma, J.","Brazilian Journal of Medical and Biological Research; 49(12); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016001200605&lang=pt" 
"S0104-07072016000400320-scl","RELATIONSHIP BETWEEN ELDERLY BODY MASS INDEX AND MOTOR PERFORMANCE IN PEER GROUPS","Oliveira, Thalita Andrade, Duarte, Stenio Fernando Pimentel, Reis, Luciana Araújo do","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400320&lang=pt" 
"S0104-07072016000400314-scl","ATTITUDE TOWARD LEISURE AMONG THE COMMUNITY-DWELLING ELDERLY: AN INTERFACE FOR HEALTH PROMOTION","Ferrari, Roberta Fernanda Rogonni, Baldissera, Vanessa Denardi Antoniassi, Lange, Celmira, Carreira, Lígia, Silva, Eraldo Schunk","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400314&lang=pt" 
"S0104-07072016000400316-scl","THE MEANINGS OF CARING FOR PRE-TERM CHILDREN IN THE VISION OF MALE PARENTS","Soares, Rachel Leite de Souza Ferreira, Christoffel, Marialda Moreira, Rodrigues, Elisa da Conceição, Machado, Maria Estela Diniz, Cunha, Adriana Loureiro da","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400316&lang=pt" 
"S0104-07072016000400319-scl","DAILY CARE OF FAMILIES IN HOSPITAL: WHAT ABOUT PATIENT SAFETY?","Passos, Silvia da Silva Santos, Henckemaier, Luizita, Costa, Juliana Chaves, Pereira, Álvaro, Nitschke, Rosane Gonçalves","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400319&lang=pt" 
"S0104-07072016000400322-scl","FACTORS ASSOCIATED WITH VIOLENCE IN SCHOOLS: EXTENDING KNOWLEDGES AND PRACTICES FOR NURSING","Dalcin, Camila Biazus, Backes, Dirce Stein, Zanatta, Fabricio Batistin, Sousa, Francisca Georgina Macedo de, Siqueira, Hedi Crecencia Heckler de, Oliveira, Adriane Maria Netto de","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400322&lang=pt" 
"S0104-12902016005000001-scl","ERRATA: &quot;El sedentarismo es...&quot;","","Saúde e Sociedade; (ahead); -","Saúde e Sociedade","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-12902016005000001&lang=pt" 
"S0718-686X2016000100002-chl","Composición pigmentar de variantes amarillas y rojas de Ahnfeltia plicata (Ahnfeltiaceae, Rhodophyta) en la Región de Magallanes","Méndez, Fabio, Yokoya, Nair, Marambio, Johanna, Rodriguez, Juan Pablo, Mansilla, Andrés","Anales del Instituto de la Patagonia; 44(1); 15-23","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000100002&lang=pt" 
"S0718-686X2016000200007-chl","Comparación entre el contenido ruminai y fecal en la composición botánica de la dieta de un huemul","Borrelli, Laura, Lema, Leandro, Berardi, Mauricio, Hoermann, Iván, Salinas, Juan, Vila, Alejandro","Anales del Instituto de la Patagonia; 44(2); 73-76","Anales del Instituto de la Patagonia","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000200007&lang=pt" 
"S0718-686X2016000100005-chl","A teratological case in the family Idiostolidae (Hemiptera: Heteroptera: Idiostoloidea)","Carvajal, Mariom A, Faúndez, Eduardo I","Anales del Instituto de la Patagonia; 44(1); 43-46","Anales del Instituto de la Patagonia","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-686X2016000100005&lang=pt" 
