"S0256-01002010000300010-sza","Sense of belonging and social cohesion in a desegregated former House of Delegates school","Tabane, Ramodungoane, Human-Vogel, Salome","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300010&lang=pt" 
"S0101-90742010000100021-scl","Entusiastas da cultura: O universo do livro e suas representações nas cartas do Centro Cultural Euclides da Cunha","Lopes, Itamar Cardozo, Denipoti, Cláudio","História (São Paulo); 29(1); 368-393","História (São Paulo)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742010000100021&lang=pt" 
"S0101-90742010000100027-scl","Elitismo cultural e &quot;democratização da cultura&quot; no Império Romano Tardio","Carrié, Jean-Michel, Gaia, Deivid Valério","História (São Paulo); 29(1); 456-474","História (São Paulo)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742010000100027&lang=pt" 
"S0716-97602010000200001-chl","Plasmid-Encoded Multidrug Resistance: A Case study of Salmonella and Shigella from enteric diarrhea sources among humans","Suh Yah, Clarence","Biological Research; 43(2); 141-148","Biological Research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602010000200001&lang=pt" 
"S0716-97602010000200002-chl","Fixations of the HIV-1 env gene refute neutralism: New evidence for pan-selective evolution","Valenzuela, Carlos Y, Flores, Sergio V, Cisternas, Javier","Biological Research; 43(2); 149-163","Biological Research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602010000200002&lang=pt" 
"S0716-97602010000200003-chl","In vitro antibacterial activity in seed extracts of Manilkara zapota, Anona squamosa, and Tamarindus indica","Kothari, Vijay, Seshadri, Sriram","Biological Research; 43(2); 165-168","Biological Research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602010000200003&lang=pt" 
"S0716-97602010000200004-chl","Phytochemical and antioxidant studies of Laurera benguelensis growing in Thailand","Manojlovic, Nedeljko T, Vasiljevic, Perica J, Gritsanapan, Wandee, Supabphol, Roongtawan, Manojlovic, Ivana","Biological Research; 43(2); 169-176","Biological Research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602010000200004&lang=pt" 
"S0716-97602010000200005-chl","In Vitro Genotoxic Effects of Four Helichrysum Species in Human Lymphocytes Cultures","Erolu, Erhan H, Hamzaolu, Ergin, Aksoy, Ahmet, Budak, Ümit, Özkul, Yusuf","Biological Research; 43(2); 177-182","Biological Research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602010000200005&lang=pt" 
"S0716-97602010000200006-chl","Effects of heat stress on some blood parameters and egg production of Shika Brown layer chickens transported by road","Ajakaiye, Joachim J, Ayo, Joseph O, Ojo, Sunday A","Biological Research; 43(2); 183-189","Biological Research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602010000200006&lang=pt" 
"S0716-97602010000200007-chl","The Role of Tyrosine 207 in the Reaction Catalyzed by Saccharomyces cerevisiae phosphoenolpyruvate carboxykinase","Andrade, Cherie, Sepulveda, Carolina, Cardemil, Emilio, Jabalquinto, Ana M","Biological Research; 43(2); 191-195","Biological Research","Inglês","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602010000200007&lang=pt" 
