"S1852-15682012000100012-arg","Nota del periódico Unidad Sindical sobre el Día internacional de la mujer, Buenos Aires, 8 de marzo de 1955","","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 145-147","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100012&lang=pt" 
"S1852-15682012000100001-arg","Construcciones culturales, género y politicas públicas","Tcach, César","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 09-10","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100001&lang=pt" 
"S1852-15682012000100009-arg","El cuerpo ausente: Representaciones corporales en la frontera de una presencia ausente","Torras Francès, Meri","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 107-118","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100009&lang=pt" 
"S1852-15682012000100008-arg","Acerca del cuerpo como categoría analítica","Boria, Adriana","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 103-105","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100008&lang=pt" 
"S1852-15682012000100013-arg","Fronteras Sexuales: spacio urbano, cuerpos y ciudadanía","Iosa, Tomás","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 145-147","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100013&lang=pt" 
"S1852-15682012000100007-arg","Audacias sutiles: Tres desnudos femeninos (1930-1950) en la obra de Rosa Ferreyra","Di Rienzo, Julia","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 87-99","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100007&lang=pt" 
"S1852-15682012000100011-arg","Cuerpos y deseo en el cine de mujeres","Segarra, Marta","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 133-142","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100011&lang=pt" 
"S1669-68402012000100014-arg","Detección de IgG anti Toxocara canis en perros de la Provincia de Corrientes, Argentina","García, L.D., López, M., Bojanich, M.V., Laffont, H.M., Alonso, J.M.","Revista veterinaria; 23(1); 69-70","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100014&lang=pt" 
"S1669-68402012000100015-arg","Serendipia","Coppo, J.A.","Revista veterinaria; 23(1); 71-76","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100015&lang=pt" 
"S1669-68402012000100010-arg","Utilidad de las respuestas rápidas de estrés para evaluar la evolución del tratamiento en un canino con fobia social","Cainzos, R.P., Koscinczuk, P., Rossner, M.V., Alabarcez, M.N., Maurenzig, N.D.","Revista veterinaria; 23(1); 49-54","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100010&lang=pt" 
"S1669-68402012000100011-arg","Predicción de fenómenos arrítmicos a través de la variabilidad de la frecuencia cardíaca en caninos","Buzzano, O., Mercado, M., Lightowler, C., Pérez Valega, E., Maidana, H.","Revista veterinaria; 23(1); 55-58","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100011&lang=pt" 
"S1669-68402012000100012-arg","Eficacia analgésica de una combinación utilizada en perras sometidas a ovariohisterectomía","López, J.E., Guaimás Moya, L.E., Báez, A.D., Lockett, M.B., Repetto, C.J.","Revista veterinaria; 23(1); 59-63","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100012&lang=pt" 
"S1669-68402012000100013-arg","Efecto de diferentes densidades de cría sobre el crecimiento y la supervivencia de Rhamdia quelen juveniles (Pisces, Siluriformes)","Santinón, J.J., Hernández, D.R., Sánchez, S., Domitrovic, H.A.","Revista veterinaria; 23(1); 64-68","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100013&lang=pt" 
"S1669-68402012000100003-arg","Disminución del desarrollo de cáncer experimental del colon en ratas alimentadas con leche de búfala","Ramírez, G.V., Villordo, G., Montenegro, M.A., Catuogno, M.S., Sánchez Negrette, M","Revista veterinaria; 23(1); 15-19","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100003&lang=pt" 
"S1669-68402012000100002-arg","Susceptibility to peroxidation and fatty acid composition of fresh boar semen obtained from different hog farms","Marmunti, M., Gutiérrez, A.M., Gavazza, M., Williams, S., Palacios, A.","Revista veterinaria; 23(1); 8-14","Revista veterinaria","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100002&lang=pt" 
"S1669-68402012000100001-arg","Desempeño productivo de novillos sobre pasturas templadas con suplementación energética en autoconsumo","Rovira, P.J.","Revista veterinaria; 23(1); 3-7","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100001&lang=pt" 
"S1669-68402012000100007-arg","Eficiencia reproductiva de búfalas multíparas sometidas a implantes de melatonina fuera de la estación reproductiva","Sousa, A.O., Baruselli, P.S., Carvalho, N.A., Konrad, J.L., Crudeli, G.A.","Revista veterinaria; 23(1); 38-42","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100007&lang=pt" 
"S1669-68402012000100006-arg","Listeriosis en bovinos de la Provincia de Buenos Aires, Argentina","Margineda, C.A., Cantón, G., Lischinsky, L., Moreira, A., Campero, C.M.","Revista veterinaria; 23(1); 32-37","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100006&lang=pt" 
"S1669-68402012000100005-arg","Actividades farmacológicas de la fosfolipasa A2 Ba SpII RP4 del veneno de Bothrops alternatus","Garcia Denegri, M.E., Bustillo, S., Romero-Vargas, F., Leiva, L.C., Acosta, O.C.","Revista veterinaria; 23(1); 25-31","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100005&lang=pt" 
"S1669-68402012000100004-arg","Soybean as supplement of growing cattle on tropical pasture. Effects on intake, digestibility and animal performance","Balbuena, O., Rochinotti, D., Kucseva, C.D., Slanac, A.L., Kudo, H.","Revista veterinaria; 23(1); 20-24","Revista veterinaria","Inglês","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100004&lang=pt" 
"S1669-68402012000100009-arg","Efecto de dos dosis de cipionato de estradiol y del rango horario para la IATF sobre la tasa de preñez en vaquillonas*","Madero, S., De Dominicis, O., Cantallops, F., Uslenghi, G., Callejas, S.","Revista veterinaria; 23(1); 46-48","Revista veterinaria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1669-68402012000100009&lang=pt" 
