"S0065-17372015000300014-mex","Primer registro preciso de Trachemys ornata (Gray, 1831) (Testudines: Emydidae) para el estado de Jalisco, México","Casas-Andreu, Gustavo, Cupul-Magaña, Fabio Germán, Chávez-Ávila, Sandra Marlen","Acta zoológica mexicana; 31(3); 477-479","Acta zoológica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372015000300014&lang=pt" 
"S0065-17372015000300020-mex","Ambos sexos de Scyphophorus acupunctatus (Coleoptera: Dryophthoridae) pueden iniciar la colonización de la planta de agave (Asparagaceae)","Figueroa-Castro, Pedro, González-Hernández, Héctor, Carrillo-Sánchez, José Luis, Del Real Laborde, José Ignacio, Solís-Aguilar, Juan Fernando, Rojas, Julio C.","Acta zoológica mexicana; 31(3); 495-497","Acta zoológica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372015000300020&lang=pt" 
"S0065-17372015000300017-mex","Primer registro de la comadreja (Mustela frenata) en el estado de Campeche, México","Contreras-Moreno, Fernando M., de la Cruz, Alejandro Jesús, Juárez-López, Rugieri, Hidalgo-Mihart, Mircea G.","Acta zoológica mexicana; 31(3); 488-490","Acta zoológica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372015000300017&lang=pt" 
"S0065-17372015000300024-mex","Primer registro de Eurystenus foedus Guérin-Méneville, 1830 para la provincia del Macizo de la Sierra Nevada de Santa Marta, Colombia","Lopera-Toro, Alejandro, Martínez-Revelo, Diego Esteban","Acta zoológica mexicana; 31(3); 509-511","Acta zoológica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372015000300024&lang=pt" 
"S0188-77422015000200004-mex","Marcos de duelo en la guerra contra el narcotráfico en México","Olalde Rico, Katia","Política y cultura; (44); 57-77","Política y cultura","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-77422015000200004&lang=pt" 
"S0188-77422015000200005-mex","Recategorización del Parque Nacional Nevado de Toluca","Toscana Aparicio, Alejandra, Granados Ramírez, Rebeca","Política y cultura; (44); 79-105","Política y cultura","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-77422015000200005&lang=pt" 
"S0188-77422015000200006-mex","Organización social y autogestión del agua: Comunidades de la Ciénega de Chapala, Michoacán","Sandoval Moreno, Adriana, Günther, María Griselda","Política y cultura; (44); 107-135","Política y cultura","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-77422015000200006&lang=pt" 
"S0188-77422015000200009-mex","El paramilitarismo en Chiapas: Respuesta del poder contra la sociedad organizada","Galindo de Pablo, Adrián","Política y cultura; (44); 189-213","Política y cultura","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-77422015000200009&lang=pt" 
"S0188-77422015000200013-mex","Las derechas en Argentina y Brasil","Meireles, Monika","Política y cultura; (44); 257-261","Política y cultura","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-77422015000200013&lang=pt" 
"S0188-77422015000200008-mex","Análisis de la política de seguridad en México 2006-2012","Hernández Hernández, Gerardo","Política y cultura; (44); 159-187","Política y cultura","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-77422015000200008&lang=pt" 
"S0188-77422015000200002-mex","Las autodefensas de Michoacán: Movimiento social, paramilitarismo y neocaciquismo","Guerra Manzo, Enrique","Política y cultura; (44); 7-31","Política y cultura","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-77422015000200002&lang=pt" 
"S0187-31802015000200003-mex","Producción de enzimas hidrolíticas y actividad antagónica de Trichoderma asperellum sobre dos cepas de Fusarium aisladas de cultivos de tomate (Solanum lycopersicum)","Vargas-Hoyos, Harold Alexander, Gilchrist-Ramelli, Elizabeth","Revista mexicana de micología; 42(); 9-16","Revista mexicana de micología","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-31802015000200003&lang=pt" 
"S1665-19952015000100029-mex","Problema bioquímico","Romero García, Tatiana, Rueda, Angélica","REB. Revista de educación bioquímica; 34(1); 29-30","REB. Revista de educación bioquímica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-19952015000100029&lang=pt" 
"S1665-19952015000100004-mex","Resistencia Bacteriana a Quinolonas: Determinantes Codificados en Plásmidos","Chávez-Jacobo, Víctor M., Ramírez-Díaz, Martha I., Silva-Sánchez, Jesús, Cervantes, Carlos","REB. Revista de educación bioquímica; 34(1); 4-9","REB. Revista de educación bioquímica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-19952015000100004&lang=pt" 
"S1665-19952015000100010-mex","Plata Coloidal: Xenobiótico, Antígeno y Disruptor Hormonal","Coutiño Rodríguez, Elda María del Rocío","REB. Revista de educación bioquímica; 34(1); 10-25","REB. Revista de educación bioquímica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-19952015000100010&lang=pt" 
"S1665-19952015000100032-mex","Respuestas al problema bioquímico","Romero García, Tatiana, Rueda, Angélica","REB. Revista de educación bioquímica; 34(1); 32-33","REB. Revista de educación bioquímica","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-19952015000100032&lang=pt" 
"S1983-14472015000500267-scl","Refletindo sobre as contribuições da enfermagem para a saúde global","Preto, Vivian Aline, Batista, Jéssica Magalhães Felipe, Ventura, Carla Aparecida Arena, Mendes, Isabel Amélia Costa","Revista Gaúcha de Enfermagem; 36(spe); 267-270","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500267&lang=pt" 
"S1983-14472015000500127-scl","Fatores que influenciam na interrupção do aleitamento materno exclusivo em nutrizes","Amaral, Luna Jamile Xavier, Sales, Sandra dos Santos, Carvalho, Diana Paula de Souza Rego Pinto, Cruz, Giovanna Karinny Pereira, Azevedo, Isabelle Campos de, Ferreira Júnior, Marcos Antonio","Revista Gaúcha de Enfermagem; 36(spe); 127-134","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500127&lang=pt" 
"S1983-14472015000500070-scl","Compreensão do vivido do ser-casal diante da profilaxia da transmissão vertical do HIV","Langendorf, Tassiane Ferreira, Padoin, Stela Maris de Mello, Paula, Cristiane Cardoso de, Souza, Ivis Emília de Oliveira","Revista Gaúcha de Enfermagem; 36(spe); 70-76","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500070&lang=pt" 
"S1983-14472015000500262-scl","Contribuições de programas e políticas públicas para a melhora da saúde materna","Mamede, Fabiana Villela, Prudêncio, Patrícia Santos","Revista Gaúcha de Enfermagem; 36(spe); 262-266","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500262&lang=pt" 
"S1983-14472015000500185-scl","Perfil clínico e epidemiológico de pacientes em reação hansênica","Queiroz, Tatiane Aparecida, Carvalho, Francisca Patrícia Barreto de, Simpson, Clélia Albino, Fernandes, Amélia Carolina Lopes, Figueirêdo, Débora Lúcia de Araújo, Knackfuss, Maria Irany","Revista Gaúcha de Enfermagem; 36(spe); 185-191","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500185&lang=pt" 
"S1983-14472015000500159-scl","O acompanhante no centro obstétrico de um hospital universitário do sul do Brasil","Gonçalves, Annelise de Carvalho, Rocha, Camila Martinez da, Gouveia, Helga Geremias, Armellini, Cláudia Junqueira, Moretto, Virginia Leismann, Moraes, Bruna Alibio","Revista Gaúcha de Enfermagem; 36(spe); 159-167","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500159&lang=pt" 
"S1983-14472015000500102-scl","Desempenho dos serviços de controle da tuberculose em municípios do Paraná: enfoque na família","Furlan, Mara Cristina Ribeiro, Gonzales, Roxana Isabel Cardozo, Marcon, Sonia Silva","Revista Gaúcha de Enfermagem; 36(spe); 102-110","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500102&lang=pt" 
"S1983-14472015000500016-scl","Amamentação e as intercorrências que contribuem para o desmame precoce","Oliveira, Carolina Sampaio de, Iocca, Fátima Aparecida, Carrijo, Mona Lisa Rezende, Garcia, Rodrine de Almeida Teixeira Mattos","Revista Gaúcha de Enfermagem; 36(spe); 16-23","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500016&lang=pt" 
"S1983-14472015000500094-scl","Enfermagem obstétrica: contribuições às metas dos Objetivos de Desenvolvimento do Milênio","Reis, Thamiza da Rosa dos, Zamberlan, Cláudia, Quadros, Jacqueline Silveira de, Grasel, Jessica Torres, Moro, Adriana Subeldia dos Santos","Revista Gaúcha de Enfermagem; 36(spe); 94-101","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500094&lang=pt" 
"S1983-14472015000500085-scl","Educação ambiental para docentes enfermeiros: percepção e relação com a formação do enfermeiro","Peres, Roger Rodrigues, Camponogara, Silviamar, Costa, Valdecir Zavarese da, Terra, Marlene Gomes, Nietsche, Elisabeta Albertina","Revista Gaúcha de Enfermagem; 36(spe); 85-93","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500085&lang=pt" 
"S1983-14472015000500200-scl","Promovendo saúde em comunidades vulneráveis: tecnologias sociais na redução da pobreza e desenvolvimento sustentável","Oliveira, Elenilda Farias de, Jesus, Viviane Silva de, Siqueira, Samylla Maira Costa, Alves, Thais de Andrade, Santos, Ivana Mota dos, Camargo, Climene Laura de","Revista Gaúcha de Enfermagem; 36(spe); 200-206","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500200&lang=pt" 
"S1983-14472015000500077-scl","Cuidar mulheres em situação de violência: empoderamento da enfermagem em busca de equidade de gênero","Cortes, Laura Ferreira, Padoin, Stela Maris de Mello, Vieira, Letícia Becker, Landerdahl, Maria Celeste, Arboit, Jaqueline","Revista Gaúcha de Enfermagem; 36(spe); 77-84","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500077&lang=pt" 
"S1983-14472015000500024-scl","Análise epidemiológica da hanseníase em um estado endêmico do nordeste brasileiro","Brito, Karen Krystine Gonçalves de, Andrade, Smalyanna Sgren da Costa, Santana, Emanuele Malzac Freire de, Peixoto, Valéria Bezerra, Nogueira, Jordana de Almeida, Soares, Maria Júlia Guimarães Oliveira","Revista Gaúcha de Enfermagem; 36(spe); 24-30","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500024&lang=pt" 
"S1983-14472015000500062-scl","Atuação da enfermagem na atenção a uma condição crônica (tuberculose): análise de fontes secundárias","Brunello, Maria Eugenia Firmino, Simiele-Beck, Maria Fernanda, Orfão, Nathalia Halax, Wysocki, Anneliese Domingues, Magnabosco, Gabriela Tavares, Andrade, Rubia Laine de Paula, Monroe, Aline Aparecida, Beraldo, Aline Ale, Villa, Tereza Cristina Scatena","Revista Gaúcha de Enfermagem; 36(spe); 62-69","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500062&lang=pt" 
"S1983-14472015000500119-scl","Escolha do tipo de parto: fatores relatados por puérperas","Nascimento, Raquel Ramos Pinto do, Arantes, Sandra Lucia, Souza, Eunice Delgado Cameron de, Contrera, Luciana, Sales, Ana Paula Assis","Revista Gaúcha de Enfermagem; 36(spe); 119-126","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500119&lang=pt" 
"S1983-14472015000500224-scl","Seguimento do bebê na atenção básica: interface com a terceira etapa do método canguru","Aires, Luana Cláudia dos Passos, Santos, Evanguelia Kotzias Atherino dos, Costa, Roberta, Borck, Márcia, Custódio, Zaira Aparecida de Oliveira","Revista Gaúcha de Enfermagem; 36(spe); 224-232","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500224&lang=pt" 
"S1983-14472015000500239-scl","Violência sexual contra adolescentes em Campo Grande, Mato Grosso do Sul","Justino, Lucyana Conceição Lemes, Nunes, Cristina Brandt, Gerk, Maria Auxiliadora de Souza, Fonseca, Simone Sousa Oliveira, Ribeiro, Alisson André, Paranhos Filho, Antonio Conceição","Revista Gaúcha de Enfermagem; 36(spe); 239-246","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500239&lang=pt" 
"S1983-14472015000500111-scl","Enfrentando uma experiência difícil mesmo com apoio: a adolescente menor vivenciando a maternagem","Andrade, Paula Rosenberg de, Ohara, Conceição Vieira da Silva, Borba, Regina Issuzu Hirooka de, Ribeiro, Circéa Amalia","Revista Gaúcha de Enfermagem; 36(spe); 111-118","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500111&lang=pt" 
"S1983-14472015000500168-scl","“O Sistema Único de Saúde que dá certo”: ações de humanização no pré-natal","Barreto, Camila Nunes, Wilhelm, Laís Antunes, Silva, Silvana Cruz da, Alves, Camila Neumaier, Cremonese, Luiza, Ressel, Lúcia Beatriz","Revista Gaúcha de Enfermagem; 36(spe); 168-176","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500168&lang=pt" 
"S1983-14472015000500254-scl","Impacto de la mutilación genital femenina en los objetivos del milenio","Ruiz, Ismael Jiménez, Martínez, María Pilar Almansa, Bravo, María Del Mar Pastor","Revista Gaúcha de Enfermagem; 36(spe); 254-261","Revista Gaúcha de Enfermagem","Inglês, Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500254&lang=pt" 
"S1983-14472015000500135-scl","Mulheres em situação de violência pelo parceiro íntimo: tomada de decisão por apoio institucional especializado","Albuquerque Netto, Leônidas de, Moura, Maria Aparecida Vasconcelos, Fernandes e Silva, Giuliana, Penna, Lucia Helena Garcia, Pereira, Adriana Lenho de Figueiredo","Revista Gaúcha de Enfermagem; 36(spe); 135-142","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500135&lang=pt" 
"S1983-14472015000500177-scl","O uso do Escore de Bologna na avaliação da assistência a partos normais em maternidades","Oliveira, Fabio André Miranda de, Leal, Giseli Campos Gaioski, Wolff, Lillian Daisy Gonçalves, Gonçalves, Luciana Schleder","Revista Gaúcha de Enfermagem; 36(spe); 177-184","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500177&lang=pt" 
"S1983-14472015000500152-scl","No parto vaginal e na cesariana acompanhante não entra: discursos de enfermeiras e diretores técnicos","Brüggemann, Odaléa Maria, Ebele, Romana Raquel, Ebsen, Erika Simas, Batista, Bruna Daniela","Revista Gaúcha de Enfermagem; 36(spe); 152-158","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500152&lang=pt" 
"S1983-14472015000500233-scl","Violência por parceiro íntimo na gestação: identificação de mulheres vítimas de seus parceiros","Oliveira, Lisiane Camargo Quialheiro de, Fonseca-Machado, Mariana de Oliveira, Stefanello, Juliana, Gomes-Sponholz, Flávia Azevedo","Revista Gaúcha de Enfermagem; 36(spe); 233-238","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500233&lang=pt" 
"S1983-14472015000500192-scl","Pesquisa epidemiológica dos óbitos maternos e o cumprimento do quinto objetivo de desenvolvimento do milênio","Fernandes, Beatriz Boleta, Nunes, Flávia Baluz Bezerra de Farias, Prudêncio, Patrícia Santos, Mamede, Fabiana Villela","Revista Gaúcha de Enfermagem; 36(spe); 192-199","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500192&lang=pt" 
"S1983-14472015000500143-scl","“No final compensa ver o rostinho dele”: vivências de mulheres-primíparas no parto normal","Scarton, Juliane, Prates, Lisie Alende, Wilhelm, Laís Antunes, Silva, Silvana Cruz da, Possati, Andressa Batista, Ilha, Caroline Bolzan, Ressel, Lúcia Beatriz","Revista Gaúcha de Enfermagem; 36(spe); 143-151","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500143&lang=pt" 
"S1983-14472015000500207-scl","Representações sociais das pessoas com tuberculose sobre o abandono do tratamento","Chirinos, Narda Estela Calsin, Meirelles, Betina Hörner Schlindwein, Bousfield, Andréa Barbará Silva","Revista Gaúcha de Enfermagem; 36(spe); 207-214","Revista Gaúcha de Enfermagem","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472015000500207&lang=pt" 
