"S1991-38772016000400005-sza","Luke Sinwell with Siphiwe Mbatha, The spirit of Marikana: the rise of insurgent trade unionism in South Africa","Broster, Philip","SA Crime Quarterly; (58); 45-48","SA Crime Quarterly","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1991-38772016000400005&lang=pt" 
"S1991-38772016000400003-sza","Public order transparency: Using freedom of information laws to analyse the policing of protest","Bruce, David","SA Crime Quarterly; (58); 23-33","SA Crime Quarterly","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1991-38772016000400003&lang=pt" 
"S0100-15742016000401258-scl","A representação: noção transversal, ferramenta da transdisciplinaridade","Jodelet, Denise","Cadernos de Pesquisa; 46(162); 1258-1271","Cadernos de Pesquisa","Francês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000401258&lang=pt" 
"S1991-38772016000400004-sza","Ten years after the Jali Commission: Assessing the state of South Africa&#039;s prisons","Muntingh, Lukas","SA Crime Quarterly; (58); 35-44","SA Crime Quarterly","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1991-38772016000400004&lang=pt" 
"S0100-15742016000401148-scl","Formação por competência: discutindo a formação de pilotos no Brasil","Fontes, Rejane de Souza, Fay, Claudia Musa","Cadernos de Pesquisa; 46(162); 1148-1170","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000401148&lang=pt" 
"S1982-45132016000300397-scl","PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR: TRAJETÓRIAS E DESAFIOS NO VALE DO RIBEIRA, BRASIL","Miranda, Dayana Lilian Rosa, Gomes, Bruno Martins Augusto","Sociedade &amp; Natureza; 28(3); 397-408","Sociedade &amp; Natureza","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-45132016000300397&lang=pt" 
"S2238-38752016000300699-scl","COMO ESTUDAR A EMOÇÃO MUSICAL? PROPOSTAS METODOLÓGICAS A PARTIR DE PESQUISA JUNTO AOS CIGANOS DA TRANSILVÂNIA (ROMÊNIA)","Baraldi, Filippo Bonini","Sociologia &amp; Antropologia; 6(3); 699-734","Sociologia &amp; Antropologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-38752016000300699&lang=pt" 
"S2238-38752016000300559-scl","CINEMAS E MÍDIAS INDÍGENAS: CONSTRUIR PONTES, RECUSÁ-LAS. ENTREVISTA COM FAYE GINSBURG","Brasil, André, Gonçalves, Marco Antonio","Sociologia &amp; Antropologia; 6(3); 559-579","Sociologia &amp; Antropologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-38752016000300559&lang=pt" 
"S1982-45132016000300457-scl","A COEXISTÊNCIA DO PENSAMENTO CARTESIANO E SISTÊMICO: AS LIMITAÇÕES TERRITORIAIS ENFRENTADAS PELO PAA E PNAE EM PELOTAS/RS","Sodré, Maiara Tavares, Salamoni, Giancarla","Sociedade &amp; Natureza; 28(3); 457-471","Sociedade &amp; Natureza","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-45132016000300457&lang=pt" 
"S0100-15742016000401100-scl","Consultoria colaborativa a distância em tecnologia assistiva para professores","Calheiros, David dos Santos, Mendes, Enicéia Gonçalves","Cadernos de Pesquisa; 46(162); 1100-1123","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000401100&lang=pt" 
"S2238-38752016000300735-scl","GILBERTO FREYRE ENTRE O FREVO E O SAMBA NO CARNAVAL DO RECIFE","Menezes Neto, Hugo","Sociologia &amp; Antropologia; 6(3); 735-754","Sociologia &amp; Antropologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-38752016000300735&lang=pt" 
"S0041-47512016000600006-sza","&quot;&#039;n Droewige laslap op die voos kombers van onreg&quot;: &#039;n Statistiese analise van konsentrasie-kampbewoners","du Plessis, Sophia, Fourie, Johan","Tydskrif vir Geesteswetenskappe; 56(4-2); 1178-1199","Tydskrif vir Geesteswetenskappe","Africaner","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0041-47512016000600006&lang=pt" 
"S0103-11042016000400206-scl","As condições de trabalho e o adoecimento de professores na agenda de uma entidade sindical","Gouvêa, Leda Aparecida Vanelli Nabuco de","Saúde em Debate; 40(111); 206-219","Saúde em Debate","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-11042016000400206&lang=pt" 
"S1415-790X2016000400791-spa","Prevalência de câncer colorretal associado ao papilomavírus humano: uma revisão sistemática com metanálise","Pelizzer, Thaisa, Dias, Caroline Pieta, Poeta, Julia, Torriani, Tânia, Roncada, Cristian","Revista Brasileira de Epidemiologia; 19(4); 791-802","Revista Brasileira de Epidemiologia","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1415-790X2016000400791&lang=pt" 
