"S2225-62532012000100014-sza","Alternative dissolution of zircon samples and simultaneous analysis of major and trace components","Lötter, S.J., Purcelll, W., Nel, J.T., Snyders, E.","Journal of the Southern African Institute of Mining and Metallurgy; 112(1); 69-76","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000100014&lang=pt" 
"S2225-62532012001200003-sza","","Smith, G.L.","Journal of the Southern African Institute of Mining and Metallurgy; 112(12); vi-vi","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012001200003&lang=pt" 
"S2225-62532012000800003-sza","Spotlight: Southern Hemisphere International Rock Mechanics Symposium (SHIRMS 2012)","Joughin, W.","Journal of the Southern African Institute of Mining and Metallurgy; 112(8); vi-vii","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000800003&lang=pt" 
"S0259-01902012000100004-sza","Visualizing The Realm of a Rain-Queen: The production and circulation of Eileen and Jack Krige&#039;s Lobedu fieldwork photographs from the 1930s","Davison, Patricia, Mahashe, George","Kronos; 38(1); 47-81","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100004&lang=pt" 
"S0259-01902012000100009-sza","Portraits, publics and politics: Gisele Wulfsohn&#039;s photographs of HIV/AIDS, 1987-2007","Wienand, Annabelle","Kronos; 38(1); 177-203","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100009&lang=pt" 
"S0259-01902012000100013-sza","","","Kronos; 38(1); 262-288","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100013&lang=pt" 
"S0259-01902012000100001-sza","Contributors","","Kronos; 38(1); 06-07","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100001&lang=pt" 
"S0259-01902012000100002-sza","Introduction to special issue: Documentary photography in South Africa","Wylie, Diana","Kronos; 38(1); 09-21","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100002&lang=pt" 
"S0259-01902012000100003-sza","Arteries of empire: on the geographical imagination of South Africa&#039;s railway war, 1914/1915","Miescher, Giorgio","Kronos; 38(1); 22-46","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100003&lang=pt" 
"S0259-01902012000100005-sza","Reflections on the making of the AmaBandla Ama-Afrika Exhibition (2011-2012): Martin West&#039;s Soweto photographs","Weinberg, Paul","Kronos; 38(1); 82-105","Kronos","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0259-01902012000100005&lang=pt" 
