"S0187-893X2012000400008-mex","Una revisión bibliográfica sobre el papel de los juegos didácticos en el estudio de los elementos químicos: Segunda parte: los juegos al servicio de la comprensión y uso de la tabla periódica","Franco-Mariscal, Antonio Joaquín, Oliva-Martínez, José María, Bernal-Márquez, Serafín","Educación química; 23(4); 474-481","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000400008&lang=pt" 
"S0187-893X2012000500008-mex","Student Outcomes from Innovations in Undergraduate Chemistry Laboratory Learning: A Review of Projects Funded by the U.S. National Science Foundation between 2000-2008","Sevian, Hannah, Fulmer, Gavin W.","Educación química; 23(); 149-161","Educación química","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000500008&lang=pt" 
"S0187-893X2012000600009-mex","Química: ¿Por qué la disciplina es difícil?","Cardellini, L.","Educación química; 23(); 305-310","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000600009&lang=pt" 
"S0187-893X2012000600003-mex","Presentation of Origin of the Covalent Bond in Turkish General Chemistry Textbooks: A History and Philosophy of Science Perspective","Coştu, Bayram, Niaz, Mansoor","Educación química; 23(); 257-264","Educación química","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000600003&lang=pt" 
"S0187-893X2012000300003-mex","Una revisión bibliográfica sobre el papel de los juegos didácticos en el estudio de los elementos químicos.: Primera parte: los juegos al servicio del conocimiento de la Tabla Periódica","Franco-Mariscal, Antonio Joaquín, Oliva-Martínez, José María, Bernal-Márquez, Serafín","Educación química; 23(3); 338-345","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000300003&lang=pt" 
"S0187-893X2012000300005-mex","Diseño de hojas de cálculo como herramientas para el aprendizaje del equilibrio ácido-base: uso de la barra de desplazamiento","Raviolo, Andrés","Educación química; 23(3); 355-360","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000300005&lang=pt" 
"S0187-893X2012000100001-mex","Cuasicristales y arte islámico","Garritz, Andoni","Educación química; 23(1); 2-5","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100001&lang=pt" 
"S0187-893X2012000100011-mex","El origen de los elementos y los diversos mecanismos de nucleosíntesis","Escalante, Sigfrido, Gasque, Laura","Educación química; 23(1); 62-68","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000100011&lang=pt" 
"S0187-893X2012000300002-mex","Flevorio, Fl, y Livermorio, Lv, dos nuevos elementos aprobados por la IUPAC","Aguilar-Garduño, Rosa María, González-Vergara, Enrique, Pérez-Benítez, Aarón","Educación química; 23(3); 331-337","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000300002&lang=pt" 
"S0187-893X2012000400006-mex","Proyectos educativos recientes basados en la indagación de la química","Garritz, Andoni","Educación química; 23(4); 458-464","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000400006&lang=pt" 
