"S0101-28002010000300010-scl","Punção da fístula arteriovenosa com a técnica em casa de botão com agulha romba","Castro, Manuel Carlos Martins de, Silva, Celina de Fátima e, Souza, João Marcos Rodrigues de, Assis, Maria Cristina Silva Brotero de, Aoki, Maria Valéria da Silva, Xagoraris, Magdaleni, Centeno, Jerônimo Ruiz, Souza, José Adilson Camargo de","Jornal Brasileiro de Nefrologia; 32(3); 281-285","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300010&lang=pt" 
"S0101-28002010000300011-scl","Achados histopatológicos renais em idosos","Carmo, Priscylla Aparecida Vieira do, Kirsztajn, Gianna Mastroianni, Carmo, Wander Barros do, Franco, Marcello Fabiano, Bastos, Marcus Gomes","Jornal Brasileiro de Nefrologia; 32(3); 286-291","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300011&lang=pt" 
"S0101-28002010000300012-scl","Prevenção de nefrotoxicidade por contraste com solução de bicarbonato: resultados preliminares e revisão da literatura","Silva, Ricardo Gonçalves da, Silva, Nelson Gonçalves da, Lucchesi, Fabiano, Burdmann, Emmanuel A","Jornal Brasileiro de Nefrologia; 32(3); 292-302","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300012&lang=pt" 
"S0101-28002010000300013-scl","Microangiopatias trombóticas: púrpura trombocitopênica trombótica e síndrome hemolítico-urêmica","Polito, Maria Goretti, Kirsztajn, Gianna Mastroianni","Jornal Brasileiro de Nefrologia; 32(3); 303-315","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300013&lang=pt" 
"S0100-736X2010000900001-scl","Alterações histológicas em fígados e linfonodos de búfalos (Bubalus bubalis) mantidos em pastagens de Brachiaria spp.","Riet-Correa, Beatriz, Riet-Correa, Franklin, Oliveira Junior, Carlos Alberto de, Duarte, Valíria C., Riet-Correa, Gabriela","Pesquisa Veterinária Brasileira; 30(9); 705-711","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000900001&lang=pt" 
"S0100-736X2010000900003-scl","Envenenamento experimental por Bothropoides jararaca e Bothrops jararacussu em ovinos: aspectos clínico-patológicos e laboratoriais","Aragão, Ana Paula, Tokarnia, Carlos H., Graça, Flávio A.S., França, Ticiana N., Coelho, Cleide D., Caldas, Saulo A., Peixoto, Paulo V.","Pesquisa Veterinária Brasileira; 30(9); 717-728","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000900003&lang=pt" 
"S0100-736X2010000900007-scl","Ureia como marcador de diluição em amostras de lavado traqueobrônquico de potros com rodococose","Porto, Ana Carolina R.C., Mirandola, Regina M.S., Mori, Clara S., Fernandes, Wilson R.","Pesquisa Veterinária Brasileira; 30(9); 749-753","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000900007&lang=pt" 
"S0100-736X2010000900008-scl","Mastite em pequenos ruminantes no Brasil","Peixoto, Rodolfo de M., Mota, Rinaldo Aparecido, Costa, Mateus M. da","Pesquisa Veterinária Brasileira; 30(9); 754-762","Pesquisa Veterinária Brasileira","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000900008&lang=pt" 
"S0100-736X2010000900011-scl","Interference of age and repetition of the same noxious stimulus on hyperalgesia","Ibañez, Jose F., Posso, Irimar P., Wallace, Verena","Pesquisa Veterinária Brasileira; 30(9); 777-782","Pesquisa Veterinária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000900011&lang=pt" 
"S0100-736X2010000900013-scl","Effects of infection with Toxoplasma gondii oocysts on the intestinal wall and the myenteric plexus of chicken (Gallus gallus)","Bonapaz, Rubia dos Santos, Hermes-Uliana, Catchia, Santos, Franciele do Nascimento, Silva, Aristeu Vieira da, Araújo, Eduardo José de Almeida, Sant&#039;Ana, Débora de Mello Gonçales","Pesquisa Veterinária Brasileira; 30(9); 787-792","Pesquisa Veterinária Brasileira","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2010000900013&lang=pt" 
