"S1414-753X2013000300009-scl","Sistema internacional de hegemonia conservadora e a paralisia da governança climática global","Amaral, Manuela Kirschner do","Ambiente &amp; Sociedade; 16(3); 139-144","Ambiente &amp; Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2013000300009&lang=pt" 
"S1982-21702013000300004-scl","Evaluation of terrain corrections through FFT and classical integration in two selected areas of the Andes and their impact on geoidal heights","Gomez, Maria Eugenia, Bagu, Diego Ruben, Del Cogliano, Daniel, Perdomo, Raul A.","Boletim de Ciências Geodésicas; 19(3); 407-419","Boletim de Ciências Geodésicas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702013000300004&lang=pt" 
"S1809-48642013000300004-scl","Velopharyngeal dysfunction: a systematic review of major instrumental and auditory-perceptual assessments","Paniagua, Lauren Medeiros, Signorini, Alana Verza, Costa, Sady Selaimen da, Collares, Marcus Vinicius Martins, Dornelles, Sílvia","International Archives of Otorhinolaryngology; 17(3); 251-256","International Archives of Otorhinolaryngology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642013000300004&lang=pt" 
"S1809-48642013000300005-scl","Results obtained with a low cost software-based audiometer for hearing screening","Ferrari, Deborah Viviane, Lopez, Esteban Alejandro, Lopes, Andrea Cintra, Aiello, Camila Piccini, Jokura, Pricila Reis","International Archives of Otorhinolaryngology; 17(3); 257-264","International Archives of Otorhinolaryngology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642013000300005&lang=pt" 
"S1809-48642013000300007-scl","Clinical and fiberoptic endoscopic assessment of swallowing in patients with chronic obstructive pulmonary disease","Macri, Marina Rodrigues Bueno, Marques, Jair Mendes, Santos, Rosane Sampaio, Furkim, Ana Maria, Melek, Irinei, Rispoli, Daniel, Nunes, Maria Cristina de Alencar","International Archives of Otorhinolaryngology; 17(3); 274-278","International Archives of Otorhinolaryngology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642013000300007&lang=pt" 
"S1809-48642013000300009-scl","Audiological outcomes of cochlear implantation in Waardenburg Syndrome","Magalhães, Ana Tereza de Matos, Samuel, Paola Angélica, Goffi-Gomez, Maria Valeria Schimdt, Tsuji, Robinson Koji, Brito, Rubens, Bento, Ricardo Ferreira","International Archives of Otorhinolaryngology; 17(3); 285-290","International Archives of Otorhinolaryngology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642013000300009&lang=pt" 
"S1809-48642013000300010-scl","Performance analysis of ten brands of batteries for hearing aids","Penteado, Silvio Pires, Bento, Ricardo Ferreira","International Archives of Otorhinolaryngology; 17(3); 291-304","International Archives of Otorhinolaryngology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642013000300010&lang=pt" 
"S1809-48642013000300011-scl","Contribution of audiovestibular tests to the topographic diagnosis of sudden deafness","Oiticica, Jeanne, Bittar, Roseli Saraiva Moreira, Castro, Claudio Campi de, Grasel, Signe, Pereira, Larissa Vilela, Bastos, Sandra Lira, Ramos, Alice Carolina Mataruco, Beck, Roberto","International Archives of Otorhinolaryngology; 17(3); 305-314","International Archives of Otorhinolaryngology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642013000300011&lang=pt" 
"S1809-48642013000300014-scl","Use of surface electromyography in phonation studies: an integrative review","Balata, Patricia Maria Mendes, Silva, Hilton Justino da, Moraes, Kyvia Juliana Rocha de, Pernambuco, Leandro de Araújo, Moraes, Sílvia Regina Arruda de","International Archives of Otorhinolaryngology; 17(3); 329-339","International Archives of Otorhinolaryngology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48642013000300014&lang=pt" 
"S1413-81232013000900002-scl","O luto antecipado diante da consciência da finitude: a vida entre os medos de não dar conta, de dar trabalho e de morrer","Giacomin, Karla Cristina, Santos, Wagner Jorge dos, Firmo, Josélia Oliveira Araújo","Ciência &amp; Saúde Coletiva; 18(9); 2487-2496","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900002&lang=pt" 
"S1413-81232013000900003-scl","Influência da idade na percepção de finitude e qualidade de vida","Araujo, Camila da Cruz Ramos de, Guimarães, Adriana Coutinho do Azevedo, Meyer, Carolina, Boing, Leonessa, Ramos, Manoella de Oliveira, Souza, Melissa de Carvalho, Parcias, Silvia Rosane","Ciência &amp; Saúde Coletiva; 18(9); 2497-2505","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900003&lang=pt" 
"S1413-81232013000900005-scl","Corpo e finitude: a escuta do sofrimento como instrumento de trabalho em instituição oncológica","Castro-Arantes, Juliana de Miranda e, Lo Bianco, Anna Carolina","Ciência &amp; Saúde Coletiva; 18(9); 2515-2522","Ciência &amp; Saúde Coletiva","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232013000900005&lang=pt" 
