"S0034-72802011000400001-scl","A revolução dos lasers de femtossegundo na oftalmologia","Ambrósio Júnior, Renato","Revista Brasileira de Oftalmologia; 70(4); 207-210","Revista Brasileira de Oftalmologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802011000400001&lang=pt" 
"S0034-72802011000400007-scl","Perfil da demanda e morbidade dos pacientes atendidos em centro de urgências oftalmológicas de um hospital universitário","Pereira, Frederico Braga, Frasson, Maria, D&#039;Almeida, Ana Gabriela Zum Bach, de Almeida, Aline, Faria, Daniela, Francis, Júlia, de Medeiros, João Neves","Revista Brasileira de Oftalmologia; 70(4); 238-242","Revista Brasileira de Oftalmologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802011000400007&lang=pt" 
"S0034-72802011000400004-scl","Percepção da administração tópica ocular de drogas: aplicador facial x gotas","Portes, Arlindo José Freire, Silva, Marina Gabriela de Oliveira e, Viana, Marcella, Paredes, Angela Flores, Rocha, Julia","Revista Brasileira de Oftalmologia; 70(4); 224-229","Revista Brasileira de Oftalmologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802011000400004&lang=pt" 
"S0034-72802011000400006-scl","New technique to demonstrate corneal magnification using trypan blue in cataract surgery","Marques, Frederico F., Marques, Daniela M.V., Osher, Robert H.","Revista Brasileira de Oftalmologia; 70(4); 235-237","Revista Brasileira de Oftalmologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802011000400006&lang=pt" 
"S0034-72802011000400011-scl","Diagnóstico e tratamento do lenticone anterior","Biancardi, Ana Luiza, Ambrosio Júnior, Renato, Walsh, Aileen, Crema, Armando Stefano","Revista Brasileira de Oftalmologia; 70(4); 257-260","Revista Brasileira de Oftalmologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802011000400011&lang=pt" 
"S0104-026X2011000200028-scl","Pessoas (transexuais): dimensões sociais de vidas (in)determinadas pela ciência","Franco, Neil","Revista Estudos Feministas; 19(2); 631-633","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200028&lang=pt" 
"S0104-026X2011000200027-scl","O informal mas efetivo &quot;racismo brasileiro&quot;: aparência, raça e classe na São Paulo da década de 1940","Mizrahi, Mylene","Revista Estudos Feministas; 19(2); 628-630","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200027&lang=pt" 
"S0104-026X2011000200001-scl","","Lago, Mara Coelho de Souza, Funck, Susana Bornéo","Revista Estudos Feministas; 19(2); 323-327","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200001&lang=pt" 
"S0104-026X2011000200029-scl","Maria Lúcia de Barros Mott: pesquisadora militante","","Revista Estudos Feministas; 19(2); 634-636","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200029&lang=pt" 
"S0104-026X2011000200003-scl","Que se enteren: cuerpo y sexualidad en el zoom social. Sobre XXY","Viera Cherro, Mariana","Revista Estudos Feministas; 19(2); 351-369","Revista Estudos Feministas","Espanhol","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200003&lang=pt" 
"S0104-026X2011000200009-scl","Apresentação","Silva, Cristiani Bereta da, Ribeiro, Paula Regina Costa","Revista Estudos Feministas; 19(2); 463-465","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200009&lang=pt" 
"S0104-026X2011000200008-scl","Estereótipos de gênero nas cortes internacionais - um desafio à igualdade: entrevista com Rebecca Cook","Diniz, Debora","Revista Estudos Feministas; 19(2); 451-462","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200008&lang=pt" 
"S0104-026X2011000200024-scl","A favor da insubordinação","Xavier, Elódia","Revista Estudos Feministas; 19(2); 622-622","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200024&lang=pt" 
"S0104-026X2011000200026-scl","Um espaço todo nosso","Harris, Leila Assumpção","Revista Estudos Feministas; 19(2); 625-627","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200026&lang=pt" 
"S0104-026X2011000200025-scl","O dinheiro no casamento: questões de gênero","Courduriès, Jérôme","Revista Estudos Feministas; 19(2); 623-624","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200025&lang=pt" 
"S0104-026X2011000200023-scl","De teimosias e resistências","Crescêncio, Cíntia Lima","Revista Estudos Feministas; 19(2); 620-621","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200023&lang=pt" 
"S0104-026X2011000200020-scl","Crianças, gênero e sexualidade: realidade e fantasia possibilitando problematizações","Ribeiro, Cláudia Maria","Revista Estudos Feministas; 19(2); 605-614","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200020&lang=pt" 
"S0104-026X2011000200022-scl","O olhar feminino italiano de cinco gerações: da unificação da Itália à queda do Muro de Berlim","Guerini, Andréia, Rivello, Stella","Revista Estudos Feministas; 19(2); 618-619","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200022&lang=pt" 
"S0104-026X2011000200021-scl","Educação no campo, mulheres e movimentos sociais: espaços de vida, ensinamentos para a transformação social brasileira","Soares, Ana Carolina Eiras Coelho","Revista Estudos Feministas; 19(2); 615-617","Revista Estudos Feministas","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2011000200021&lang=pt" 
"S1130-14732011000400005-esp","Paresia VI par craneal por hematoma subdural retroclival y espinal postraumático: presentación de un caso y revisión de la literatura","Catalá-Antúnez, I., Quintana-Schmidt, C. de, Clavel-Laria, P., Montes-Graciano, G., Molet-Teixidó, J.","Neurocirugía; 22(4); 337-341","Neurocirugía","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732011000400005&lang=pt" 
"S1130-14732011000400008-esp","","","Neurocirugía; 22(4); 352-368","Neurocirugía","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732011000400008&lang=pt" 
"S1130-14732011000400003-esp","Quistes intraneurales del nervio ciático poplíteo externo en edad pediátrica: presentación de 2 casos y revisión de la literatura","Robla-Costales, J., Socolovsky, M., Dubrovsky, A., Astorino, F., Fernández-Fernández, J., Ibáñez-Plágaro, J., García-Cosamalón, J.","Neurocirugía; 22(4); 324-331","Neurocirugía","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732011000400003&lang=pt" 
"S0100-736X2011000800003-scl","Perfil genotípico e antigênico de amostras do vírus da diarréia viral bovina isoladas no Rio Grande do Sul (2000-2010)","Bianchi, Eloisa, Martins, Mathias, Weiblen, Rudi, Flores, Eduardo Furtado","Pesquisa Veterinária Brasileira; 31(8); 649-655","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800003&lang=pt" 
"S0100-736X2011000800005-scl","Risk factors associated with the frequency of antibodies against Babesia bovis and Babesia bigemina in cattle in southern Mozambique","Tembue, António A.M., Silva, Fábio J.M., Silva, Jenevaldo B., Santos, Tiago M., Santos, Huarrisson A., Soares, Cleber O., Fonseca, Adivaldo H.","Pesquisa Veterinária Brasileira; 31(8); 663-666","Pesquisa Veterinária Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800005&lang=pt" 
"S0100-736X2011000800006-scl","Avaliação microbiológica e molecular de líquidos articulares e peri-articulares de suínos","Faria, Ana Carolina S., Oliveira Filho, João X. de, Paula, Daphine A.J. de, Brandão, Laila Natasha S., Dias, Danny Franciele S., Nakazato, Luciano, Dutra, Valéria","Pesquisa Veterinária Brasileira; 31(8); 667-671","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800006&lang=pt" 
"S0100-736X2011000800008-scl","Identificação dos níveis séricos do fator de crescimento tipo insulina 1 em potros com osteocondrose","Baccarin, Raquel Y.A., Pereira, Marco A., Roncati, Neimar V., Furtado, Priscila V., Oliveira, Cláudio A., Hagen, Stefano C.F.","Pesquisa Veterinária Brasileira; 31(8); 677-682","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800008&lang=pt" 
"S0100-736X2011000800009-scl","Curva de anticorpos pós-vacinais em ovinos imunizados com uma ou duas doses de bacterina oleosa anti-leptospirose, produzida com a sorovariedade Hardjo, tipo Hardjoprajitno, estirpe Norma, isolada no Brasil","Herrmann, Geder Paulo, Rodrigues, Rogério Oliveira, Vidal, Carlos Eugênio Soto, Machado, Gustavo, Moreira, Élvio Carlos, Leite, Rômulo Cerqueira","Pesquisa Veterinária Brasileira; 31(8); 683-689","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800009&lang=pt" 
"S0100-736X2011000800010-scl","Fatores de risco associados à infecção por Cryptosporidium spp. e Giardia duodenalis em bovinos leiteiros na fase de cria e recria na mesorregião do Campo das Vertentes de Minas Gerais","Silva Júnior, Fidelis A., Carvalho, André H.O., Rocha, Christiane M.B.M., Guimarães, Antônio M.","Pesquisa Veterinária Brasileira; 31(8); 690-696","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800010&lang=pt" 
"S0100-736X2011000800011-scl","Estudo retrospectivo de lesões em baços de cães esplenectomizados: 179 casos","Bandinelli, Marcele B., Pavarini, Saulo P., Oliveira, Eduardo C., Gomes, Danilo C., Cruz, Cláudio E.F., Driemeier, David","Pesquisa Veterinária Brasileira; 31(8); 697-701","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800011&lang=pt" 
"S0100-736X2011000800013-scl","Salmonella Yoruba infection in white-tufted-ear marmoset (Callithrix jacchus)","Knöbl, Terezinha, Rocha, Leliane T., Menão, Márcia C., Igayara, Cláudia A.S., Paixão, Renata, Moreno, Andréa M.","Pesquisa Veterinária Brasileira; 31(8); 707-710","Pesquisa Veterinária Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800013&lang=pt" 
