"S0120-62302013000300001-col","Editorial","","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 06-07","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300001&lang=pt" 
"S0120-62302013000300007-col","Managing and developing distributed research projects in software engineering by means of action-research","Pino, Francisco J, Piattini, Mario, Horta Travassos, Guilherme","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 61-74","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300007&lang=pt" 
"S0120-62302013000300006-col","Efficient hardware implementation of a full COFDM processor with robust channel equalization and reduced power consumption","López Parrado, Alexander, Velasco Medina, Jaime, Ramírez Gutiérrez, Julián Adolfo","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 48-60","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300006&lang=pt" 
"S0120-62302013000300005-col","Library for model-based design of image processing algorithms on FPGAs","Garcés-Socarrás, Luis Manuel, Sánchez-Solano, Santiago, Brox Jiménez, Piedad, Cabrera Sarmiento, Alejandro José","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 36-47","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300005&lang=pt" 
"S0120-62302013000300004-col","Cryptanalysis and improvement of Chen-Hsiang- Shih&#039;s remote user authentication scheme using smart cards","Martínez-Peláez, Rafael, Rico-Novella, Francisco, Velarde-Alvarado, Pablo","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 27-35","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300004&lang=pt" 
"S0123-59232013000300008-col","Teoría de costos de transacción, formas de gobernación y los incentivos en Colombia: un estudio de caso","Gorbaneff, Yuri, Cortes, Ariel, Torres, Sergio, Yepes, Francisco J","Estudios Gerenciales; 29(128); 332-338","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300008&lang=pt" 
"S0123-59232013000300009-col","La relación entre las redes externas de trabajo y el desempeño innovador de las pymes colombianas: un análisis del rol moderador del ambiente industrial","Sánchez, Iván Darío, Juliao Rossi, Jorge Luís, Zuluaga Jiménez, Julio César","Estudios Gerenciales; 29(128); 339-349","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300009&lang=pt" 
"S0123-59232013000300006-col","Relación entre la estrategia de innovación de la firma y su decisión de patentar: evidencia de empresas pertenecientes al sector manufacturero colombiano","Juliao Rossi, Jorge Luís, Barrios Aguirre, Fernando, Schmutzler, Jana, Sánchez Manchola, Iván Darío","Estudios Gerenciales; 29(128); 313-321","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300006&lang=pt" 
"S0123-59232013000300007-col","Colombia frente a la economía de conocimiento, ¿un callejón sin salida?","Pineda, Leonardo","Estudios Gerenciales; 29(128); 322-331","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300007&lang=pt" 
"S0123-59232013000300004-col","Gerencia de las empresas familiares y no familiares: análisis comparativo","Omaña Guerrero, Lenix Margarita, Briceño Barrios, María Auxiliadora","Estudios Gerenciales; 29(128); 293-302","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300004&lang=pt" 
"S0123-59232013000300005-col","Involucramiento de producto y lealtad de marca para productos de consumo masivo en Bogotá D.C.","Ramírez Angulo, Pedro Julián, Duque Oliva, Edison Jair","Estudios Gerenciales; 29(128); 303-312","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300005&lang=pt" 
"S0123-59232013000300002-col","Política de emprendimiento en Colombia, 2002-2010","Tarapuez Chamorro, Edwin, Osorio Ceballos, Hugo, Botero Villa, Juan José","Estudios Gerenciales; 29(128); 274-283","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300002&lang=pt" 
"S0123-59232013000300003-col","Retorno do investimento em formação da pequena empresa em Cartagena","Yanez Contreras, Martha, Acevedo Gonzalez, Karina","Estudios Gerenciales; 29(128); 284-292","Estudios Gerenciales","Português","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300003&lang=pt" 
"S0123-59232013000300001-col","Presentación","","Estudios Gerenciales; 29(128); 273-273","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300001&lang=pt" 
"S0123-59232013000300011-col","El capital social organizacional de la pequeña empresa innovadora. Un ensayo de medición en las ciudades de Cali y Medellín","Román Castillo, Ruth Esperanza, Gómez Mejía, Alina, Smida, Alí","Estudios Gerenciales; 29(128); 356-367","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300011&lang=pt" 
"S0123-59232013000300010-col","Cultura organizacional: evolución en la medición","Cújar Vertel, Angélica del Carmen, Ramos Paternina, Carlos David, Hernández Riaño, Helman Enrique, López Pereira, Jorge Mario","Estudios Gerenciales; 29(128); 350-355","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300010&lang=pt" 
"S0123-59232013000300013-col","Gestión del riesgo cambiario: aplicación a una empresa exportadora peruana","Lizarzaburu, Edmundo, Berggrun, Luis","Estudios Gerenciales; 29(128); 379-384","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300013&lang=pt" 
"S0123-59232013000300012-col","Asimetría y curtosis en el modelo binomial para valorar opciones reales: caso de aplicación para empresas de base tecnológica","Silverio Milanesi, Gastón","Estudios Gerenciales; 29(128); 368-378","Estudios Gerenciales","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232013000300012&lang=pt" 
"S0120-62302013000300014-col","Electrokinetic remediation of mercury- contaminated soil, from the mine El Alacran-San Jorge river basin, Cordoba - Colombia","Marrugo Negrete, José Luis, López Barboza, Erick","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 136-146","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300014&lang=pt" 
"S0120-62302013000300015-col","Passive sampling in the study of dynamic and environmental impact of pesticides in water","Narváez V., Jhon F., López, Carlos A., Molina P., Francisco J.","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 147-159","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300015&lang=pt" 
