"S0101-20612003000400011-scl","Ochratoxin A determination in beer by immunoaffinity column clean-up and high-performance liquid chromatography","Prado, Guilherme, Oliveira, Marize Silva, Carvalho, Eliana Pinheiro, Lima, Luiz Carlos Oliveira, Veloso, Thais, Souza, Leandro Augusto Ferreira, Cardoso, Ana Cristina Ferreira","Food Science and Technology (Campinas); 23(); 58-61","Food Science and Technology (Campinas)","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400011&lang=pt" 
"S0101-20612003000400014-scl","Desenvolvimento de metodologia para determinação de 4-cloroanilina em frangos por cromatografia gasosa - espectrometria de massas: análise em tecidos tratados com digluconato de clorhexidina após o processamento térmico","Vicente, Eduardo, Toledo, Maria Cecília de Figueiredo","Food Science and Technology (Campinas); 23(); 71-78","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400014&lang=pt" 
"S0101-20612003000400015-scl","Avaliação da aceitação de &quot;chips&quot; de mandioca","Grizotto, Regina Kitagawa, Menezes, Hilary Castle de","Food Science and Technology (Campinas); 23(); 79-86","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400015&lang=pt" 
"S0101-20612003000400016-scl","Avaliação da eficiência de três ágares seletivos no isolamento de Listeria monocytogenes","Rodrigues, Denize Aparecida, Franco, Bernadette Dora Gombossi de Melo, Landgraf, Mariza, Destro, Maria Teresa","Food Science and Technology (Campinas); 23(); 87-92","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400016&lang=pt" 
"S0101-20612003000400017-scl","Avaliação de farinhas de trigos cultivados no Rio Grande do Sul na produção de biscoitos","Gutkoski, Luiz Carlos, Nodari, Mariana Lenzi, Jacobsen Neto, Raul","Food Science and Technology (Campinas); 23(); 91-97","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400017&lang=pt" 
"S0101-20612003000400021-scl","Caída de presión en lecho fijo de cubos de papa, remolacha y zanahoria considerando encogimiento","Telis-Romero, Javier, Sobral, Paulo José do Amaral","Food Science and Technology (Campinas); 23(); 110-115","Food Science and Technology (Campinas)","Espanhol","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400021&lang=pt" 
"S0101-20612003000400023-scl","Free and total GMP (glycomacropeptide) contents of milk during bovine lactation","Furlanetti, Andréa Maria, Prata, Luiz Francisco","Food Science and Technology (Campinas); 23(); 121-125","Food Science and Technology (Campinas)","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400023&lang=pt" 
"S0101-20612003000400025-scl","Estudo do aproveitamento das vísceras do jacaré do pantanal (Caiman crocodilus yacare ) em farinha de carne","Romanelli, Pedro Fernando, Schmidt, Juliana","Food Science and Technology (Campinas); 23(); 131-139","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400025&lang=pt" 
"S0101-20612003000400028-scl","Genótipos melhorados de mamão (Carica papaya L.): avaliação tecnológica dos frutos na forma de sorvete","Santana, Ligia R.R., Matsuura, Fernando C.A.U., Cardoso, Ricardo L.","Food Science and Technology (Campinas); 23(); 151-155","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400028&lang=pt" 
"S0101-20612003000400029-scl","Avaliação da cv. Merlot para elaboração de vinho tinto","Rizzon, Luiz Antenor, Miele, Alberto","Food Science and Technology (Campinas); 23(); 156-161","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400029&lang=pt" 
"S0101-20612003000400032-scl","Efeito do teor de sólidos e da concentração de sacarose na acidificação, firmeza e viabilidade de bactérias do iogurte e probióticas em leite fermentado","Oliveira, Maricê N., Damin, M. Regina","Food Science and Technology (Campinas); 23(); 172-176","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400032&lang=pt" 
"S0101-20612003000400033-scl","Avaliação da proteólise e do derretimento do queijo prato obtido por ultrafiltração","Narimatsu, Agnes, Dornellas, José Raimundo F., Spadoti, Leila M., Pizaia, Patrícia D., Roig, Salvador M.","Food Science and Technology (Campinas); 23(); 177-182","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400033&lang=pt" 
"S0101-20612003000400034-scl","Perfil de textura e capacidade de retenção de água de géis ácidos de concentrado protéico de soro de leite","Antunes, Adriane Elisabete Costa, Motta, Eliana Maria Pettirossi, Antunes, Aloísio José","Food Science and Technology (Campinas); 23(); 183-189","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400034&lang=pt" 
