"S0370-59432011000100003-mex","In vivo antiplasmodial activity by aqueous extract of Abrus precatorius in mice","Saganuwan, Saganuwan Alhaji, Onyeyili, Patrick Azubuike, Ameh, Egoohe George, Udok Etuk, Emmanuel","Revista latinoamericana de química; 39(1-2); 32-44","Revista latinoamericana de química","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000100003&lang=pt" 
"S0370-59432011000100001-mex","Validación del método de aireación dinámica para la captura de compuestos volátiles de Capsicum spp.","Velázquez-González, Julio César, Cibrián-Tovar, Juan, Hidalgo-Moreno, Claudia, Vásquez-Rojas, Tito R.","Revista latinoamericana de química; 39(1-2); 7-16","Revista latinoamericana de química","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000100001&lang=pt" 
"S0370-59432011000200001-mex","Actividad antioxidante de Piper Piedecuestanum Trel. &amp; Yunck. y Piper Subpedale Trel. &amp; Yunck","Mesa, Ana María, Rincón, Diana Cristina, Toro, John Fredy, Tamayo, Angélica, Blair, Silvia, Rojano, Benjamín A.","Revista latinoamericana de química; 39(3); 91-99","Revista latinoamericana de química","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000200001&lang=pt" 
"S0370-59432011000200004-mex","Activity of nonpolar extracts from Picrasma Crenata (Simaroubaceae) against Myzus Persicae (Hemiptera: Aphididadae)","Rodríguez, Silvia, Regonat, Marisa, Carrizo, Paola, Meilán, Joaquín, Wagner, Marcelo, Gurni, Alberto","Revista latinoamericana de química; 39(3); 113-120","Revista latinoamericana de química","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000200004&lang=pt" 
"S0370-59432011000200003-mex","Study by infrared spectroscopy and thermogravimetric analysis of Tannins and Tannic acid","Pantoja-Castro, Mayra A., González-Rodríguez, Horacio","Revista latinoamericana de química; 39(3); 107-112","Revista latinoamericana de química","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000200003&lang=pt" 
"S2224-78902011000100012-sza","An empirical study of factors and cognisant measures for project quality in the design phase: A case of building projects in the Department of Building and Engineering Services of Botswana","Dodoo, E.N.D., van Waveren, C.C., Chan, K-Y.","South African Journal of Industrial Engineering; 22(1); 137-154","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100012&lang=pt" 
"S2224-78902011000100013-sza","An exploratory study of long supply chain competition: Selected cases in the South African aerospace sector","Richardson, L.J., Snaddon, D.R.","South African Journal of Industrial Engineering; 22(1); 155-166","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100013&lang=pt" 
"S2224-78902011000100010-sza","Towards a service-oriented architecture: A framework for the design of financial trading applications in the South African investment banking environment","Vos, W., Matthee, M.C.","South African Journal of Industrial Engineering; 22(1); 109-122","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100010&lang=pt" 
"S2224-78902011000100011-sza","Defining &#039;project success&#039; for a complex project - The case of a nuclear engineering development","van Niekerk, S.I., Steyn, H.","South African Journal of Industrial Engineering; 22(1); 123-136","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100011&lang=pt" 
"S2224-78902011000100016-sza","A multi-objective genetic algorithm approach to the probabilistic manufacturing cell formation problem","Jayakumar, V., Raju, R.","South African Journal of Industrial Engineering; 22(1); 199-212","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100016&lang=pt" 
"S2224-78902011000100017-sza","Using Poka-yoke methods to improve employment potential of intellectually disabled workers","Treurnicht, N.F., Blanckenberg, M.M., van Niekerk, H.G.","South African Journal of Industrial Engineering; 22(1); 213-224","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100017&lang=pt" 
"S2224-78902011000100014-sza","Implementation of modular manufacturing in the clothing industry in KwaZulu-Natal: A case study","Ramdass, K., Pretorius, L.","South African Journal of Industrial Engineering; 22(1); 167-182","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100014&lang=pt" 
"S2224-78902011000100015-sza","An integrated methodology for layout design and work organisation in a furniture manufacturing plant","Sutcu, A., Tanritanir, E., Durmusoglu, B., Koruca, H.I.","South African Journal of Industrial Engineering; 22(1); 183-198","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100015&lang=pt" 
"S2224-78902011000100001-sza","Note from the Editor","Adendorff, Susan","South African Journal of Industrial Engineering; 22(1); -","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100001&lang=pt" 
"S2224-78902011000100003-sza","Convergence of technologies","Siriram, R.","South African Journal of Industrial Engineering; 22(1); 13-28","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100003&lang=pt" 
"S2224-78902011000100002-sza","Modelling of uncertainty in minimising the cost of inventory for disaster relief","van Wyk, E., Bean, W.L., Yadavalli, V.S.S.","South African Journal of Industrial Engineering; 22(1); 1-12","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100002&lang=pt" 
"S2224-78902011000100005-sza","The performance of South African shared services","Ramphal, R.R.","South African Journal of Industrial Engineering; 22(1); 45-54","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100005&lang=pt" 
"S2224-78902011000100004-sza","An investigation into the status of project management in South Africa","Barry, M-L., Uys, L.","South African Journal of Industrial Engineering; 22(1); 29-44","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100004&lang=pt" 
"S2224-78902011000100007-sza","Developing a modular portfolio selection model for short-term and long-term market trends and mass psychology","Jasemi, M., Kimiagari, A.M.","South African Journal of Industrial Engineering; 22(1); 67-82","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100007&lang=pt" 
"S2224-78902011000100006-sza","A new algorithm for optimization of the fuzzy relation equation with max-algebraic sum composition","Zharfi, V., Mirzazadeh, A.","South African Journal of Industrial Engineering; 22(1); 55-66","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100006&lang=pt" 
"S2224-78902011000100009-sza","Improved communication between manufacturing robots","Stopforth, R., Bright, G., Davrajh, S., Walker, A.","South African Journal of Industrial Engineering; 22(1); 99-108","South African Journal of Industrial Engineering","Inglês","2011","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902011000100009&lang=pt" 
