"S1692-17982013000100002-col","Método para la extracción de puntos de control en la calibración de una cámara basado en la estimación de la fase de un patrón de puntos codificado","González Gómez, Andrés Leonardo, Meneses Fonseca, Jaime Enrique, Ballesteros Díaz, Alexánder, León Téllez, Jaury","Iteckne; 10(1); 7-15","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100002&lang=pt" 
"S1692-17982013000100003-col","Synthesis and characterization of TiO2 thin films doped with copper to be used in photocatalysis","Díaz-Uribe, Carlos Enrique, Vallejo Lozada, William Andrés, Martínez Ortega, Fernando","Iteckne; 10(1); 16-20","Iteckne","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100003&lang=pt" 
"S1692-17982013000100013-col","Dinámica Estocástica o Compleja con Información Incompleta: Una Revisión desde el Control","Dávila Gómez, Amalia, Peña Palacio, Alejandro, Ortiz Valencia, Paula Andrea, Delgado Trejos, Edilson","Iteckne; 10(1); 113-127","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100013&lang=pt" 
"S1692-17982013000100012-col","Validación del linaje de los datos de la colaboración LAGO. Instalaciones Sierra Negra y Chacaltaya","Núñez, Luis A, Quiñónez, Fernando, Sarmiento Cano, Christian Andrés","Iteckne; 10(1); 104-112","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100012&lang=pt" 
"S1692-17982013000100011-col","Factores del entorno que influyen en la adopción de e-procurement en empresas de la industria del mueble en España","Aguilar-Jiménez, Alba Soraya","Iteckne; 10(1); 90-103","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100011&lang=pt" 
"S1692-17982013000100010-col","Arquitectura para el Despliegue del servicio de Video bajo Demanda de IPTV, apoyada en Interactividad y Sistemas de Recomendaciones","Durán Dorado, Diego Fabián, Arciniegas, José","Iteckne; 10(1); 77-89","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100010&lang=pt" 
"S1692-17982013000100014-col","Aceros Bainíticos y la Influencia del Boro sobre sus Propiedades Mecánicas - Revisión Bibliográfica","Rodríguez Galeano, Karol Felipe","Iteckne; 10(1); 128-136","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100014&lang=pt" 
"S1809-29502013000200014-scl","Avaliação da limitação das atividades diárias e qualidade de vida de pacientes com hanseníase submetidos à cirurgia de neurólise para tratamento das neurites","Reis, Felipe José Jandre dos, Gomes, Maria Kátia, Cunha, Antonio José Ledo Alves da","Fisioterapia e Pesquisa; 20(2); 184-190","Fisioterapia e Pesquisa","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-29502013000200014&lang=pt" 
"S0100-879X2013000600533-scl","Human papillomavirus infection among sexual partners attending a Sexually Transmitted Disease Clinic in Rio de Janeiro, Brazil","Afonso, L.A., Rocha, W.M., Carestiato, F.N., Dobao, E.A., Pesca, L.F., Passos, M.R.L., Cavalcanti, S.M.B.","Brazilian Journal of Medical and Biological Research; 46(6); 533-538","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600533&lang=pt" 
"S0100-879X2013000600502-scl","Correlation between interleukin-18promoter -607C/A polymorphism and susceptibility to ischemic stroke","Lu, Jian-xia, Lu, Zhong-qian, Zhang, Shao-lan, Zhi, Juan, Chen, Zheng-ping, Wang, Wan-xiang","Brazilian Journal of Medical and Biological Research; 46(6); 502-506","Brazilian Journal of Medical and Biological Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2013000600502&lang=pt" 
