"S1517-83822016000200389-scl","DEFB1 gene polymorphisms and tuberculosis in a Northeastern Brazilian population","Silva, Ronaldo Celerino da, Cruz, Heidi Lacerda Alves da, Brandão, Lucas André Cavalcanti, Guimarães, Rafael Lima, Montenegro, Lilian Maria Lapa, Schindler, Haiana Charifker, Segat, Ludovica, Crovella, Sergio","Brazilian Journal of Microbiology; 47(2); 389-393","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200389&lang=pt" 
"S1517-83822016000200367-scl","Candida glabrata among Candida spp. from environmental health practitioners of a Brazilian Hospital","Savastano, Catarina, Silva, Elisa de Oliveira, Gonçalves, Lindyanne Lemos, Nery, Jéssica Maria, Silva, Naiara Chaves, Dias, Amanda Latercia Tranches","Brazilian Journal of Microbiology; 47(2); 367-372","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200367&lang=pt" 
"S1517-83822016000200424-scl","Antimicrobial activities of six essential oils commonly used as condiments in Brazil against Clostridium perfringens","Radaelli, Marcela, Silva, Bárbara Parraga da, Weidlich, Luciana, Hoehne, Lucélia, Flach, Adriana, Costa, Luiz Antonio Mendonça Alves da, Ethur, Eduardo Miranda","Brazilian Journal of Microbiology; 47(2); 424-430","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200424&lang=pt" 
"S1517-83822016000200506-scl","Mycobacterium paratuberculosis detection in cow&#039;s milk in Argentina by immunomagnetic separation-PCR","Gilardoni, Liliana Rosa, Fernández, Bárbara, Morsella, Claudia, Mendez, Laura, Jar, Ana María, Paolicchi, Fernando Alberto, Mundo, Silvia Leonor","Brazilian Journal of Microbiology; 47(2); 506-512","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200506&lang=pt" 
"S1517-83822016000200480-scl","Endophytic fungus strain 28 isolated from Houttuynia cordata possesses wide-spectrum antifungal activity","Pan, Feng, Liu, Zheng-Qiong, Chen, Que, Xu, Ying-Wen, Hou, Kai, Wu, Wei","Brazilian Journal of Microbiology; 47(2); 480-488","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200480&lang=pt" 
"S1517-83822016000200381-scl","Membrane permeabilization of colistin toward pan-drug resistant Gram-negative isolates","Mohamed, Yasmine Fathy, Abou-Shleib, Hamida Moustafa, Khalil, Amal Mohamed, El-Guink, Nadia Mohamed, El-Nakeeb, Moustafa Ahmed","Brazilian Journal of Microbiology; 47(2); 381-388","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200381&lang=pt" 
"S1517-83822016000200417-scl","Enhanced production of erythritol and mannitol by Yarrowia lipolytica in media containing surfactants","Rakicka, Magdalena, Rywińska, Anita, Cybulski, Krzysztof, Rymowicz, Waldemar","Brazilian Journal of Microbiology; 47(2); 417-423","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200417&lang=pt" 
"S0103-84782016000601107-scl","Yeast extract plus blood plasma in diets for piglets from 36 to 60 days old","Pereira, Cinthia Maria Carlos, Donzele, Juarez Lopes, Donzele, Rita Flávia Miranda de Oliveira, Kiefer, Charles, Bernardino, Verônica Maria Pereira, Balbino, Eric Marcio, Rocha, Gabriel Cipriano","Ciência Rural; 46(6); 1107-1112","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601107&lang=pt" 
"S0103-84782016000601053-scl","Firocoxib on aqueous humor prostaglandin E 2 levels for controlling experimentally-induced breakdown of blood-aqueous barrier in healthy and  Toxoplasma gondii -seropositive cats","Schroder, Deise Cristine, Stocco, Matias Bassinello, Isoton, Deborah de Arruda, Silva, Carla Patricia Amarante e, Braga, Ísis Assis, Silva, Érica Pereira da, Maciel, Camila do Espírito Santo, Maruyama, Fernanda Harumi, Nakazato, Luciano, Aguiar, Daniel Moura de, Mendonça, Adriane Jorge, Ribeiro, Alexandre Pinto","Ciência Rural; 46(6); 1053-1058","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601053&lang=pt" 
"S0103-84782016000600963-scl","Plant characters of broccoli determinants of head production","Brandelero, Fernanda Daniela, Brum, Betania, Storck, Lindolfo, Cardoso, Jessica, Kutz, Talita Slota, Vargas, Thiago de Oliveira","Ciência Rural; 46(6); 963-969","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000600963&lang=pt" 
"S0103-84782016000600991-scl","In vitro establishment of  Comanthera curralensis , &quot;sempre viva&quot; native of Chapada Diamantina - Bahia","Albuquerque, Mara Márcia Sampaio, Brito, Alone Lima, Lima, Andressa Priscila Piancó Santos, Alvim, Bruno Freitas Matos, Santana, José Raniere Ferreira de","Ciência Rural; 46(6); 991-995","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000600991&lang=pt" 
"S0103-84782016000600996-scl","Shoot segment and substrate composition in rooting of juvenile ipe-roxo mini-cuttings","Pimentel, Nathalia, Bisognin, Dilson Antônio, Kielse, Paula, Lencina, Kelen Haygert, Mello, Uilian Stefanello","Ciência Rural; 46(6); 996-1002","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000600996&lang=pt" 
"S0103-84782016000601113-scl","Pre-incubation of porcine semen reduces the incidence of polyspermy on embryos derived from low quality oocytes","Brogni, Cláudio Francisco, Ohlweiler, Lain Uriel, Klein, Norton, Mezzalira, Joana Claudia, Cristani, Jose, Mezzalira, Alceu","Ciência Rural; 46(6); 1113-1118","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601113&lang=pt" 
"S0103-84782016000601019-scl","Biological activity of Bt proteins expressed in different structures of transgenic corn against  Spodoptera frugiperda","Bernardi, Daniel, Bernardi, Oderlei, Horikoshi, Renato Jun, Salmeron, Eloisa, Okuma, Daniela Miyuki, Omoto, Celso","Ciência Rural; 46(6); 1019-1024","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601019&lang=pt" 
"S0103-84782016000601014-scl","pH of exudate test in the physiological quality of crambe seeds","Alves, Charline Zaratin, Rodrigues, Lennis Afraire, Rego, Carlos Henrique Queiroz, Silva, Josué Bispo da","Ciência Rural; 46(6); 1014-1018","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601014&lang=pt" 
"S0103-84782016000601100-scl","Productivity and nutritional quality of Flechinha grass ( Echinolaena inflexa ), native grass of Brazilian Cerrado","Silveira, Sylvia Rocha e, Ribeiro, Rafael Sandin, Sacramento, João Paulo, Paciullo, Domingos Sávio Campos, Pereira, Luiz Gustavo Ribeiro, Maurício, Rogério Martins","Ciência Rural; 46(6); 1100-1106","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601100&lang=pt" 
"S0103-84782016000600943-scl","Fusarium oxysporum dispersion by larvae of Cyclocephala modesta, Dyscinetus gagates and Diloboderus abderus in Brazil","Salgado-Neto, Geraldo, Vaz, Marcos André Braz, Guedes, Jerson Vanderlei Carús, Muniz, Marlove Fátima Brião, Blume, Elena","Ciência Rural; 46(6); 943-949","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000600943&lang=pt" 
"S0103-84782016000601094-scl","Growth of silver catfish ( Rhamdia quelen ) exposed to acidic pH at different humic acid levels","Costa, Silvio Teixeira da, Sutili, Fernando Jonas, Gressler, Luciane Tourem, Loebens, Luíza, Colpo, Carine Vargas, Lazzari, Rafael, Baldisserotto, Bernardo","Ciência Rural; 46(6); 1094-1099","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000601094&lang=pt" 
"S0103-84782016000600950-scl","Photosynthetic capacity of &#039;Niagara Rosada&#039; grapes grown under transparent plastic covering","Deus, Bruna Corrêa da Silva de, Figueiredo, Fábio Afonso Mazzei Moura de Assis, Almeida, Luciana Venturotti Braun de, Ferraz, Tiago Massi, Martins, Amanda Oliveira, Rodrigues, Weverton Pereira, Viana, Leandro Hespanhol, Esteves, Barbara dos Santos, Campostrini, Eliemar","Ciência Rural; 46(6); 950-956","Ciência Rural","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782016000600950&lang=pt" 
