"S0864-03002006000400009-cub","Modulación de la respuesta inmune: tendencias actuales","Martínez Manrique, Clara Esther","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400009&lang=pt" 
"S0864-03002006000400010-cub","Estudios sobre la carcinogenicidad del ozono","González Álvarez, Ricardo, Zamora Rodríguez, Zullyt","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400010&lang=pt" 
"S0101-32622006000300001-scl","Apresentação: Gramsci, intelectuais e educação","DORE, ROSEMARY","Cadernos CEDES; 26(70); 285-289","Cadernos CEDES","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32622006000300001&lang=pt" 
"S0366-69132006000400011-scl","Preparação e caracterização de membranas cerâmicas de cordierita","Silva, F. A., Lira, H. L.","Cerâmica; 52(324); 276-282","Cerâmica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132006000400011&lang=pt" 
"S0366-69132006000400009-scl","Efeito de sais quaternários de amônio na organofilização de uma argila bentonita nacional","Barbosa, R., Araújo, E. M., Oliveira, A. D. de, Melo, T. J. A. de","Cerâmica; 52(324); 264-268","Cerâmica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132006000400009&lang=pt" 
"S0366-69132006000400008-scl","Obtenção e caracterização de materiais argilosos quimicamente ativados para utilização em catálise","Rodrigues, M. G. F., Pereira, K. R. O., Valenzuela-Diaz, F. R.","Cerâmica; 52(324); 260-263","Cerâmica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132006000400008&lang=pt" 
"S0366-69132006000400006-scl","Efeito da temperatura na síntese de óxidos hidratados de nióbio e zircônio e adsorção de íons Ag+ e Pb2+","Peixoto, A. L. C., Silva, G. L. J. P. da, Silva, M. L. C. P. da","Cerâmica; 52(324); 249-254","Cerâmica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132006000400006&lang=pt" 
"S0366-69132006000400005-scl","Síntese, caracterização e propriedades de sistemas contendo óxidos de lantânio, cério e níquel obtidos pelo método dos precursores poliméricos","Melo, D. M. A., Oliveira, V. G., Pedrosa, A. M. G., Pimentel, P. M., Gomes, D. K. S., Fernandes, J. D. G.","Cerâmica; 52(324); 245-248","Cerâmica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132006000400005&lang=pt" 
"S0366-69132006000400001-scl","Editorial","","Cerâmica; 52(324); 220-220","Cerâmica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132006000400001&lang=pt" 
"S0366-69132006000400003-scl","Influência do método de síntese no processo de pilarização com titânio de uma esmectita da região amazônica","Guerra, D. L., Lemos, V. P., Angélica, R., Airoldi, C.","Cerâmica; 52(324); 232-239","Cerâmica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132006000400003&lang=pt" 
"S0366-69132006000400013-scl","Síntese de pigmentos pretos à base de Fe, Co e Cr pela rota dos precursores poliméricos","Gonçalves Jr, P. R. G., Rangel, J. H. G., Oliveira, M. M., Azevedo, E., Santos, L. P. S. dos, Longo, E.","Cerâmica; 52(324); 293-297","Cerâmica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132006000400013&lang=pt" 
"S0366-69132006000400015-scl","Estudo da reologia e espessura do reboco de fluidos de perfuração: influência de dispersantes e umectante aniônicos","Farias, K. V., Amorim, L. V., Ferreira, H. C., Pereira, E.","Cerâmica; 52(324); 307-314","Cerâmica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132006000400015&lang=pt" 
"S0100-29452006000300045-scl","Potencial nutritivo de frutos de pitangão (Eugenia neonitida, Sobral)","Vilar, Juliana dos Santos, Silva, Ana Cláudia Alves e, Coelho, Marcelle Ribeiro, Silva, André Luiz Gomes da, Srur, Armando Ubirajara de Oliveira Sabaa","Revista Brasileira de Fruticultura; 28(3); 536-538","Revista Brasileira de Fruticultura","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452006000300045&lang=pt" 
"S0100-29452006000300044-scl","Microenxertia em cultivares de manga","Zaccaro, Ronaldo Posella, Donadio, Luiz Carlos, Lemos, Eliana Gertrudes Macedo","Revista Brasileira de Fruticultura; 28(3); 533-535","Revista Brasileira de Fruticultura","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452006000300044&lang=pt" 
"S0100-29452006000300042-scl","Efeito do recipiente e ambiente de cultivo sobre o desenvolvimento de mudas de mamoeiro cv. Sunrise Solo","Araujo, José Ribamar Gusmão, Araújo Júnior, Marcone Moreira, Menezes, Ronaldo Haroldo Nascimento de, Martins, Moisés Rodrigues, Lemos, Raimunda Nonata Santos de, Cerqueira, Márcia Cristina Mendes","Revista Brasileira de Fruticultura; 28(3); 526-529","Revista Brasileira de Fruticultura","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452006000300042&lang=pt" 
"S0100-29452006000300041-scl","Pontos críticos de impacto em linhas de beneficiamento utilizadas para citros no Estado de São Paulo","Ferreira, Marcos David, Silva, Michele Carvalho da, Camargo, Gustavo Garcia de Toledo, Amorim, Lilian, Fischer, Ivan Herman","Revista Brasileira de Fruticultura; 28(3); 523-525","Revista Brasileira de Fruticultura","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452006000300041&lang=pt" 
