"S0213-91112008000300003-spa","Cancer incidence in Gipuzkoa, Spain (1998-2002), and time trends from 1986","Larrañaga, Nerea, Sarasqueta, Cristina, Michelena, M. Jesús","Gaceta Sanitaria; 22(3); 188-196","Gaceta Sanitaria","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300003&lang=pt" 
"S0213-91112008000300002-spa","Construcción de un índice de privación a partir de datos censales en grandes ciudades españolas (Proyecto MEDEA)","Domínguez-Berjón, M. Felícitas, Borrell, Carme, Cano-Serral, Gemma, Esnaola, Santiago, Nolasco, Andreu, Pasarín, M. Isabel, Ramis, Rebeca, Saurina, Carme, Escolar-Pujolar, Antonio","Gaceta Sanitaria; 22(3); 179-187","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300002&lang=pt" 
"S0213-91112008000300001-spa","Las bebidas alcohólicas en España: salud y economía","Antoñanzas Villar, Fernando, Puy Martínez-Zárate, María, Pradas Velasco, Roberto","Gaceta Sanitaria; 22(3); 175-178","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300001&lang=pt" 
"S0213-91112008000300017-spa","Vacuna de la gripe: seguimos publicando, pero no mejoramos las coberturas","Sarría-Santamera, Antonio, Sandín-Vázquez, María","Gaceta Sanitaria; 22(3); 291-291","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300017&lang=pt" 
"S0213-91112008000300012-spa","Estudios realizados en España sobre concentraciones en humanos de compuestos tóxicos persistentes","Porta, Miquel, Puigdomènech, Elisa, Ballester, Ferran, Selva, Javier, Ribas-Fitó, Núria, Domínguez-Boada, Luis, Martín-Olmedo, Piedad, Olea, Nicolás, Llop, Sabrina, Fernández, Marieta","Gaceta Sanitaria; 22(3); 248-266","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300012&lang=pt" 
"S0213-91112008000300005-spa","La mortalidad evitable: ¿cambios en el nuevo siglo?","Melchor, Inmaculada, Nolasco, Andreu, García-Senchermes, Carmen, Pereyra-Zamora, Pamela, Pina, José Aurelio, Moncho, Joaquín, Martínez, Purificación, Valero, Socorro, Zurriaga, Óscar","Gaceta Sanitaria; 22(3); 200-209","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300005&lang=pt" 
"S0104-44782008000100001-scl","Editorial","Lacerda, Gustavo Biscaia de","Revista de Sociologia e Política; 16(30); 5-6","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000100001&lang=pt" 
"S0104-44782008000100010-scl","Valores, socialização e comportamento: sugestões para uma sociologia da elite judiciária","Perissinotto, Renato M., Medeiros, Pedro Leonardo, Wowk, Rafael T.","Revista de Sociologia e Política; 16(30); 151-165","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000100010&lang=pt" 
"S0104-44782008000100020-scl","Neoliberalismo e reforma trabalhista","Krein, José Dari","Revista de Sociologia e Política; 16(30); 319-322","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000100020&lang=pt" 
"S0104-44782008000100018-scl","Desenvolvimento regional e descentralização político-administrativa: um estudo comparativo dos casos de Minas Gerais, Ceará e Santa Catarina","Birkner, Walter Marcos Knaesel","Revista de Sociologia e Política; 16(30); 297-311","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000100018&lang=pt" 
"S0104-44782008000100017-scl","Isaiah Berlin: afirmação e limitação da liberdade","Casarin, Júlio César","Revista de Sociologia e Política; 16(30); 283-295","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000100017&lang=pt" 
"S0104-44782008000100019-scl","A política na &quot;Província Esquecida&quot;: partidos e eleições no Paraná","Ziegmann, André Barsch","Revista de Sociologia e Política; 16(30); 313-318","Revista de Sociologia e Política","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782008000100019&lang=pt" 
"S0100-67622008000300002-scl","Desempenho de quatro de Eucalyptus spp em plantios puros e consorciados com sabiá (Mimosa caesalpiniaefolia Benth) em cava de extração de argila","Mendonça, Andrea Vita Reis, Carneiro, José Geraldo de Araujo, Barroso, Deborah Guerra, Santiago, Anderson Ribeiro, Freitas, Teresa Aparecida Soares de, Souza, Josival Santos","Revista Árvore; 32(3); 395-405","Revista Árvore","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622008000300002&lang=pt" 
"S0100-67622008000300003-scl","Métodos para quebra de dormência de unidades de dispersão de Zizyphus joazeiro Mart. (Rhamnaceae)","Alves, Edna Ursulino, Braga Júnior, Joel Martins, Bruno, Riselane de Lucena Alcântara, Oliveira, Ademar Pereira de, Cardoso, Edson de Almeida, Alves, Adriana Ursulino, Alves, Anarlete Ursulino, Silva, Kelina Bernardo","Revista Árvore; 32(3); 407-415","Revista Árvore","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622008000300003&lang=pt" 
"S0100-67622008000300017-scl","Biomassas de partes aéreas em plantas da caatinga","Silva, Grécia Cavalcanti, Sampaio, Everardo Valadares de Sa Barretto","Revista Árvore; 32(3); 567-575","Revista Árvore","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622008000300017&lang=pt" 
"S0100-67622008000300010-scl","Análise da dinâmica da cobertura vegetal de Curitiba, PR (de 1986 a 2004), utlizando imagens Landsat TM","Vieira, Carolina Haddad Souza Dias, Biondi, Daniela","Revista Árvore; 32(3); 479-487","Revista Árvore","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622008000300010&lang=pt" 
"S0100-67622008000300006-scl","Enraizamento de estacas de Trichilia catigua A. Juss (catigua) em diferentes estações do ano","Valmorbida, Janice, Boaro, Carmen Sílvia Fernandes, Lessa, Antonio Oliveira, Salerno, Airton Rodrigues","Revista Árvore; 32(3); 435-442","Revista Árvore","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-67622008000300006&lang=pt" 
