"S0036-36342011000800002-mex","","Dantés, Octavio Gómez, Knaul, Felicia Marie, Ponce, Eduardo Lazcano, Sesma, Sergio, Arreola, Héctor","Salud Pública de México; 53(); s70-s71","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800002&lang=pt" 
"S0036-36342011000800003-mex","La carga de la enfermedad en países de América Latina","Dantés, Héctor Gómez, Castro, Victoria, Franco-Marina, Francisco, Bedregal, Paula, García, Jesús Rodríguez, Espinoza, Azalea, Huarcaya, William Valdez, Lozano, Rafael, Lozano, Rafael, Andrade, Joyce Mendes Schramm, Valente, Joaquim Goncalves, Bedregal, Paula, Margozzini, Paula, Zitko, Pedro, Quintero, Rolando Enrique Peñaloza, Rodríguez, Jesús, Espinoza, Azálea, Peña, Eduardo Zacca, Séuc, Armando, Domínguez, Emma, Dantés, Héctor Gómez, Castro, Victoria, Méndez, Oscar, Marina, Francisco Franco, Ábrego, Gabriela Rodríguez, Valdez, William, Monzón, Jorge Antonio Miranda","Salud Pública de México; 53(); s72-s77","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800003&lang=pt" 
"S0036-36342011000800004-mex","Cobertura efectiva de las intervenciones en salud de América Latina y el Caribe: métrica para evaluar los sistemas de salud","Martínez, Sandra, Carrasquilla, Gabriel, Guerrero, Ramiro, Gómez-Dantés, Héctor, Castro, Victoria, Arreola-Ornelas, Héctor, Bedregal, Paula, Vidal, Cecilia, Martínez, Sandra, Guerrero, Ramiro, Carrasquilla, Gabriel, Solano, Gerardo, Roselló, Marlén, Evans, Ronald, Peraza, Jaqueline, Kestler, Edgar, Lozano, Rafael, Méndez, Oscar, Dorantes, Javier, Knaul, Felicia Marie, López, Erika, Gómez, Héctor, Castro, Maria Victoria, Cárcamo, César, Quiterio, Gisela, Pulido, Pablo","Salud Pública de México; 53(); s78-s84","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800004&lang=pt" 
"S0036-36342011000800006-mex","Sistema de salud de Argentina","Belló, Mariana, Becerril-Montekio, Victor M","Salud Pública de México; 53(); s96-s109","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800006&lang=pt" 
"S0036-36342011000800007-mex","","Ledo, Carmen, Soria, René","Salud Pública de México; 53(); s109-s119","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800007&lang=pt" 
"S0036-36342011000800009-mex","Sistema de salud de Chile","Becerril-Montekio, Víctor, Reyes, Juan de Dios, Manuel, Annick","Salud Pública de México; 53(); s132-s142","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800009&lang=pt" 
"S0036-36342011000800010-mex","Sistema de salud de Colombia","Guerrero, Ramiro, Gallego, Ana Isabel, Becerril-Montekio, Victor, Vásquez, Johanna","Salud Pública de México; 53(); s144-s155","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800010&lang=pt" 
"S0036-36342011000800014-mex","Sistema de salud de El Salvador","Acosta, Mónica, Sáenz, María del Rocío, Gutiérrez, Blanca, Bermúdez, Juan Luis","Salud Pública de México; 53(); s188-s196","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800014&lang=pt" 
"S0036-36342011000800018-mex","Sistema de salud de Nicaragua","Muiser, Jorine, Sáenz, María del Rocío, Bermúdez, Juan Luis","Salud Pública de México; 53(); s233-s242","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800018&lang=pt" 
"S0036-36342011000800021-mex","Sistema de salud de Uruguay","Aran, Daniel, Laca, Hernán","Salud Pública de México; 53(); s265-s274","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800021&lang=pt" 
