"S1983-68212017000100001-scl","Editorial","Guimarães, Hélio de Seixas, Senna, Marta de, Silva, Ana Cláudia Suriani da","Machado de Assis em Linha; 10(20); 1-3","Machado de Assis em Linha","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-68212017000100001&lang=pt" 
"S1983-68212017000100154-scl","CADERNO DE IMAGENS: A INDUMENTÁRIA EM ADAPTAÇÕES DE OBRAS DE MACHADO DE ASSIS","MILLECCO, MARIANA, SILVA, ANA CLÁUDIA SURIANI DA","Machado de Assis em Linha; 10(20); 154-177","Machado de Assis em Linha","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-68212017000100154&lang=pt" 
"S1983-68212017000100062-scl","&quot;A MULHER DE PRETO&quot;: REFERÊNCIAS À MODA COMO ESTRATÉGIA PARA A PROBLEMATIZAÇÃO DO PROJETO EDITORIAL DO JORNAL DAS FAMÍLIAS","SILVA, JOSILENE LUCAS DA","Machado de Assis em Linha; 10(20); 62-74","Machado de Assis em Linha","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-68212017000100062&lang=pt" 
"S2236-34592017000100297-scl","CULTURA MATERIAL, ESPAÇOS E EDIFÍCIOS ESCOLARES NA REVISTA DE PEDAGOGÍA/ ESPANHA: A CIRCULAÇÃO DAS IDEIAS INTERNACIONAIS E O CONTEXTO ESPANHOL (1922-1934)","Ermel, Tatiane de Freitas","História da Educação; 21(51); 297-316","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100297&lang=pt" 
"S2236-34592017000100041-scl","CHAMAS DA EDUCAÇÃO NACIONAL E DO SENTIMENTO PÁTRIO: AS ESCOLAS ITALIANAS NO RIO GRANDE DO SUL DA COLONIZAÇÃO AO FINAL DO SÉCULO 19 (1875-1898)","Barausse, Alberto","História da Educação; 21(51); 41-85","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100041&lang=pt" 
"S2236-34592017000100351-scl","LA HISTORIA DE LA EDUCACIÓN EN AMÉRICA LATINA: CONTRIBUCIÓN Y APORTES DE LA SOCIEDAD DE HISTORIA DE LA EDUCACIÓN LATINOAMERICANA - SHELA (1994-2015)","Soto-Arango, Diana Elvira, Mora-García, José Pascual, Lima-Jardilino, José Rubens","História da Educação; 21(51); 351-375","História da Educação","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100351&lang=pt" 
"S2236-34592017000100123-scl","DA ITÁLIA AO BRASIL: INDÍCIOS DA PRODUÇÃO, CIRCULAÇÃO E CONSUMO DE LIVROS DE LEITURA (1875-1945)","Luchese, Terciane Ângela","História da Educação; 21(51); 123-142","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100123&lang=pt" 
"S2236-34592017000100207-scl","HISTÓRIA DA EDUCAÇÃO NO QUADRO DAS RELAÇÕES SOCIAIS","Kuhlmann Jr, Moysés, Leonardi, Paula","História da Educação; 21(51); 207-227","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100207&lang=pt" 
"S2236-34592017000100143-scl","ENTRE AS EXIGÊNCIAS PASTORAIS E A PRESERVAÇÃO DA IDENTIDADE NACIONAL: A SANTA SÉ E A EMIGRAÇÃO ITALIANA PARA O EXTERIOR, ENTRE O OITOCENTOS E NOVECENTOS","Sani, Roberto","História da Educação; 21(51); 143-185","História da Educação","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2236-34592017000100143&lang=pt" 
"S0074-02762017000400292-scl","Vegetation loss and the 2016 Oropouche fever outbreak in Peru","Romero-Alvarez, Daniel, Escobar, Luis E","Memórias do Instituto Oswaldo Cruz; 112(4); 292-298","Memórias do Instituto Oswaldo Cruz","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762017000400292&lang=pt" 
